ID	[触发条件]类型	[触发条件]参数1	[触发条件]参数2	[触发条件]参数3	进度	已废弃	目标组ID	阶段前置成就ID	完成奖励RewardID	完成后清除Watcher
80051	107	70210001;70210002;70210003;70210004;70210005;70210006;70210011;70210012;70210013;70210014;70210021;70210022;70210023;70210024;70210031;70210032;70210033;70210034;70210041;70210042;70210043;70210044;70210051;70210052;70210053;70210054;70211001;70211002;70211011;70211012;70211021;70211022;70211031;70211032;70211101;70211102;70211103;70211104;70211111;70211112;70211121;70211122;70211123;70211131;70211132;70210063	2	5,6,7,8,9	400		5	80050	800051	
80052	107	70210001;70210002;70210003;70210004;70210005;70210006;70210011;70210012;70210013;70210014;70210021;70210022;70210023;70210024;70210031;70210032;70210033;70210034;70210041;70210042;70210043;70210044;70210051;70210052;70210053;70210054;70211001;70211002;70211011;70211012;70211021;70211022;70211031;70211032;70211101;70211102;70211103;70211104;70211111;70211112;70211121;70211122;70211123;70211131;70211132;70210063	2	5,6,7,8,9	800		5	80051	800052	
80053	111	3001,3,1;3002,3,1;3003,3,1	2	5,6,7,8,9	10		5		800053	
80054	111	3001,3,1;3002,3,1;3003,3,1	2	5,6,7,8,9	20		5	80053	800054	
80055	111	3001,3,1;3002,3,1;3003,3,1	2	5,6,7,8,9	40		5	80054	800055	
80056	105	10			1		16		800056	1
80057	106	1	1	10	11		16		800057	1
80058	111	2013,3,1			5		16		800058	
80059	111	2013,3,1			10		16	80058	800059	
80060	111	2013,3,1			20		16	80059	800060	
80061	120	70210001;70210002;70210003;70210004;70210005;70210006;70210011;70210012;70210013;70210014;70210021;70210022;70210023;70210024;70210031;70210032;70210033;70210034;70210041;70210042;70210043;70210044;70210051;70210052;70210053;70210054;70211001;70211002;70211011;70211012;70211021;70211022;70211031;70211032;70211101;70211102;70211103;70211104;70211111;70211112;70211121;70211122;70211123;70211131;70211132;70210063;70211141;70211142;70211143;70211144;70211145;70211146;70211147;70211148	1	10	40		16		800061	
80062	120	70210001;70210002;70210003;70210004;70210005;70210006;70210011;70210012;70210013;70210014;70210021;70210022;70210023;70210024;70210031;70210032;70210033;70210034;70210041;70210042;70210043;70210044;70210051;70210052;70210053;70210054;70211001;70211002;70211011;70211012;70211021;70211022;70211031;70211032;70211101;70211102;70211103;70211104;70211111;70211112;70211121;70211122;70211123;70211131;70211132;70210063;70211141;70211142;70211143;70211144;70211145;70211146;70211147;70211148	1	10	80		16	80061	800062	
80063	120	70210001;70210002;70210003;70210004;70210005;70210006;70210011;70210012;70210013;70210014;70210021;70210022;70210023;70210024;70210031;70210032;70210033;70210034;70210041;70210042;70210043;70210044;70210051;70210052;70210053;70210054;70211001;70211002;70211011;70211012;70211021;70211022;70211031;70211032;70211101;70211102;70211103;70211104;70211111;70211112;70211121;70211122;70211123;70211131;70211132;70210063;70211141;70211142;70211143;70211144;70211145;70211146;70211147;70211148	1	10	160		16	80062	800063	
80064	934	1	4		1		16		800064	
80065	934	1	8		1		16	80064	800065	
80066	934	1	12		1		16	80065	800066	
80067	700	7014112			1		16		800067	1
80068	700	7010232			1		16		800068	1
81000	111	6000,3,1			1		0		801000	1
81001	111	6001,3,1			1		0		801001	1
81002	111	6002,3,1			1		0		801002	1
81003	111	6003,3,1			1		0		801003	1
81004	115	25			1		0		801004	1
81005	903	3	SitPointOnStatue_ForAchievement		1		0		801005	1
81006	700	7101224			1	1	0		801006	
81007	700	2100450			1	1	0		801007	
81008	701	2102115,2102124			1	1	0		801008	
81009	701	7100532,7100534			1	1	0		801009	
81010	701	41803,41806			1		0		801010	1
81011	700	7100701			1	1	0		801011	
81012	700	7100832			1	1	0		801012	
81013	700	2100710			1	1	0		801013	
81014	111	6006,3,1			1		0		801014	1
81015	111	6007,3,1			1		0		801015	1
81016	111	6008,3,1			1		0		801016	1
81017	401	2	1		1		0		801017	
81018	401	2	1		10		0		801018	
81019	806	28020301;28020302			1		0		801019	1
81020	902				500		0		801020	1
81021	901				80000		0		801021	1
81022	900				15000		0		801022	1
81023	704				10000		0		801023	1
81024	930	1	8		1		0		801024	1
81025	930	2	8		1		0		801025	1
81026	932				10		0		801026	
81027	932				20		0	81026	801027	
81028	932				30		0	81027	801028	
81029	931				10		0		801029	
81030	931				20		0	81029	801030	
81031	931				30		0	81030	801031	
81032	933				1		0		801032	1
81033	812	ClimateAbility_Cold			1		0		801033	1
81034	111	6009,3,1			1		0		801034	1
81035	111	6010,3,1			1		0		801035	1
81036	700	7012107			1		0		801036	1
81037	111	6011,3,1			1		0		801037	1
81038	111	6015,3,1			9		0		801038	1
81039	111	6012,3,1			1		0		801039	1
81040	111	6013,3,1			1		0		801040	1
81041	111	6014,3,1			1		0		801041	1
81042	806	28020304			1		0		801042	1
81043	1	LevelAbility_Combat_Achievement_Watcher_1:Watcher_Achievement_82072			1		0		801043	1
81044	221	2009			1		0		801044	1
81045	811	SceneObj_Storm_Lightning			1		0		801045	1
81046	700	7014201			1		0		801046	1
81047	936				1		0		801047	1
81048	10				1		0		801048	1
81049	1010				1		18		801049	1
81050	1011	20000			1		18		801050	
81051	1011	20000			2		18	81050	801051	
81052	1011	20000			3		18	81051	801052	
81053	1004	4			1		18		801053	
81054	1004	7			1		18	81053	801054	
81055	1004	10			1		18	81054	801055	
81056	212	101301;101302;101303;101304;101305;101306;101307;101308			100		18		801056	
81057	212	101301;101302;101303;101304;101305;101306;101307;101308			600		18	81056	801057	
81058	212	101301;101302;101303;101304;101305;101306;101307;101308			2000		18	81057	801058	
81059	1005				2000		18		801059	
81060	1005				10000		18	81059	801060	
81061	1005				50000		18	81060	801061	
81062	1003				120		18		801062	
81063	1003				300		18	81062	801063	
81064	1003				600		18	81063	801064	
81065	437	8			50		18		801065	
81066	437	8			200		18	81065	801066	
81067	437	8			600		18	81066	801067	
81068	1002				60		18		801068	
81069	1002				120		18	81068	801069	
81070	1002				180		18	81069	801070	
81071	1009	0			50		18		801071	
81072	1009	0			150		18	81071	801072	
81073	1009	0			300		18	81072	801073	
81074	336	2	1		1		0		801074	
81075	337	2	180		1		0		801075	
81076	338	2	1		1		0		801076	
81077	339	2	1		1		0		801077	
81078	340	2	15		1		0		801078	
81079	1019				1		19		801079	
81080	1017				10		19		801080	
81081	1017				20		19	81080	801081	
81082	1017				30		19	81081	801082	
81083	1016				5		19		801083	
81084	1016				10		19	81083	801084	
81085	1016				20		19	81084	801085	
82001	1	LevelAbility_Combat_Achievement_Watcher_1:Wtcher_Achievement_82001	Achievement_Avatar_Shooter	1055	1		7		802001	1
82002	1	LevelAbility_Combat_Achievement_Watcher_1:Wtcher_Achievement_82002	Achievement_Avatar_Shooter	1055	1		7		802002	1
82003	1	LevelAbility_Combat_Achievement_Watcher_1:Wtcher_Achievement_82003	Achievement_Avatar_Shooter	1055	1		7		802003	1
82004	1	LevelAbility_Combat_Achievement_Watcher_1:Wtcher_Achievement_82004			1		8		802004	1
82005	1	LevelAbility_Combat_Achievement_Watcher_1:Wtcher_Achievement_82005			1		8		802005	1
82006	1	LevelAbility_Combat_Achievement_Watcher_1:Wtcher_Achievement_82006			1		8		802006	1
82007	1	LevelAbility_Combat_Achievement_Watcher_1:Wtcher_Achievement_82007			1		8		802007	1
82008	1	LevelAbility_Combat_Achievement_Watcher_1:Wtcher_Achievement_82008			1		0		802008	1
82009	1	LevelAbility_Combat_Achievement_Watcher_1:Wtcher_Achievement_82009			1		0		802009	1
82010	1	LevelAbility_Combat_Achievement_Watcher_1:Wtcher_Achievement_82010			1		0		802010	1
82011	1	LevelAbility_Combat_Achievement_Watcher_1:Wtcher_Achievement_82011			1	1	0		802011	1
82012	1	LevelAbility_Combat_Achievement_Watcher_1:Wtcher_Achievement_82012			1		0		802012	1
82013	1	LevelAbility_Combat_Achievement_Watcher_1:Wtcher_Achievement_82013			1		0		802013	1
82014	1	LevelAbility_Combat_Achievement_Watcher_1:Wtcher_Achievement_82014			1		0		802014	1
82015	1	LevelAbility_Combat_Achievement_Watcher_1:Wtcher_Achievement_82015			1		0		802015	1
82016	1	LevelAbility_Combat_Achievement_Watcher_1:Wtcher_Achievement_82016			1	1	0		802016	1
82017	1	LevelAbility_Combat_Achievement_Watcher_1:Wtcher_Achievement_82017			1		0		802017	1
82018	1	LevelAbility_Combat_Achievement_Watcher_1:Wtcher_Achievement_82018			1	1	0		802018	1
82019	803	65536	10000		1		6		802019	
82020	803	65536	10000		5		6	82019	802020	
82021	803	65536	10000		10		6	82020	802021	
82022	800	17:1,18:1,19:1,20:1			1		6		802022	
82023	800	17:1,18:1,19:1,20:1			5		6	82022	802023	
82024	800	17:1,18:1,19:1,20:1			10		6	82023	802024	
82025	800	8:4			1		6		802025	
82026	800	8:4			5		6	82025	802026	
82027	800	8:4			10		6	82026	802027	
82028	801	16:4			1		6		802028	
82029	801	16:4			5		6	82028	802029	
82030	801	16:4			10		6	82029	802030	
82031	801	1:4			1		6		802031	
82032	801	1:4			5		6	82031	802032	
82033	801	1:4			10		6	82032	802033	
82034	801	7:4			1		6		802034	
82035	801	7:4			5		6	82034	802035	
82036	801	7:4			10		6	82035	802036	
82037	801	12:4			1		6		802037	
82038	801	12:4			5		6	82037	802038	
82039	801	12:4			10		6	82038	802039	
82040	805				4		0		802040	1
82041	804				5000		0		802041	
82042	804				20000		0	82041	802042	
82043	804				50000		0	82042	802043	
82044	304	4	3		1		9		802044	
82045	304	8	3		1		9	82044	802045	
82046	304	12	3		1		9	82045	802046	
82047	313	2	3		1		9		802047	
82048	313	5	3		1		9	82047	802048	
82049	313	8	3		1		9	82048	802049	
82050	311	2	2	70350035	1		9		802050	
82051	312				72		9		802051	1
82052	315	4			1		0		802052	1
82053	119	20050201,20050301,20050401,20050501,20050601,20050701,20050801,20050901			1		14		802053	1
82054	1	LevelAbility_Combat_Achievement_Watcher_1:Watcher_Achievement_82054			1		14		802054	1
82055	118	21011501			1		14		802055	
82056	118	21011501			20		14	82055	802056	
82057	118	21011501			50		14	82056	802057	
82058	1	LevelAbility_Combat_Achievement_Watcher_1:Watcher_Achievement_82058			1		14		802058	1
82059	1	LevelAbility_Combat_Achievement_Watcher_1:Watcher_Achievement_82059			1		14		802059	1
82060	1	LevelAbility_Combat_Achievement_Watcher_1:Watcher_Achievement_82060	Achievement_Avatar_FallAnthem		1		14		802060	1
82061	809	5			1		14		802061	1
82062	810	3			1		14		802062	1
82063	1	LevelAbility_Combat_Achievement_Watcher_1:Watcher_Achievement_82063			1		0		802063	1
82064	1	LevelAbility_Combat_Achievement_Watcher_1:Watcher_Achievement_82064			1		0		802064	1
82065	1	LevelAbility_Combat_Achievement_Watcher_1:Watcher_Achievement_82065			1		0		802065	1
82066	1	LevelAbility_Combat_Achievement_Watcher_1:Watcher_Achievement_82066			1		15		802066	1
82067	1	LevelAbility_Combat_Achievement_Watcher_1:Watcher_Achievement_82067			1		15		802067	1
82068	1	LevelAbility_Combat_Achievement_Watcher_1:Watcher_Achievement_82068			1		15		802068	1
82069	1	LevelAbility_Combat_Achievement_Watcher_1:Watcher_Achievement_82069			1		15		802069	1
82070	1	LevelAbility_Combat_Achievement_Watcher_1:Watcher_Achievement_82070			1		15		802070	1
82071	1	LevelAbility_Combat_Achievement_Watcher_1:Watcher_Achievement_82071			1		15		802071	1
82072	119	28020304			1		15		802072	1
82073	1	LevelAbility_Combat_Achievement_Watcher_1:Watcher_Achievement_82073			1		15		802073	1
82074	1	LevelAbility_Combat_Achievement_Watcher_1:Watcher_Achievement_82074			1		0		802074	1
82075	1	LevelAbility_Combat_Achievement_Watcher_1:Watcher_Achievement_82075			1		0		802075	1
82076	1	LevelAbility_Combat_Achievement_Watcher_1:Watcher_Achievement_82076			1		0		802076	1
82077	1	LevelAbility_Combat_Achievement_Watcher_1:Watcher_Achievement_82077			1		0		802077	1
82078	1	LevelAbility_Combat_Achievement_Watcher_1:Watcher_Achievement_82078			1		0		802078	1
82079	1	LevelAbility_Combat_Achievement_Watcher_1:Watcher_Achievement_82079			1		0		802079	1
82080	1	LevelAbility_Combat_Achievement_Watcher_1:Watcher_Achievement_82080			1		0		802080	1
82081	1	LevelAbility_Combat_Achievement_Watcher_1:Watcher_Achievement_82081			1		0		802081	1
82082	1	LevelAbility_Combat_Achievement_Watcher_1:Watcher_Achievement_82082			1		0		802082	1
82083	1	LevelAbility_Combat_Achievement_Watcher_1:Watcher_Achievement_82083			1		0		802083	1
82084	1	LevelAbility_Combat_Achievement_Watcher_1:Watcher_Achievement_82084			1		0		802084	1
82085	1	LevelAbility_Combat_Achievement_Watcher_1:Watcher_Achievement_82085			1		0		802085	1
82086	1	LevelAbility_Combat_Achievement_Watcher_1:Watcher_Achievement_82086			1		0		802086	1
82087	1	LevelAbility_Combat_Achievement_Watcher_1:Watcher_Achievement_82087			1		0		802087	1
82088	119	29040101,29040102,29040103,29040104			1		0		802088	1
82089	1	LevelAbility_Combat_Achievement_Watcher_1:Watcher_Achievement_82089			1		0		802089	1
82090	1	LevelAbility_Combat_Achievement_Watcher_1:Watcher_Achievement_82090			1		0		802090	1
84000	700	39604			1		0		804000	1
84001	700	30904			1		0		804001	1
84002	700	38406			1		0		804002	1
84003	700	39604			1		0		804003	1
84004	700	35311			1		0		804004	1
84005	700	35723			1		0		804005	1
84006	700	37005			1		0		804006	1
84007	700	37608			1		0		804007	1
84008	700	39403			1		0		804008	1
84009	700	101801			1		0		804009	1
84010	700	101609			1		0		804010	1
84011	700	100013			1		0		804011	1
84012	700	100315			1		0		804012	1
84013	700	101209			1		0		804013	1
84014	700	101403			1		0		804014	1
84015	700	101320			1		0		804015	1
84016	700	101507			1		0		804016	1
84017	700	101512			1		0		804017	1
84018	700	102111			1		0		804018	1
84019	700	102104			1		0		804019	1
84020	700	102204			1		0		804020	1
84021	700	102304			1		0		804021	1
84022	700	102516			1		0		804022	1
84023	700	102506			1		0		804023	1
84024	700	102510			1		0		804024	1
84025	700	1800027			1		0		804025	1
84029	700	800004			1		0		804029	1
84030	700	800007			1		0		804030	1
84031	700	800107			1		0		804031	1
84032	700	800304			1		0		804032	1
84033	700	800311			1		0		804033	1
84034	700	200004			1		0		804034	1
84035	700	200102			1		0		804035	1
84036	700	200212			1		0		804036	1
84501	701	2000915,2001015,2001515			1		10		804501	1
84502	700	2010314			1		10		804502	1
84503	700	2070012,2070013,2070014			1		11		804503	1
84504	700	2060006,2060008,2060010			1		11		804504	1
84505	700	2230080,2230081			1		12		804505	1
84506	703	40001	3		1		12		804506	1
84507	700	2230154			1		12		804507	1
84508	700	2200004,2200105,2200204			1		0		804508	1
84509	700	2200305,2200405			1		0		804509	1
84510	700	2210710,2210711,2210712,2210713,2210714			1		0		804510	1
84512	701	2003606			5		0		804512	1
84513	700	2211305			1		0		804513	1
84514	700	2230599			1		0		804514	1
84515	700	2006803			1		0		804515	1
84516	700	2006207			1		0		804516	1
84517	700	2005990			1		0		804517	1
84518	700	2010206			1		0		804518	1
84519	702	24800	1	1	1		0		804519	1
84520	700	2051738			1		0		804520	1
84521	212	100329			1	1	0		804521	1
84522	700	2200606,2200903			1		0		804522	1
84523	700	2211405			1		0		804523	1
84524	700	2211508			1		0		804524	1
84525	700	2230204			1		0		804525	1
84526	700	2210716,2210717,2210718,2210719			1		0		804526	1
84527	504	100305;100312;100313			1		0		804527	1
85000	700	7101224			1		0		805000	1
85001	700	2100450			1		0		805001	1
85002	701	2102115,2102124			1		0		805002	1
85003	701	7100532,7100534			1		0		805003	1
85004	700	7100701			1		0		805004	1
85005	700	7100832			1		0		805005	1
85006	700	2100710			1		0		805006	1
84027	943	103201	10101,10102		1	1	0		804027	1
84026	942	103201	101,201,301,302,401,402		1		17		804026	1
84100	942	103201	201		1		17		804100	1
84101	700	1904522			1		17		804101	1
84104	942	103601	1902306,1902505,1902491,1903110,1903209,1903205		1		17		804104	1
84028	944	103601	1	3	1		17		804028	1
84107	942	103601	1902491		1		17		804107	1
84102	942	101401	101,102,103,104,105		1		17		804102	1
84108	942	101401	20102,90202,90302,90402		1		17		804108	1
84105	942	101401	103		1		17		804105	1
84103	942	103401	190620502,190620701,190650201,190660201,190680301,190690401		1		17		804103	1
84106	942	103401	190650201		1		17		804106	1
84109	700	1907002			1		17		804109	1
84110	942	103402	1908306,1908406,1908702,1908708,1909104,1909205		1		17		804110	1
84111	942	103402	1908406		1		17		804111	1
84112	701	1908707			1		17		804112	1
84113	942	103901	101,102,103,104,105		1		17		804113	1
84114	942	103901	103		1		17		804114	1
84115	942	103901	102		1		17		804115	1
86001	424	0			5		13		806001	
86002	424	0			20		13	86001	806002	
86003	424	0			100		13	86002	806003	
86004	314	1;2;3;4;5;6;7;8;9;10			5		13		806004	
86005	314	1;2;3;4;5;6;7;8;9;10			20		13	86004	806005	
86006	314	1;2;3;4;5;6;7;8;9;10			50		13	86005	806006	
86007	425	00402			1		13		806007	1
86008	425	00401			1		13		806008	1
86009	425	00403			1		13		806009	1
86010	425	60201			1		13		806010	1
86011	425	60202			1		13		806011	1
86012	425	00501			1		13		806012	1
86013	425	90201			1		13		806013	1
87001	1019				1	1	19		806013	
87002	1017				10	1	19		806013	
87003	1017				20	1	19	87002	806013	
87004	1017				30	1	19	87003	806013	
87005	1016				5	1	19		806013	
87006	1016				10	1	19	87005	806013	
87007	1016				20	1	19	87006	806013	
