最小等级	总索引	掉落ID	掉落次数	产出来源类型	类别
21	战斗高级蒙德	51010800	1	19	战斗高级
26	战斗高级蒙德	51010900	1	19	战斗高级
1	战斗超级蒙德	51010900	1	19	战斗超级
6	战斗超级蒙德	51010900	1	19	战斗超级
11	战斗超级蒙德	51010900	1	19	战斗超级
16	战斗超级蒙德	51010900	1	19	战斗超级
21	战斗超级蒙德	51011000	1	19	战斗超级
26	战斗超级蒙德	51011100	1	19	战斗超级
1	解谜低级蒙德	52010000	1	19	解谜低级
6	解谜低级蒙德	52010100	1	19	解谜低级
11	解谜低级蒙德	52010200	1	19	解谜低级
16	解谜低级蒙德	52010300	1	19	解谜低级
21	解谜低级蒙德	52010400	1	19	解谜低级
26	解谜低级蒙德	52010500	1	19	解谜低级
1	解谜中级蒙德	52010500	1	19	解谜中级
6	解谜中级蒙德	52010500	1	19	解谜中级
11	解谜中级蒙德	52010500	1	19	解谜中级
16	解谜中级蒙德	52010500	1	19	解谜中级
21	解谜中级蒙德	52010600	1	19	解谜中级
26	解谜中级蒙德	52010700	1	19	解谜中级
1	解谜高级蒙德	52010700	1	19	解谜高级
6	解谜高级蒙德	52010700	1	19	解谜高级
11	解谜高级蒙德	52010700	1	19	解谜高级
16	解谜高级蒙德	52010700	1	19	解谜高级
21	解谜高级蒙德	52010800	1	19	解谜高级
26	解谜高级蒙德	52010900	1	19	解谜高级
1	解谜超级蒙德	52010900	1	19	解谜超级
6	解谜超级蒙德	52010900	1	19	解谜超级
11	解谜超级蒙德	52010900	1	19	解谜超级
16	解谜超级蒙德	52010900	1	19	解谜超级
21	解谜超级蒙德	52011000	1	19	解谜超级
26	解谜超级蒙德	52011100	1	19	解谜超级
1	战斗低级璃月	51020000	1	19	战斗低级
6	战斗低级璃月	51020100	1	19	战斗低级
11	战斗低级璃月	51020200	1	19	战斗低级
16	战斗低级璃月	51020300	1	19	战斗低级
21	战斗低级璃月	51020400	1	19	战斗低级
26	战斗低级璃月	51020500	1	19	战斗低级
1	战斗中级璃月	51020500	1	19	战斗中级
6	战斗中级璃月	51020500	1	19	战斗中级
11	战斗中级璃月	51020500	1	19	战斗中级
16	战斗中级璃月	51020500	1	19	战斗中级
21	战斗中级璃月	51020600	1	19	战斗中级
26	战斗中级璃月	51020700	1	19	战斗中级
1	战斗高级璃月	51020700	1	19	战斗高级
6	战斗高级璃月	51020700	1	19	战斗高级
11	战斗高级璃月	51020700	1	19	战斗高级
16	战斗高级璃月	51020700	1	19	战斗高级
21	战斗高级璃月	51020800	1	19	战斗高级
26	战斗高级璃月	51020900	1	19	战斗高级
1	战斗超级璃月	51020900	1	19	战斗超级
6	战斗超级璃月	51020900	1	19	战斗超级
11	战斗超级璃月	51020900	1	19	战斗超级
16	战斗超级璃月	51020900	1	19	战斗超级
21	战斗超级璃月	51021000	1	19	战斗超级
26	战斗超级璃月	51021100	1	19	战斗超级
1	解谜低级璃月	52020000	1	19	解谜低级
6	解谜低级璃月	52020100	1	19	解谜低级
11	解谜低级璃月	52020200	1	19	解谜低级
16	解谜低级璃月	52020300	1	19	解谜低级
21	解谜低级璃月	52020400	1	19	解谜低级
26	解谜低级璃月	52020500	1	19	解谜低级
1	解谜中级璃月	52020500	1	19	解谜中级
6	解谜中级璃月	52020500	1	19	解谜中级
11	解谜中级璃月	52020500	1	19	解谜中级
16	解谜中级璃月	52020500	1	19	解谜中级
21	解谜中级璃月	52020600	1	19	解谜中级
26	解谜中级璃月	52020700	1	19	解谜中级
1	解谜高级璃月	52020700	1	19	解谜高级
6	解谜高级璃月	52020700	1	19	解谜高级
11	解谜高级璃月	52020700	1	19	解谜高级
16	解谜高级璃月	52020700	1	19	解谜高级
21	解谜高级璃月	52020800	1	19	解谜高级
26	解谜高级璃月	52020900	1	19	解谜高级
1	解谜超级璃月	52020900	1	19	解谜超级
6	解谜超级璃月	52020900	1	19	解谜超级
11	解谜超级璃月	52020900	1	19	解谜超级
16	解谜超级璃月	52020900	1	19	解谜超级
21	解谜超级璃月	52021000	1	19	解谜超级
26	解谜超级璃月	52021100	1	19	解谜超级
1	雪山战斗低级蒙德	53010000	1	19	雪山战斗低级
6	雪山战斗低级蒙德	53010100	1	19	雪山战斗低级
11	雪山战斗低级蒙德	53010200	1	19	雪山战斗低级
16	雪山战斗低级蒙德	53010300	1	19	雪山战斗低级
21	雪山战斗低级蒙德	53010400	1	19	雪山战斗低级
26	雪山战斗低级蒙德	53010500	1	19	雪山战斗低级
1	雪山战斗中级蒙德	53010500	1	19	雪山战斗中级
6	雪山战斗中级蒙德	53010500	1	19	雪山战斗中级
11	雪山战斗中级蒙德	53010500	1	19	雪山战斗中级
16	雪山战斗中级蒙德	53010500	1	19	雪山战斗中级
21	雪山战斗中级蒙德	53010600	1	19	雪山战斗中级
26	雪山战斗中级蒙德	53010700	1	19	雪山战斗中级
1	雪山战斗高级蒙德	53010700	1	19	雪山战斗高级
6	雪山战斗高级蒙德	53010700	1	19	雪山战斗高级
11	雪山战斗高级蒙德	53010700	1	19	雪山战斗高级
16	雪山战斗高级蒙德	53010700	1	19	雪山战斗高级
21	雪山战斗高级蒙德	53010800	1	19	雪山战斗高级
26	雪山战斗高级蒙德	53010900	1	19	雪山战斗高级
1	雪山战斗超级蒙德	53010900	1	19	雪山战斗超级
6	雪山战斗超级蒙德	53010900	1	19	雪山战斗超级
11	雪山战斗超级蒙德	53010900	1	19	雪山战斗超级
16	雪山战斗超级蒙德	53010900	1	19	雪山战斗超级
21	雪山战斗超级蒙德	53011000	1	19	雪山战斗超级
26	雪山战斗超级蒙德	53011100	1	19	雪山战斗超级
1	雪山解谜低级蒙德	54010000	1	19	雪山解谜低级
6	雪山解谜低级蒙德	54010100	1	19	雪山解谜低级
11	雪山解谜低级蒙德	54010200	1	19	雪山解谜低级
16	雪山解谜低级蒙德	54010300	1	19	雪山解谜低级
21	雪山解谜低级蒙德	54010400	1	19	雪山解谜低级
26	雪山解谜低级蒙德	54010500	1	19	雪山解谜低级
1	雪山解谜中级蒙德	54010500	1	19	雪山解谜中级
6	雪山解谜中级蒙德	54010500	1	19	雪山解谜中级
11	雪山解谜中级蒙德	54010500	1	19	雪山解谜中级
16	雪山解谜中级蒙德	54010500	1	19	雪山解谜中级
21	雪山解谜中级蒙德	54010600	1	19	雪山解谜中级
26	雪山解谜中级蒙德	54010700	1	19	雪山解谜中级
1	雪山解谜高级蒙德	54010700	1	19	雪山解谜高级
6	雪山解谜高级蒙德	54010700	1	19	雪山解谜高级
11	雪山解谜高级蒙德	54010700	1	19	雪山解谜高级
16	雪山解谜高级蒙德	54010700	1	19	雪山解谜高级
21	雪山解谜高级蒙德	54010800	1	19	雪山解谜高级
26	雪山解谜高级蒙德	54010900	1	19	雪山解谜高级
1	雪山解谜超级蒙德	54010900	1	19	雪山解谜超级
6	雪山解谜超级蒙德	54010900	1	19	雪山解谜超级
11	雪山解谜超级蒙德	54010900	1	19	雪山解谜超级
16	雪山解谜超级蒙德	54010900	1	19	雪山解谜超级
21	雪山解谜超级蒙德	54011000	1	19	雪山解谜超级
26	雪山解谜超级蒙德	54011100	1	19	雪山解谜超级
1	雪山玉髓低级蒙德	55010000	1	19	雪山玉髓低级
6	雪山玉髓低级蒙德	55010100	1	19	雪山玉髓低级
11	雪山玉髓低级蒙德	55010200	1	19	雪山玉髓低级
16	雪山玉髓低级蒙德	55010300	1	19	雪山玉髓低级
21	雪山玉髓低级蒙德	55010400	1	19	雪山玉髓低级
26	雪山玉髓低级蒙德	55010500	1	19	雪山玉髓低级
1	雪山玉髓中级蒙德	55010500	1	19	雪山玉髓中级
6	雪山玉髓中级蒙德	55010500	1	19	雪山玉髓中级
11	雪山玉髓中级蒙德	55010500	1	19	雪山玉髓中级
16	雪山玉髓中级蒙德	55010500	1	19	雪山玉髓中级
21	雪山玉髓中级蒙德	55010600	1	19	雪山玉髓中级
26	雪山玉髓中级蒙德	55010700	1	19	雪山玉髓中级
1	雪山玉髓高级蒙德	55010700	1	19	雪山玉髓高级
6	雪山玉髓高级蒙德	55010700	1	19	雪山玉髓高级
11	雪山玉髓高级蒙德	55010700	1	19	雪山玉髓高级
16	雪山玉髓高级蒙德	55010700	1	19	雪山玉髓高级
21	雪山玉髓高级蒙德	55010800	1	19	雪山玉髓高级
26	雪山玉髓高级蒙德	55010900	1	19	雪山玉髓高级
1	雪山玉髓超级蒙德	55010900	1	19	雪山玉髓超级
6	雪山玉髓超级蒙德	55010900	1	19	雪山玉髓超级
11	雪山玉髓超级蒙德	55010900	1	19	雪山玉髓超级
16	雪山玉髓超级蒙德	55010900	1	19	雪山玉髓超级
21	雪山玉髓超级蒙德	55011000	1	19	雪山玉髓超级
26	雪山玉髓超级蒙德	55011100	1	19	雪山玉髓超级
1	战斗低级群岛	51310000	1	19	战斗低级
1	战斗中级群岛	51312000	1	19	战斗中级
1	战斗高级群岛	51313000	1	19	战斗高级
1	战斗超级群岛	51314000	1	19	战斗超级
1	解谜低级群岛	52310000	1	19	解谜低级
1	解谜中级群岛	52312000	1	19	解谜中级
1	解谜高级群岛	52313000	1	19	解谜高级
1	解谜超级群岛	52314000	1	19	解谜超级
1	无相之雷	401000000	1	34	无相之雷
5	无相之雷	401000100	1	34	无相之雷
10	无相之雷	401000200	1	34	无相之雷
15	无相之雷	401000300	1	34	无相之雷
20	无相之雷	401000400	1	34	无相之雷
25	无相之雷	401000500	1	34	无相之雷
30	无相之雷	401000600	1	34	无相之雷
35	无相之雷	401000700	1	34	无相之雷
40	无相之雷	401000800	1	34	无相之雷
45	无相之雷	401000900	1	34	无相之雷
50	无相之雷	401001000	1	34	无相之雷
55	无相之雷	401001100	1	34	无相之雷
60	无相之雷	401001200	1	34	无相之雷
65	无相之雷	401001300	1	34	无相之雷
70	无相之雷	401001400	1	34	无相之雷
75	无相之雷	401001500	1	34	无相之雷
80	无相之雷	401001600	1	34	无相之雷
85	无相之雷	401001700	1	34	无相之雷
90	无相之雷	401001800	1	34	无相之雷
93	无相之雷	401001900	1	34	无相之雷
100	无相之雷	401002000	1	34	无相之雷
105	无相之雷	401002100	1	34	无相之雷
110	无相之雷	401002200	1	34	无相之雷
115	无相之雷	401002300	1	34	无相之雷
120	无相之雷	401002400	1	34	无相之雷
1	无相之风	402000000	1	34	无相之风
5	无相之风	402000100	1	34	无相之风
10	无相之风	402000200	1	34	无相之风
15	无相之风	402000300	1	34	无相之风
20	无相之风	402000400	1	34	无相之风
25	无相之风	402000500	1	34	无相之风
30	无相之风	402000600	1	34	无相之风
35	无相之风	402000700	1	34	无相之风
40	无相之风	402000800	1	34	无相之风
45	无相之风	402000900	1	34	无相之风
50	无相之风	402001000	1	34	无相之风
55	无相之风	402001100	1	34	无相之风
60	无相之风	402001200	1	34	无相之风
65	无相之风	402001300	1	34	无相之风
70	无相之风	402001400	1	34	无相之风
75	无相之风	402001500	1	34	无相之风
80	无相之风	402001600	1	34	无相之风
85	无相之风	402001700	1	34	无相之风
90	无相之风	402001800	1	34	无相之风
93	无相之风	402001900	1	34	无相之风
100	无相之风	402002000	1	34	无相之风
105	无相之风	402002100	1	34	无相之风
110	无相之风	402002200	1	34	无相之风
115	无相之风	402002300	1	34	无相之风
120	无相之风	402002400	1	34	无相之风
1	无相之岩	403000000	1	34	无相之岩
5	无相之岩	403000100	1	34	无相之岩
10	无相之岩	403000200	1	34	无相之岩
15	无相之岩	403000300	1	34	无相之岩
20	无相之岩	403000400	1	34	无相之岩
25	无相之岩	403000500	1	34	无相之岩
30	无相之岩	403000600	1	34	无相之岩
35	无相之岩	403000700	1	34	无相之岩
40	无相之岩	403000800	1	34	无相之岩
45	无相之岩	403000900	1	34	无相之岩
50	无相之岩	403001000	1	34	无相之岩
55	无相之岩	403001100	1	34	无相之岩
60	无相之岩	403001200	1	34	无相之岩
65	无相之岩	403001300	1	34	无相之岩
70	无相之岩	403001400	1	34	无相之岩
75	无相之岩	403001500	1	34	无相之岩
80	无相之岩	403001600	1	34	无相之岩
85	无相之岩	403001700	1	34	无相之岩
90	无相之岩	403001800	1	34	无相之岩
93	无相之岩	403001900	1	34	无相之岩
100	无相之岩	403002000	1	34	无相之岩
105	无相之岩	403002100	1	34	无相之岩
110	无相之岩	403002200	1	34	无相之岩
115	无相之岩	403002300	1	34	无相之岩
120	无相之岩	403002400	1	34	无相之岩
1	急冻树	404000000	1	34	急冻树
5	急冻树	404000100	1	34	急冻树
10	急冻树	404000200	1	34	急冻树
15	急冻树	404000300	1	34	急冻树
20	急冻树	404000400	1	34	急冻树
25	急冻树	404000500	1	34	急冻树
30	急冻树	404000600	1	34	急冻树
35	急冻树	404000700	1	34	急冻树
40	急冻树	404000800	1	34	急冻树
45	急冻树	404000900	1	34	急冻树
50	急冻树	404001000	1	34	急冻树
55	急冻树	404001100	1	34	急冻树
60	急冻树	404001200	1	34	急冻树
65	急冻树	404001300	1	34	急冻树
70	急冻树	404001400	1	34	急冻树
75	急冻树	404001500	1	34	急冻树
80	急冻树	404001600	1	34	急冻树
85	急冻树	404001700	1	34	急冻树
90	急冻树	404001800	1	34	急冻树
93	急冻树	404001900	1	34	急冻树
100	急冻树	404002000	1	34	急冻树
105	急冻树	404002100	1	34	急冻树
110	急冻树	404002200	1	34	急冻树
115	急冻树	404002300	1	34	急冻树
120	急冻树	404002400	1	34	急冻树
1	爆炎树	405000000	1	34	爆炎树
5	爆炎树	405000100	1	34	爆炎树
10	爆炎树	405000200	1	34	爆炎树
15	爆炎树	405000300	1	34	爆炎树
20	爆炎树	405000400	1	34	爆炎树
25	爆炎树	405000500	1	34	爆炎树
30	爆炎树	405000600	1	34	爆炎树
35	爆炎树	405000700	1	34	爆炎树
40	爆炎树	405000800	1	34	爆炎树
45	爆炎树	405000900	1	34	爆炎树
50	爆炎树	405001000	1	34	爆炎树
55	爆炎树	405001100	1	34	爆炎树
60	爆炎树	405001200	1	34	爆炎树
65	爆炎树	405001300	1	34	爆炎树
70	爆炎树	405001400	1	34	爆炎树
75	爆炎树	405001500	1	34	爆炎树
80	爆炎树	405001600	1	34	爆炎树
85	爆炎树	405001700	1	34	爆炎树
90	爆炎树	405001800	1	34	爆炎树
93	爆炎树	405001900	1	34	爆炎树
100	爆炎树	405002000	1	34	爆炎树
105	爆炎树	405002100	1	34	爆炎树
110	爆炎树	405002200	1	34	爆炎树
115	爆炎树	405002300	1	34	爆炎树
120	爆炎树	405002400	1	34	爆炎树
1	纯水精灵	406000000	1	34	纯水精灵
5	纯水精灵	406000100	1	34	纯水精灵
10	纯水精灵	406000200	1	34	纯水精灵
15	纯水精灵	406000300	1	34	纯水精灵
20	纯水精灵	406000400	1	34	纯水精灵
25	纯水精灵	406000500	1	34	纯水精灵
30	纯水精灵	406000600	1	34	纯水精灵
35	纯水精灵	406000700	1	34	纯水精灵
40	纯水精灵	406000800	1	34	纯水精灵
45	纯水精灵	406000900	1	34	纯水精灵
50	纯水精灵	406001000	1	34	纯水精灵
55	纯水精灵	406001100	1	34	纯水精灵
60	纯水精灵	406001200	1	34	纯水精灵
65	纯水精灵	406001300	1	34	纯水精灵
70	纯水精灵	406001400	1	34	纯水精灵
75	纯水精灵	406001500	1	34	纯水精灵
80	纯水精灵	406001600	1	34	纯水精灵
85	纯水精灵	406001700	1	34	纯水精灵
90	纯水精灵	406001800	1	34	纯水精灵
93	纯水精灵	406001900	1	34	纯水精灵
100	纯水精灵	406002000	1	34	纯水精灵
105	纯水精灵	406002100	1	34	纯水精灵
110	纯水精灵	406002200	1	34	纯水精灵
115	纯水精灵	406002300	1	34	纯水精灵
120	纯水精灵	406002400	1	34	纯水精灵
1	古岩龙蜥电	407000000	1	34	古岩龙蜥电
5	古岩龙蜥电	407000100	1	34	古岩龙蜥电
10	古岩龙蜥电	407000200	1	34	古岩龙蜥电
15	古岩龙蜥电	407000300	1	34	古岩龙蜥电
20	古岩龙蜥电	407000400	1	34	古岩龙蜥电
25	古岩龙蜥电	407000500	1	34	古岩龙蜥电
30	古岩龙蜥电	407000600	1	34	古岩龙蜥电
35	古岩龙蜥电	407000700	1	34	古岩龙蜥电
40	古岩龙蜥电	407000800	1	34	古岩龙蜥电
45	古岩龙蜥电	407000900	1	34	古岩龙蜥电
50	古岩龙蜥电	407001000	1	34	古岩龙蜥电
55	古岩龙蜥电	407001100	1	34	古岩龙蜥电
60	古岩龙蜥电	407001200	1	34	古岩龙蜥电
65	古岩龙蜥电	407001300	1	34	古岩龙蜥电
70	古岩龙蜥电	407001400	1	34	古岩龙蜥电
75	古岩龙蜥电	407001500	1	34	古岩龙蜥电
80	古岩龙蜥电	407001600	1	34	古岩龙蜥电
85	古岩龙蜥电	407001700	1	34	古岩龙蜥电
90	古岩龙蜥电	407001800	1	34	古岩龙蜥电
93	古岩龙蜥电	407001900	1	34	古岩龙蜥电
100	古岩龙蜥电	407002000	1	34	古岩龙蜥电
105	古岩龙蜥电	407002100	1	34	古岩龙蜥电
110	古岩龙蜥电	407002200	1	34	古岩龙蜥电
115	古岩龙蜥电	407002300	1	34	古岩龙蜥电
120	古岩龙蜥电	407002400	1	34	古岩龙蜥电
1	古岩龙蜥冰	408000000	1	34	古岩龙蜥冰
5	古岩龙蜥冰	408000100	1	34	古岩龙蜥冰
10	古岩龙蜥冰	408000200	1	34	古岩龙蜥冰
15	古岩龙蜥冰	408000300	1	34	古岩龙蜥冰
20	古岩龙蜥冰	408000400	1	34	古岩龙蜥冰
25	古岩龙蜥冰	408000500	1	34	古岩龙蜥冰
30	古岩龙蜥冰	408000600	1	34	古岩龙蜥冰
35	古岩龙蜥冰	408000700	1	34	古岩龙蜥冰
40	古岩龙蜥冰	408000800	1	34	古岩龙蜥冰
45	古岩龙蜥冰	408000900	1	34	古岩龙蜥冰
50	古岩龙蜥冰	408001000	1	34	古岩龙蜥冰
55	古岩龙蜥冰	408001100	1	34	古岩龙蜥冰
60	古岩龙蜥冰	408001200	1	34	古岩龙蜥冰
65	古岩龙蜥冰	408001300	1	34	古岩龙蜥冰
70	古岩龙蜥冰	408001400	1	34	古岩龙蜥冰
75	古岩龙蜥冰	408001500	1	34	古岩龙蜥冰
80	古岩龙蜥冰	408001600	1	34	古岩龙蜥冰
85	古岩龙蜥冰	408001700	1	34	古岩龙蜥冰
90	古岩龙蜥冰	408001800	1	34	古岩龙蜥冰
93	古岩龙蜥冰	408001900	1	34	古岩龙蜥冰
100	古岩龙蜥冰	408002000	1	34	古岩龙蜥冰
105	古岩龙蜥冰	408002100	1	34	古岩龙蜥冰
110	古岩龙蜥冰	408002200	1	34	古岩龙蜥冰
115	古岩龙蜥冰	408002300	1	34	古岩龙蜥冰
120	古岩龙蜥冰	408002400	1	34	古岩龙蜥冰
1	古岩龙蜥火	409000000	1	34	古岩龙蜥火
5	古岩龙蜥火	409000100	1	34	古岩龙蜥火
10	古岩龙蜥火	409000200	1	34	古岩龙蜥火
15	古岩龙蜥火	409000300	1	34	古岩龙蜥火
20	古岩龙蜥火	409000400	1	34	古岩龙蜥火
25	古岩龙蜥火	409000500	1	34	古岩龙蜥火
30	古岩龙蜥火	409000600	1	34	古岩龙蜥火
35	古岩龙蜥火	409000700	1	34	古岩龙蜥火
40	古岩龙蜥火	409000800	1	34	古岩龙蜥火
45	古岩龙蜥火	409000900	1	34	古岩龙蜥火
50	古岩龙蜥火	409001000	1	34	古岩龙蜥火
55	古岩龙蜥火	409001100	1	34	古岩龙蜥火
60	古岩龙蜥火	409001200	1	34	古岩龙蜥火
65	古岩龙蜥火	409001300	1	34	古岩龙蜥火
70	古岩龙蜥火	409001400	1	34	古岩龙蜥火
75	古岩龙蜥火	409001500	1	34	古岩龙蜥火
80	古岩龙蜥火	409001600	1	34	古岩龙蜥火
85	古岩龙蜥火	409001700	1	34	古岩龙蜥火
90	古岩龙蜥火	409001800	1	34	古岩龙蜥火
93	古岩龙蜥火	409001900	1	34	古岩龙蜥火
100	古岩龙蜥火	409002000	1	34	古岩龙蜥火
105	古岩龙蜥火	409002100	1	34	古岩龙蜥火
110	古岩龙蜥火	409002200	1	34	古岩龙蜥火
115	古岩龙蜥火	409002300	1	34	古岩龙蜥火
120	古岩龙蜥火	409002400	1	34	古岩龙蜥火
1	古岩龙蜥水	410000000	1	34	古岩龙蜥水
5	古岩龙蜥水	410000100	1	34	古岩龙蜥水
10	古岩龙蜥水	410000200	1	34	古岩龙蜥水
15	古岩龙蜥水	410000300	1	34	古岩龙蜥水
20	古岩龙蜥水	410000400	1	34	古岩龙蜥水
25	古岩龙蜥水	410000500	1	34	古岩龙蜥水
30	古岩龙蜥水	410000600	1	34	古岩龙蜥水
35	古岩龙蜥水	410000700	1	34	古岩龙蜥水
40	古岩龙蜥水	410000800	1	34	古岩龙蜥水
45	古岩龙蜥水	410000900	1	34	古岩龙蜥水
50	古岩龙蜥水	410001000	1	34	古岩龙蜥水
55	古岩龙蜥水	410001100	1	34	古岩龙蜥水
60	古岩龙蜥水	410001200	1	34	古岩龙蜥水
65	古岩龙蜥水	410001300	1	34	古岩龙蜥水
70	古岩龙蜥水	410001400	1	34	古岩龙蜥水
75	古岩龙蜥水	410001500	1	34	古岩龙蜥水
80	古岩龙蜥水	410001600	1	34	古岩龙蜥水
85	古岩龙蜥水	410001700	1	34	古岩龙蜥水
90	古岩龙蜥水	410001800	1	34	古岩龙蜥水
93	古岩龙蜥水	410001900	1	34	古岩龙蜥水
100	古岩龙蜥水	410002000	1	34	古岩龙蜥水
105	古岩龙蜥水	410002100	1	34	古岩龙蜥水
110	古岩龙蜥水	410002200	1	34	古岩龙蜥水
115	古岩龙蜥水	410002300	1	34	古岩龙蜥水
120	古岩龙蜥水	410002400	1	34	古岩龙蜥水
1	无相之冰	411000000	1	34	无相之冰
