台词ID	下一句台词ID	显示类型	[对话角色]类型	[对话角色]ID	情绪模组ID	动作ID	眼睛表情路径	是否眨眼
20000436	20000437		1	1032				
20000437	20000438		1	1031				
20000438	20000439		1	1031				
20000439	20000440,20000441		1	1031				
20000440	20000442	1	2					
20000441	20000442	1	2					
20000442	20000443		1	1005				
20000443	20000444		1	1032				
20000444	20000445		1	1031				
20000445	20000446		1	1031				
20000446	20000447	1	2					
20000447	20000448		1	1005				
20000448	20000449		1	1031				
20000449	20000450,20000451		1	1005				
20000450	20000452	1	2					
20000451	20000452	1	2					
20000452	20000453		1	1031				
20000453			1	1032				
20000501	20000502		1	1005				
20000502	20000503,20000504		1	10409				
20000503	20000505	1	2					
20000504	20000505	1	2					
20000505	20000506		1	10409				
20000506	20000507		1	10409				
20000507	20000508		1	10409				
20000508	20000509		1	1005				
20000509	20000510,20000511		1	10409				
20000510	20000512	1	2					
20000511	20000512	1	2					
20000512	20000513		1	1005				
20000513	20000514		1	10409				
20000514	20000515		1	10409				
20000515	20000516		1	10409				
20000516	20000517		1	10409				
20000517	20000518,20000519		1	10409				
20000518	20000520	1	2					
20000519	20000520	1	2					
20000520	20000521		1	10409				
20000521	20000522		1	10409				
20000522	20000523		1	1005				
20000523	20000524	1	2					
20000524	20000525		1	1005				
20000525			1	10409				
20000601	20000602		1	1005				
20000602	20000603		1	10410				
20000603	20000604		1	10410				
20000604	20000605		1	10411				
20000605	20000606		1	1005				
20000606	20000607,20000608		1	10410				
20000607	20000609	1	2					
20000608	20000609	1	2					
20000609	20000610		1	10410				
20000610	20000611		1	10410				
20000611	20000612		1	10410				
20000612	20000613		1	1005				
20000613	20000614		1	10410				
20000614	20000615		1	10410				
20000615	20000616		1	10411				
20000616	20000617	1	2					
20000617	20000618		1	10410				
20000618	20000619		1	10411				
20000619	20000620		1	1005				
20000620	20000621		1	10411				
20000621	20000622		1	10410				
20000622	20000623		1	10410				
20000623	20000624,20000625		1	10411				
20000624	20000626	1	2					
20000625	20000626	1	2					
20000626	20000627		1	10410				
20000627	20000628		1	10411				
20000628	20000629,20000630		1	10411				
20000629	20000631	1	2					
20000630	20000631	1	2					
20000631			1	10410				
20000701	20000702		1	10415				
20000702	20000703		1	10415				
20000703	20000704		1	1005				
20000704	20000705		1	10415				
20000705	20000706,20000707		1	10415				
20000706	20000708	1	2					
20000707	20000708	1	2					
20000708	20000709		1	10415				
20000709	20000710		1	10415				
20000710	20000711		1	10415				
20000711	20000712		1	10415				
20000712	20000713		1	10415				
20000713	20000714,20000715		1	1005				
20000714	20000716	1	2					
20000715	20000716	1	2					
20000716	20000717		1	10415				
20000717	20000718		1	10415				
20000718	20000719,20000721		1	10415				
20000719	20000720	1	2					
20000720	20000723		1	10415				
20000721	20000722	1	2					
20000722	20000723		1	10415				
20000723			1	10415				
20001001	20001002		1	10412				
20001002	20001003		1	10412				
20001003	20001004	1	2					
20001004	20001005		1	10412				
20001005	20001006		1	10419				
20001006	20001007		1	10420				
20001007	20001008		1	10421				
20001008	20001009		1	10412				
20001009	20001010	1	2					
20001010	20001011		1	10419				
20001011	20001012		1	10420				
20001012	20001013		1	10421				
20001013	20001014		1	10412				
20001014	20001015	1	2					
20001015	20001016		1	10412				
20001016	20001017		1	1005				
20001017	20001018		1	10412				
20001018	20001019		1	10412				
20001019	20001020,20001022,20001024		1	10412				
20001020	20001021	1	2					
20001021	20001026		1	1005				
20001022	20001023	1	2					
20001023	20001026		1	1005				
20001024	20001025	1	2					
20001025	20001026		1	1005				
20001026	20001027		1	10419				
20001027	20001028		1	10420				
20001028	20001029		1	10421				
20001029	20001030		1	10412				
20001030	20001031		1	10412				
20001031	20001032		1	10412				
20001032	20001033		1	1005				
20001033	20001034		1	10419				
20001034	20001035		1	10420				
20001035	20001036		1	10421				
20001036	20001037,20001039		1	10412				
20001037	20001038	1	2					
20001038	20001041		1	10412				
20001039	20001040	1	2					
20001040	20001041		1	10412				
20001041	20010101		1	10412				
20002001	20002002		1	207701				
20002002			1	207701				
20002101	20002102		1	1031				
20002102			1	1031				
20002201	20002202		1	1032				
20002202			1	1032				
20002301	20002302		1	10409				
20002302			1	10409				
20002401	20002402		1	10410				
20002402			1	10411				
20009901	20009902		1	1005				
20009902			1	1005				
20009903	20009904		1	1005				
20009904	20009905		1	1005				
20009905			1	1005				
20010101	20010102		1	1005				
20010102	20010103		1	1005				
20010103			1	1005				
20010104	20010105		1	1005				
20010105	20010106	1	2					
20010106			1	1005				
20010107	20010108,20010110		1	10412				
20010108	20010109	1	2					
20010109			1	10412				
20010110	20010111	1	2					
20010111			1	10412				
20010201	20010202		1	1031				
20010202	20010203		1	1031				
20010203	20010204		1	1032				
20010204	20010205		1	1031				
20010205	20010206		1	1031				
20010206	20010207		1	1032				
20010207	20010208		1	1032				
20010208	20010209		1	1031				
20010209	20010210		1	1031				
20010210	20010211,20010212		1	1031				
20010211	20010213	1	2					
20010212	20010213	1	2					
20010213	20010214		1	1031				
20010214	20010215		1	1031				
20010215	20010216		1	1031				
20010216	20010217		1	1005				
20010217	20010218		1	1032				
20010218	20010219		1	1032				
20010219	20010220		1	1005				
20010220	20010221		1	1031				
20010221	20010222		1	1031				
20010222	20010223		1	1032				
20010223	20010224		1	1032				
20010224	20010225,20010226		1	1032				
20010225	20010227	1	2					
20010226	20010227	1	2					
20010227	20010228		1	1032				
20010228			1	1031				
20010301	20010302		1	1031				
20010302	20010303		1	1031				
20010303	20010304		1	1032				
20010304	20010305		1	1031				
20010305	20010306		1	1031				
20010306	20010307		1	1032				
20010307	20010308		1	1032				
20010308	20010309		1	1031				
20010309	20010310		1	1031				
20010310	20010311,20010312		1	1031				
20010311	20010313	1	2					
20010312	20010313	1	2					
20010313	20010314		1	1031				
20010314	20010315		1	1031				
20010315	20010316		1	1031				
20010316	20010317		1	1005				
20010317	20010318		1	1032				
20010318	20010319		1	1032				
20010319	20010320		1	1005				
20010320	20010321		1	1031				
20010321	20010322		1	1031				
20010322	20010323		1	1032				
20010323	20010324		1	1032				
20010324	20010325,20010326		1	1032				
20010325	20010327	1	2					
20010326	20010327	1	2					
20010327	20010328		1	1032				
20010328			1	1031				
20010401	20010402		1	10412				
20010402	20010403		1	10412				
20010403	20010404,20010406		1	1005				
20010404	20010405	1	2					
20010405			1	10412				
20010406	20010407	1	2					
20010407			1	10412				
20010601	20010602		1	10413				
20010602	20010603,20010604		1	10413				
20010603	20010605	1	2					
20010604	20010605	1	2					
20010605	20010606		1	1005				
20010606	20010607		1	1005				
20010607	20010608		1	10413				
20010608	20010609		1	10413				
20010609	20010610		1	10413				
20010610	20010611		1	10413				
20010611	20010612		1	1005				
20010612	20010613		1	10413				
20010613	20010614		1	10413				
20010614	20010615		1	1005				
20010615	20010616		1	10413				
20010616	20010617	1	2					
20010617	20010618		1	1005				
20010618	20010619		1	10413				
20010619			1	10413				
20010701	20010702		1	10409				
20010702	20010703		1	10409				
20010703	20010704		1	1005				
20010704	20010705		1	10409				
20010705	20010706		1	10409				
20010706	20010707		1	10409				
20010707			1	10409				
20010801	20010802		1	1005				
20010802	20010803		1	10411				
20010803	20010804		1	10411				
20010804	20010805		1	10411				
20010805	20010806	1	2					
20010806	20010807		1	10411				
20010807	20010808		1	10411				
20010808	20010809		1	10411				
20010809	20010810		1	1005				
20010810			1	10411				
20010901	20010902		1	1032				
20010902	20010903		1	1032				
20010903	20010904,20010905		1	1032				
20010904	20010906	1	2					
20010905	20010906	1	2					
20010906	20010907		1	1032				
20010907	20010908		1	1031				
20010908	20010909,20010910		1	1031				
20010909	20010911	1	2					
20010910	20010911	1	2					
20010911	20010912		1	1005				
20010912	20010913		1	1031				
20010913	20010914		1	1031				
20010914	20010915,20010916		1	1031				
20010915	20010917	1	2					
20010916	20010917	1	2					
20010917	20010918		1	1032				
20010918	20010919		1	1032				
20010919	20010920		1	1005				
20010920	20010921		1	1032				
20010921	20010922		1	1032				
20010922	20010923		1	1032				
20010923	20010924		1	1031				
20010924	20010925		1	1032				
20010925	20010926		1	1032				
20010926	20010927		1	1005				
20010927	20010928		1	1005				
20010928	20010929		1	1032				
20010929	20010930		1	1032				
20010930			1	1032				
20011101	20011102		1	1032				
20011102	20011103,20011104		1	1032				
20011103	20011105	1	2					
20011104	20011105	1	2					
20011105	20011106		1	1005				
20011106	20011107		1	1032				
20011107	20011108		1	1032				
20011108	20011109	1	2					
20011109	20011110		1	1032				
20011110	20011111		1	1032				
20011111	20011112		1	1032				
20011112	20011113		1	1005				
20011113	20011114		1	1032				
20011114	20011115		1	1032				
20011115	20011116		1	1032				
20011116	20011117		1	1005				
20011117	20011118,20011119		1	1032				
20011118	20011120	1	2					
20011119	20011120	1	2					
20011120	20011121		1	1032				
20011121	20011122,20011123		1	1032				
20011122	20011124	1	2					
20011123	20011124	1	2					
20011124	20011125		1	1005				
20011125	20011126		1	1005				
20011126	20011127		1	1005				
20011127	20011128		1	1032				
20011128	20011129		1	1032				
20011129	20011130,20011131		1	1032				
20011130	20011132	1	2					
20011131	20011132	1	2					
20011132			1	1032				
20011301	20011302		1	1032				
20011302	20011303		1	1032				
20011303	20011304		1	1032				
20011304	20011305		1	1032				
20011305	20011306	1	2					
20011306	20011307		1	1032				
20011307	20011308		1	1032				
20011308	20011309		1	1005				
20011309	20011310		1	1032				
20011310	20011311		1	1032				
20011311	20011312		1	1032				
20011312	20011313		1	1032				
20011313	20011314	1	2					
20011314	20011315		1	1032				
20011315	20011316		1	1032				
20011316	20011317		1	1032				
20011317	20011318		1	1032				
20011318	20011319		1	1032				
20011319	20011320		1	1005				
20011320	20011321		1	1032				
20011321	20011322		1	1032				
20011322	20011323		1	1032				
20011323	20011324		1	1005				
20011324	20011325,20011326		1	1032				
20011325	20011327	1	2					
20011326	20011327	1	2					
20011327	20011328		1	1032				
20011328	20011329		1	1032				
20011329	20011330		1	1032				
20011330	20011331		1	1032				
20011331	20011332		1	1005				
20011332	20011333,20011335		1	1032				
20011333	20011334	1	2					
20011334			1	1032				
20011335	20011336	1	2					
20011336			1	1032				
20012001			1	10409				
20012101			1	10411				
20012201	20012202		1	1031				
20012202			1	1031				
20012301	20012302		1	1032				
20012302			1	1032				
20019901	20019902		1	1031				
20019902	20019903		1	10415				
20019903			1	10415				
20019904	20019905		1	1005				
20019905			1	1005				
20019906	20019907		1	1031				
20019907	20019908		1	1031				
20019908	20019909		1	1031				
20019909	20019910		1	10413				
20019910			1	10413				
20019911	20019912		1	1005				
20019912			1	1005				
20019913	20019914		1	1005				
20019914			1	1005				
20020101			1	10412				
20020201	20020202		1	1031				
20020202	20020203		1	1031				
20020203	20020204		1	1031				
20020204	20020205		1	1031				
20020205	20020206		1	1031				
20020206	20020207		1	1031				
20020207	20020208		1	1031				
20020208	20020209		1	10419				
20020209	20020210		1	10420				
20020210	20020211		1	1031				
20020211	20020212		1	1031				
20020212	20020213		1	1031				
20020213	20020214		1	1031				
20020214	20020215,20020216		1	1031				
20020215	20020217	1	2					
20020216	20020217	1	2					
20020217	20020218		1	1031				
20020218	20020219		1	1032				
20020219	20020220		1	1032				
20020220			1	1032				
20020401	20020402		1	1031				
20020402	20020403		1	1031				
20020403	20020404		1	1005				
20020404	20020405		1	1031				
20020405	20020406		1	1031				
20020406	20020407		1	1032				
20020407	20020408		1	1032				
20020408	20020409		1	1032				
20020409	20020410		1	1031				
20020410	20020411		1	1031				
20020411	20020412,20020413		1	1032				
20020412	20020414	1	2					
20020413	20020414	1	2					
20020414	20020415		1	1005				
20020415			1	1032				
20020901	20020902		1	10414				
20020902	20020903		1	10414				
20020903	20020904		1	1032				
20020904	20020905		1	10414				
20020905	20020906		1	10414				
20020906	20020907		1	1032				
20020907	20020908		1	1032				
20020908	20020909		1	1032				
20020909	20020910		1	10414				
20020910	20020911		1	1032				
20020911	20020912		1	1032				
20020912	20020913		1	10414				
20020913	20020914		1	10414				
20020914	20020915		1	1005				
20020915	20020916		1	10414				
20020916	20020917		1	10414				
20020917	20020918		1	10414				
20020918	20020919,20020921,20020927		1	10414				
20020919	20020920	1	2					
20020920	20020923		1	10414				
20020921	20020922	1	2					
20020922	20020925		1	10414				
20020923	20020924	1	2					
20020924	20020928		1	10414				
20020925	20020926	1	2					
20020926	20020928		1	10414				
20020927	20020928	1	2					
20020928	20020929		1	10414				
20020929	20020930		1	1032				
20020930	20020931		1	10414				
20020931	20020932		1	1032				
20020932	20020933		1	1032				
20020933	20020934		1	1005				
20020934	20020935		1	10414				
20020935			1	10414				
20021101	20021102		1	10414				
20021102	20021103		1	10414				
20021103	20021104		1	1032				
20021104	20021105		1	1032				
20021105	20021106		1	10414				
20021106	20021107		1	1032				
20021107	20021108		1	1032				
20021108	20021110		1	10414				
20021110	20021111		1	1005				
20021111	20021112		1	1032				
20021112	20021113		1	1032				
20021113	20021114		1	1032				
20021114	20021115	1	2					
20021115	20021116		1	1032				
20021116	20021117		1	1032				
20021117	20021190		1	1032				
20021118	20021120	1	2					
20021119	20021120	1	2					
20021120	20021121		1	1005				
20021121	20021122		1	1032				
20021122	20021123,20021124		1	1032				
20021123	20021125	1	2					
20021124	20021125	1	2					
20021125	20021126		1	1005				
20021126	20021127		1	1032				
20021127	20021128		1	1032				
20021128	20021129		1	1032				
20021129	20021130		1	1005				
20021130	20021131		1	1032				
20021131	20021132,20021134		1	1032				
20021132	20021133	1	2					
20021133			1	1032				
20021134	20021135	1	2					
20021135	20021136		1	1032				
20021136			1	1032				
20021190	20021191		1	1032				
20021191	20021192		1	1032				
20021192	20021118,20021119		1	1032				
20021201	20021202		1	1005				
20021202	20021203		1	10412				
20021203	20021204		1	10412				
20021204	20021205		1	10412				
20021205	20021206		1	1032				
20021206	20021207		1	10412				
20021207	20021208		1	1032				
20021208	20021209		1	1032				
20021209	20021210		1	1032				
20021210	20021211		1	10412				
20021211	20021212		1	10412				
20021212	20021213		1	1005				
20021213	20021214		1	10412				
20021214	20021215	1	2					
20021215	20021216		1	1032				
20021216	20021217		1	1032				
20021217	20021218		1	1032				
20021218	20021219		1	1005				
20021219	20021220		1	1032				
20021220	20021221		1	1032				
20021221	20021222		1	1032				
20021222	20021223		1	1005				
20021223	20021224		1	1032				
20021224			1	1032				
20022001	20022002		1	10409				
20022002			1	10409				
20022101			1	10416				
20022201	20022202		1	10417				
20022202			1	10417				
20022301			1	10418				
20022401	20022402		1	1031				
20022402			1	1031				
20022501	20022502		1	10412				
20022502			1	10412				
20022601			1	10409				
20022701	20022702		1	10416				
20022702			1	10417				
20022801			1	10418				
20022901	20022902		1	214301				
20022902			1	214301				
20023001	20023002		1	1032				
20023002			1	1032				
20029901	20029902		1	1005				
20029902	20029903		1	1032				
20029903			1	1032				
20029904	20029905		1	1005				
20029905	20029906		1	1032				
20029906	20029907		1	1005				
20029907			1	1032				
20029908	20029909		1	1032				
20029909	20029910		1	1005				
20029910	20029911		1	1032				
20029911	20029990		1	1032				
20029912	20029913		1	10422				
20029913	20029914		1	1032				
20029914			1	1032				
20029990	20029991		1	1032				
20029991			1	1032				
80000001			1	1005				
80000002			1	1005				
80000101	80000102		1	201601				
80000102	80000103		1	201601				
80000103	80000104		1	201601				
80000104	80000105		1	201601				
80000105	80000106		1	1005				
80000106	80000107		1	1015				
80000107	80000108		1	1015				
80000108	80000109		1	201601				
80000109	80000110		1	1015				
80000110	80000111		1	1005				
80000111	80000112		1	201601				
80000112	80000113,80000114		1	1005				
80000113	80000116		2					
80000114	80000115		2					
80000115	80000116		1	201601				
80000116	80000117		1	201601				
80000117	80000118		1	201601				
80000118	80000119		1	1015				
80000119	80000120		1	1015				
80000120	80000121		1	1015				
80000121	80000122		1	201601				
80000122	80000123		1	1005				
80000123	80000124		1	201601				
80000124	80000125,80000127		1	201601				
80000125	80000126		2					
80000126	80000129		1	201601				
80000127	80000128		2					
80000128	80000129		1	201601				
80000129	80000130		1	201601				
80000130	80000131		1	1015				
80000131	80000132		1	1015				
80000132	80000133,80000134		1	1015				
80000133	80000135		2					
80000134	80000135		2					
80000135	80000136		1	1005				
80000136	80000137		1	1015				
80000137			1	201601				
80000201	80000202		1	1005				
80000202	80000203		1	1005				
80000203	80000204		1	1005				
80000204	80000205		1	1005				
80000205	80000206,80000207		1	1005				
80000206	80000208		2					
80000207	80000208		2					
80000208	80000209		1	1005				
80000209	80000210		1	1005				
80000210	80000211		1	1005				
80000211	80000212		1	1005				
80000212	80000213		1	1005				
80000213	80000214		1	1005				
80000214	80000215		1	10910				
80000215	80000216		1	1005				
80000216	80000217,80000218		1	1005				
80000217	80000219		2					
80000218	80000219		2					
80000219	80000220		1	1005				
80000220			1	1005				
80000301	80000302		1	10916				
80000302	80000303		1	10916				
80000303	80000304		1	10916				
80000304	80000305		1	10916				
80000305	80000306		1	1005				
80000306	80000307		1	1005				
80000307	80000308	1	2					
80000308	80000309		1	1005				
80000309	80000310	1	2					
80000310			1	1005				
80000401	80000402		1	10916				
80000402	80000403		1	10916				
80000403	80000404		1	10916				
80000404	80000405,80000406		1	1005				
80000405	80000407		2					
80000406	80000407		2					
80000407	80000408		1	10916				
80000408	80000409		1	10916				
80000409			1	10916				
80010101	80010102		1	1022				
80010102	80010103		1	1005				
80010103	80010104		1	1022				
80010104	80010105		1	1022				
80010105	80010106		1	1005				
80010106	80010107,80010108		1	1022				
80010107	80010109		2					
80010108	80010109		2					
80010109	80010110		1	1022				
80010110	80010111		1	1022				
80010111	80010112		1	1005				
80010112	80010113		1	1005				
80010113	80010114,80010115		1	1022				
80010114	80010116		2					
80010115	80010116		2					
80010116			1	1005				
80010201	80010202		1	1005				
80010202	80010203		1	1022				
80010203	80010204		1	1005				
80010204	80010205,80010206		1	1005				
80010205	80010207		2					
80010206	80010207		2					
80010207	80010208		1	1022				
80010208	80010209		1	1022				
80010209	80010210		1	1022				
80010210	80010211		1	1022				
80010211	80010212,80010213		1	1005				
80010212	80010214		2					
80010213	80010214		2					
80010214	80010215		1	1022				
80010215	80010216		1	1022				
80010216	80010217		1	1022				
80010217	80010218,80010219		1	1022				
80010218	80010220		2					
80010219	80010220		2					
80010220	80010221		1	1005				
80010221			1	1022				
80010301	80010302		1	1005				
80010302	80010303		1	1005				
80010303	80010304		1	1022				
80010304	80010305,80010306		1	1022				
80010305	80010307		2					
80010306	80010307		2					
80010307	80010308		1	1022				
80010308	80010309		1	1022				
80010309	80010310		1	1022				
80010310	80010311		1	1005				
80010311	80010312		1	1022				
80010312	80010313		1	1005				
80010313	80010314		1	1005				
80010314	80010315		1	1005				
80010315	80010316		1	1005				
80010316	80010317	1	2					
80010317	80010318		1	1005				
80010318	80010319	1	2					
80010319	80010320		1	1005				
80010320	80010321		1	1022				
80010321	80010322		1	1022				
80010322	80010323,80010324,80010325,80010362		1	1022				
80010323	80010326		2					
80010324	80010326		2					
80010325	80010326		2					
80010326	80010327		1	1005				
80010327	80010328		1	1022				
80010328	80010329		1	1005				
80010329	80010330		1	1022				
80010330	80010331,80010332		1	1005				
80010331	80010333		2					
80010332	80010333		2					
80010333	80010334		1	1022				
80010334	80010335		1	1022				
80010335	80010336		1	1005				
80010336	80010337		1	1022				
80010337	80010338		1	1005				
80010338	80010339		1	1022				
80010339	80010340		1	1022				
80010340	80010341		1	1022				
80010341	80010342		1	1005				
80010342	80010343		1	1005				
80010343	80010344,80010345		1	1005				
80010344	80010346		2					
80010345	80010346		2					
80010346	80010347		1	1005				
80010347	80010348		1	1022				
80010348	80010349		1	1022				
80010349	80010350		1	1022				
80010350	80010351		1	1005				
80010351	80010352		1	1022				
80010352	80010353		1	1005				
80010353	80010354		1	1022				
80010354	80010355		1	1022				
80010355	80010356,80010357		1	1005				
80010356	80010358		2					
80010357	80010358		2					
80010358	80010359,80010360		1	1022				
80010359	80010361		2					
80010360	80010361		2					
80010361			1	1022				
80010362	80010326		2					
80010401	80010402		1	1005				
80010402	80010403		1	1022				
80010403	80010404		1	1022				
80010404	80010405		1	1005				
80010405	80010406		1	1022				
80010406	80010407		1	1005				
80010407	80010408		1	1022				
80010408	80010409		1	1022				
80010409	80010410		1	1022				
80010410	80010411,80010412		1	1005				
80010411	80010413		2					
80010412	80010413		2					
80010413	80010414		1	1005				
80010414	80010415		1	1005				
80010415	80010416		1	1022				
80010416	80010417		1	1022				
80010417	80010418		1	1005				
80010418	80010419		1	1022				
80010419	80010420,80010421		1	1005				
80010420	80010422		2					
80010421	80010422		2					
80010422	80010423		1	1005				
80010423	80010424	1	2					
80010424	80010425		1	1022				
80010425	80010426		1	1022				
80010426	80010427		1	1005				
80010427	80010428		1	1005				
80010428	80010429		1	1022				
80010429	80010430		1	1022				
80010430	80010431		1	1005				
80010431	80010432,80010433		1	1005				
80010432	80010434		2					
80010433	80010434		2					
80010434	80010435		1	1022				
80010435	80010436		1	1022				
80010436	80010437		1	1022				
80010437	80010438		1	1022				
80010438	80010439		1	1005				
80010439	80010440,80010441		1	1022				
80010440	80010442		2					
80010441	80010442		2					
80010442	80010443		1	1005				
80010443	80010444		1	1022				
80010444	80010445,80010446		1	1022				
80010445	80010447		2					
80010446	80010447		2					
80010447	80010448		1	1005				
80010448	80010449,80010450		1	1005				
80010449	80010451		2					
80010450	80010451		2					
80010451	80010452		1	1005				
80010452	80010453		1	1022				
80010453	80010454		1	1005				
80010454			1	1022				
80010501	80010502		1	1005				
80010502	80010503		1	1005				
80010503	80010504		1	1005				
80010504	80010505		1	1022				
80010505	80010506		1	1022				
80010506	80010507,80010508		1	1005				
80010507	80010509		2					
80010508	80010509		2					
80010509	80010510		1	1022				
80010510	80010511		1	1022				
80010511	80010512		1	1005				
80010512	80010513		1	1022				
80010513	80010514		1	1022				
80010514	80010515		1	1022				
80010515	80010516		1	1022				
80010516	80010517,80010518		1	1005				
80010517	80010520		2					
80010518	80010519		2					
80010519	80010520		1	1005				
80010520	80010521		1	1022				
80010521			1	1022				
80020001			1	1005				
80020002			1	1022				
80020003			1	1005				
80020004			1	1005				
80020101	80020102		1	1008				
80020102	80020103		1	1008				
80020103	80020104		1	1005				
80020104	80020105		1	1005				
80020105	80020106		1	1008				
80020106	80020107		1	1005				
80020107	80020108		1	1008				
80020108	80020109		1	1008				
80020109	80020110		1	1008				
80020110	80020111		1	1008				
80020111	80020112		1	1008				
80020112	80020113		1	1005				
80020113	80020114		1	1008				
80020114	80020115		1	1005				
80020115	80020116		1	1005				
80020116	80020117		1	1008				
80020117	80020118		1	1005				
80020118	80020119		1	1008				
80020119	80020120		1	1008				
80020120	80020121		1	1005				
80020121	80020122		1	1008				
80020122	80020123,80020124		1	1008				
80020123	80020125		2					
80020124	80020125		2					
80020125	80020126		1	1008				
80020126	80020127		1	1008				
80020127	80020128		1	1008				
80020128	80020129		1	1005				
80020129	80020130		1	1020				
80020130	80020131		1	1008				
80020131	80020132		1	1020				
80020132	80020133		1	1008				
80020133	80020134		1	1020				
80020134	80020135		1	1005				
80020135	80020136		1	1020				
80020136	80020137		1	1020				
80020137	80020138		1	1020				
80020138	80020139		1	1008				
80020139	80020140		1	1020				
80020140	80020141		1	1008				
80020141	80020142	1	2					
80020142	80020143		1	1005				
80020143	80020144		1	1008				
80020144			1	1008				
80020201	80020202		1	1005				
80020202	80020203		1	1022				
80020203	80020204	1	2					
80020204	80020205		1	1005				
80020205	80020206		1	1022				
80020206	80020207,80020208		1	1005				
80020207	80020209		2					
80020208	80020209		2					
80020209	80020210		1	1022				
80020210	80020211		1	1022				
80020211	80020212,80020214		1	1022				
80020212	80020213		2					
80020213	80020216		1	1022				
80020214	80020215		2					
80020215	80020216		1	1022				
80020216	80020217		1	1022				
80020217	80020218		1	1022				
80020218	80020219		1	1022				
80020219	80020220		1	1005				
80020220	80020221	1	2					
80020221	80020222		1	1022				
80020222	80020223		1	1022				
80020223	80020224		1	1022				
80020224	80020225		1	1005				
80020225	80020226		1	1022				
80020226	80020227		1	1022				
80020227	80020228		1	1005				
80020228	80020229		1	1005				
80020229	80020230	1	2					
80020230	80020231		1	1005				
80020231	80020232		1	1005				
80020232	80020233	1	2					
80020233	80020234		1	1005				
80020234	80020235		1	1006				
80020235	80020236		1	1005				
80020236	80020237		1	1005				
80020237	80020238		1	1006				
80020238	80020239		1	1006				
80020239	80020240		1	1006				
80020240	80020241		1	1006				
80020241	80020242		1	1005				
80020242	80020243		1	1005				
80020243	80020244		1	1006				
80020244	80020245		1	1006				
80020245	80020246		1	1006				
80020246	80020247		1	1006				
80020247	80020248	1	2					
80020248			1	1006				
80020301	80020302		1	1011				
80020302	80020303		1	10916				
80020303	80020304		1	10916				
80020304	80020305		1	10916				
80020305	80020306		1	1176				
80020306	80020307		1	1005				
80020307	80020308		1	1005				
80020308	80020309,80020310		1	1011				
80020309	80020311		2					
