商品ID	商店类型	对应物品ID	轮替商品ID	对应物品数量	消耗金币	消耗水晶	消耗创世结晶	[消耗物品]1ID	[消耗物品]1数量	[消耗物品]2ID	[消耗物品]2数量	限购数量	刷新类型	刷新参数	提前预览天数	上架时间	下架时间	是否终身限购	前置条件	前置条件参数	条件参数1	条件参数2	最小可见等级	最小队伍等级	最大队伍等级	排序等级	二级页签ID	n选1组ID	显示平台
102516	1001	112009		1				222	5			35	1	1		2019-12-01 00:00:00	2035-01-01 00:00:00						1	10	99	4			
102517	1001	112012		1				222	5			35	1	1		2019-12-01 00:00:00	2035-01-01 00:00:00						1	10	99	4			
102518	1001	112033		1				222	5			35	1	1		2019-12-01 00:00:00	2035-01-01 00:00:00						1	10	99	4			
102519	1001	112036		1				222	5			35	1	1		2019-12-01 00:00:00	2035-01-01 00:00:00						1	10	99	4			
102520	1001	112039		1				222	5			35	1	1		2019-12-01 00:00:00	2035-01-01 00:00:00						1	10	99	4			
102521	1001	112014		1				222	5			16	1	1		2019-12-01 00:00:00	2035-01-01 00:00:00						1	10	99	3			
102523	1001	112020		1				222	5			16	1	1		2019-12-01 00:00:00	2035-01-01 00:00:00						1	10	99	3			
102524	1001	112023		1				222	5			16	1	1		2019-12-01 00:00:00	2035-01-01 00:00:00						1	10	99	3			
102525	1001	112026		1				222	5			16	1	1		2019-12-01 00:00:00	2035-01-01 00:00:00						1	10	99	3			
102526	1001	112029		1				222	5			16	1	1		2019-12-01 00:00:00	2035-01-01 00:00:00						1	10	99	3			
102527	1001	112041		1				222	5			16	1	1		2019-12-01 00:00:00	2035-01-01 00:00:00						1	10	99	3			
102528	1001	112002		3				222	5			15	1	1		2019-12-01 00:00:00	2035-01-01 00:00:00						1	10	99	1			
102529	1001	112005		3				222	5			15	1	1		2019-12-01 00:00:00	2035-01-01 00:00:00						1	10	99	1			
102530	1001	112008		3				222	5			15	1	1		2019-12-01 00:00:00	2035-01-01 00:00:00						1	10	99	1			
102531	1001	112011		3				222	5			15	1	1		2019-12-01 00:00:00	2035-01-01 00:00:00						1	10	99	1			
102532	1001	112032		3				222	5			15	1	1		2019-12-01 00:00:00	2035-01-01 00:00:00						1	10	99	1			
102533	1001	112035		3				222	5			15	1	1		2019-12-01 00:00:00	2035-01-01 00:00:00						1	10	99	1			
102534	1001	112038		3				222	5			15	1	1		2019-12-01 00:00:00	2035-01-01 00:00:00						1	10	99	1			
102535	1001	104201		10				222	5			100	1	1		2019-12-01 00:00:00	2035-01-01 00:00:00						1	10	99	5			
103010	902	115010		1			300					1	2	1		2019-12-01 00:00:00	2035-01-01 00:00:00						1	1	99	10			
103011	902	115011		1			980					1	2	1		2019-12-01 00:00:00	2035-01-01 00:00:00						1	1	99	9			
103012	902	115019		1			100					5				2020-11-11 00:00:00	2020-11-25 23:59:59						1	1	99	11			
103013	902	115020		1			120					5				2020-11-11 00:00:00	2020-11-25 23:59:59						1	1	99	11			
103014	902	115021		1			680					3				2020-11-11 00:00:00	2020-11-25 23:59:59						1	1	99	11			
103018	902	115023		1			120					5				2020-12-22 00:00:00	2021-01-06 23:59:59						1	1	99	11			
103019	902	115022		1			680					3				2020-12-22 00:00:00	2021-01-06 23:59:59						1	1	99	11			
103020	902	115023		1			120					5				2021-02-02 00:00:00	2021-02-18 23:59:59						1	1	99	11			
103021	902	115022		1			680					3				2021-02-02 00:00:00	2021-02-18 23:59:59						1	1	99	11			
103022	902	115029		1			680					5				2021-02-02 00:00:00	2021-02-18 23:59:59						1	1	99	11			
103023	902	115022		1			680					3				2021-03-16 00:00:00	2021-03-31 23:59:59						1	1	99	11			
103024	902	115029		1			680					5				2021-03-16 00:00:00	2021-03-31 23:59:59						1	1	99	11			
103025	902	115030		1			80					5				2021-04-27 00:00:00	2021-05-12 23:59:59						1	1	99	11			
103026	902	115022		1			680					3				2021-04-27 00:00:00	2021-05-12 23:59:59						1	1	99	11			
103027	902	115029		1			680					5				2021-04-27 00:00:00	2021-05-12 23:59:59						1	1	99	11			
103028	902	115022		1			680					3				2021-06-30 00:00:00	2021-07-14 23:59:59						1	1	99	11			
103029	902	115029		1			680					5				2021-06-30 00:00:00	2021-07-14 23:59:59						1	1	99	11			
106001	1052	340001		1			1680					1				2019-12-01 00:00:00	2035-01-01 00:00:00						1	1	99	11			
