关卡ID	组ID	组内序号	地城ID	[评价]1条件	[评价]1参数	[评价]2条件	[评价]2参数	[评价]3条件	[评价]3参数	战前增益ID1	战前增益ID2	战前增益ID3	每日奖励RewardId	首通奖励RewardId	怪物等级
16	6	1	3342	3	2,30	3	2,60	3	2,120	1:100,2:100,3:100,21:100,27:100	15:100,16:100,25:100,28:100,29:100,32:100,36:100	6:100,7:100,18:100,35:100		621016	59
17	6	2	3442	3	2,90	3	2,180	3	2,270	1:100,2:100,3:100,21:100,27:100	15:100,16:100,25:100,28:100,29:100,32:100,36:100	19:100		621017	59
18	6	3	3542	3	2,120	3	2,240	3	2,330	1:100,2:100,3:100,21:100,27:100	15:100,16:100,25:100,28:100,29:100,32:100,36:100	19:100		621018	59
19	7	1	3343	3	2,120	3	2,300	3	2,420	1:100,4:100,5:100,20:100,23:100	15:100,16:100,25:100,28:100,29:100,32:100,36:100	6:100,7:100,18:100,35:100		621019	64
20	7	2	3443	3	2,120	3	2,300	3	2,390	1:100,4:100,5:100,20:100,23:100	15:100,16:100,25:100,28:100,29:100,32:100,36:100	19:100		621020	64
21	7	3	3543	3	2,120	3	2,330	3	2,450	1:100,4:100,5:100,20:100,23:100	15:100,16:100,25:100,28:100,29:100,32:100,36:100	19:100		621021	64
22	8	1	3344	3	2,180	3	2,330	3	2,420	1:100,2:100,3:100,21:100,27:100	15:100,16:100,28:100,32:100,36:100,17:100	6:100,7:100,18:100,35:100		621022	69
23	8	2	3444	3	2,180	3	2,300	3	2,360	1:100,2:100,3:100,21:100,27:100	15:100,16:100,28:100,32:100,35:100,36:100	6:100,7:100,17:100,38:100		621023	69
24	8	3	3544	3	2,60	3	2,120	3	2,180	1:100,2:100,3:100,21:100,27:100	15:100,16:100,28:100,32:100,35:100,36:100,17:100	19:100		621024	69
25	9	1	3371	3	2,60	3	2,180	3	2,300	4:100,20:100,23:100,24:100	15:100,16:100,25:100,28:100,29:100,32:100,36:100	6:100,7:100,18:100,35:100		621025	71
26	9	2	3471	3	2,60	3	2,180	3	2,300	4:100,20:100,23:100,24:100	15:100,16:100,25:100,28:100,29:100,32:100,36:100	6:100,7:100,17:100,38:100,31:100,34:100		621026	73
27	9	3	3571	3	2,180	3	2,300	3	2,420	4:100,20:100,23:100,24:100	15:100,16:100,25:100,28:100,29:100,32:100,36:100	19:100		621027	75
28	10	1	3375	3	2,60	3	2,180	3	2,300	1:100,2:100,3:100,21:100,24:100	16:100,25:100,28:100,29:100,32:100,36:100	31:100		621028	79
29	10	2	3475	3	2,60	3	2,180	3	2,300	1:100,2:100,3:100,21:100,24:100,27:100	16:100,25:100,28:100,29:100,32:100,36:100	19:100		621029	81
30	10	3	3575	3	2,180	3	2,300	3	2,420	1:100,2:100,3:100,21:100,24:100,27:100	16:100,25:100,28:100,29:100,32:100,36:100	19:100		621030	84
31	11	1	3373	3	2,60	3	2,180	3	2,300	1:100,2:100,3:100,21:100,27:100	15:100,16:100,25:100,28:100,29:100,32:100,36:100,17:100	6:100,7:100,18:100,35:100		621031	87
32	11	2	3473	2	234703002,2016,20	2	234703002,2016,40	2	234703002,2016,60	1:100,2:100,3:100,21:100,27:100	15:100,16:100,25:100,28:100,29:100,32:100,35:100,36:100	6:100,7:100,17:100,38:100,31:100,34:100		621032	89
33	11	3	3573	3	2,180	3	2,300	3	2,420	1:100,2:100,3:100,21:100,27:100	15:100,16:100,25:100,28:100,29:100,32:100,35:100,36:100,17:100	19:100		621033	91
34	12	1	3374	3	2,60	3	2,180	3	2,300	1:100,2:100,21:100,24:100	15:100,16:100,25:100,28:100,29:100,32:100,36:100	6:100,7:100,18:100,35:100		621034	94
35	12	2	3474	2	234704003,3024,20	2	234704003,3024,40	2	234704003,3024,60	1:100,2:100,21:100,24:100	15:100,16:100,25:100,28:100,29:100,32:100,36:100	6:100,7:100,17:100,38:100,31:100,34:100		621035	97
36	12	3	3574	3	2,180	3	2,300	3	2,420	1:100,2:100,21:100,24:100	15:100,16:100,25:100,28:100,29:100,32:100,36:100	19:100		621036	99
37	13	1	3376	3	2,60	3	2,180	3	2,300	4:100,20:100,23:100,24:100	15:100,16:100,25:100,28:100,29:100,32:100,36:100	6:100,7:100,18:100,35:100		621025	71
38	13	2	3476	3	2,60	3	2,180	3	2,300	4:100,20:100,23:100,24:100	15:100,16:100,25:100,28:100,29:100,32:100,36:100	6:100,7:100,17:100,38:100,31:100,34:100		621026	73
39	13	3	3576	3	2,180	3	2,300	3	2,420	4:100,20:100,23:100,24:100	15:100,16:100,25:100,28:100,29:100,32:100,36:100	19:100		621027	75
40	14	1	3377	3	2,60	3	2,180	3	2,300	1:100,2:100,3:100,21:100,24:100	16:100,25:100,28:100,29:100,32:100,36:100	31:100		621028	79
41	14	2	3477	3	2,60	3	2,180	3	2,300	1:100,2:100,3:100,21:100,24:100,27:100	16:100,25:100,28:100,29:100,32:100,36:100	19:100		621029	81
42	14	3	3577	3	2,180	3	2,300	3	2,420	1:100,2:100,3:100,21:100,24:100,27:100	16:100,25:100,28:100,29:100,32:100,36:100	19:100		621030	84
43	15	1	3379	3	2,60	3	2,180	3	2,300	1:100,2:100,21:100,24:100	15:100,16:100,25:100,28:100,29:100,32:100,36:100	6:100,7:100,18:100,35:100		621031	87
44	15	2	3479	2	234709003,3024,20	2	234709003,3024,40	2	234709003,3024,60	1:100,2:100,21:100,24:100	15:100,16:100,25:100,28:100,29:100,32:100,36:100	6:100,7:100,17:100,38:100,31:100,34:100		621032	89
45	15	3	3579	3	2,180	3	2,300	3	2,420	1:100,2:100,21:100,24:100	15:100,16:100,25:100,28:100,29:100,32:100,36:100	19:100		621033	91
46	16	1	3378	3	2,60	3	2,180	3	2,300	1:100,2:100,3:100,21:100,27:100	15:100,16:100,25:100,28:100,29:100,32:100,36:100,17:100	6:100,7:100,18:100,35:100		621034	94
47	16	2	3478	3	2,60	3	2,180	3	2,300	1:100,2:100,3:100,21:100,27:100	15:100,16:100,25:100,28:100,29:100,32:100,35:100,36:100	6:100,7:100,17:100,38:100,31:100,34:100		621035	97
48	16	3	3578	3	2,180	3	2,300	3	2,420	1:100,2:100,3:100,21:100,27:100	15:100,16:100,25:100,28:100,29:100,32:100,35:100,36:100,17:100	19:100		621036	99
49	17	1	3380	3	2,180	3	2,300	3	2,420	1:100,2:100,3:100,21:100,27:100	15:100,16:100,25:100,28:100,29:100,32:100,36:100,17:100	6:100,7:100,18:100,35:100		621034	94
50	17	2	3480	3	2,180	3	2,300	3	2,420	1:100,2:100,3:100,21:100,27:100	15:100,16:100,25:100,28:100,29:100,32:100,35:100,36:100	6:100,7:100,17:100,38:100,31:100,34:100		621035	97
51	17	3	3580	3	2,180	3	2,300	3	2,420	1:100,2:100,3:100,21:100,27:100	15:100,16:100,25:100,28:100,29:100,32:100,35:100,36:100,17:100	19:100		621036	99
52	18	1	3381	2	233711003,3024,20	2	233711003,3024,40	2	233711003,3024,60	1:100,2:100,3:100,21:100,27:100	15:100,16:100,25:100,28:100,29:100,32:100,36:100,17:100	6:100,7:100,18:100,35:100		621034	87
53	18	2	3481	3	2,120	3	2,240	3	2,360	1:100,2:100,3:100,21:100,27:100	15:100,16:100,25:100,28:100,29:100,32:100,35:100,36:100	6:100,7:100,17:100,38:100,31:100,34:100		621035	89
54	18	3	3581	3	2,180	3	2,300	3	2,420	1:100,2:100,3:100,21:100,27:100	15:100,16:100,25:100,28:100,29:100,32:100,35:100,36:100,17:100	19:100		621036	91
55	19	1	3382	3	2,180	3	2,300	3	2,420	1:100,2:100,3:100,21:100,27:100	15:100,16:100,25:100,28:100,29:100,32:100,36:100,17:100	6:100,7:100,18:100,35:100		621034	94
56	19	2	3482	3	2,180	3	2,300	3	2,420	1:100,2:100,3:100,21:100,27:100	15:100,16:100,25:100,28:100,29:100,32:100,35:100,36:100	6:100,7:100,17:100,38:100,31:100,34:100		621035	97
57	19	3	3582	3	2,180	3	2,300	3	2,420	1:100,2:100,3:100,21:100,27:100	15:100,16:100,25:100,28:100,29:100,32:100,35:100,36:100,17:100	19:100		621036	99
58	20	1	3383	3	2,60	3	2,180	3	2,300	1:100,2:100,4:100,5:100,20:100,23:100	10:100,15:100,28:100,29:100,35:100,38:100	7:100,22:100,31:100		621025	71
59	20	2	3483	3	2,60	3	2,180	3	2,300	1:100,2:100,4:100,5:100,20:100,23:100	10:100,15:100,28:100,29:100,35:100,38:100	7:100,22:100,34:100		621026	73
60	20	3	3583	3	2,180	3	2,300	3	2,420	1:100,2:100,4:100,5:100,20:100,23:100	10:100,15:100,28:100,29:100,35:100,38:100	19:100		621027	75
61	21	1	3384	3	2,60	3	2,180	3	2,300	1:100,2:100,4:100,5:100,20:100,23:100	10:100,15:100,28:100,29:100,35:100,38:100	7:100,22:100,31:100		621028	79
62	21	2	3484	3	2,60	3	2,180	3	2,300	1:100,2:100,4:100,5:100,20:100,23:100	10:100,15:100,28:100,29:100,35:100,38:100	7:100,22:100,34:100		621029	81
63	21	3	3584	3	2,180	3	2,300	3	2,420	1:100,2:100,4:100,5:100,20:100,23:100	10:100,15:100,28:100,29:100,35:100,38:100	19:100		621030	84
64	22	1	3385	2	233715003,3024,20	2	233715003,3024,40	2	233715003,3024,60	1:100,2:100,4:100,5:100,20:100,23:100	15:100,25:100,26:100,28:100,29:100,35:100,38:100	7:100,22:100,31:100		621031	87
65	22	2	3485	3	2,60	3	2,180	3	2,300	1:100,2:100,4:100,5:100,20:100,23:100	15:100,25:100,26:100,28:100,29:100,35:100,38:100	7:100,22:100,34:100		621032	89
66	22	3	3585	3	2,180	3	2,300	3	2,420	1:100,2:100,4:100,5:100,20:100,23:100	15:100,25:100,26:100,28:100,29:100,35:100,38:100	19:100		621033	91
67	23	1	3386	3	2,180	3	2,300	3	2,420	1:100,2:100,4:100,5:100,20:100,23:100	15:100,25:100,26:100,28:100,29:100,35:100,38:100	7:100,22:100,34:100		621034	94
68	23	2	3486	3	2,180	3	2,300	3	2,420	1:100,2:100,4:100,5:100,20:100,23:100	15:100,25:100,26:100,28:100,29:100,35:100,38:100	7:100,22:100,34:100		621035	97
69	23	3	3586	3	2,180	3	2,300	3	2,420	1:100,2:100,4:100,5:100,20:100,23:100	15:100,25:100,26:100,28:100,29:100,35:100,38:100	19:100		621036	99
