图鉴ID	类型	怪物ID	见到即解锁	序号	已废弃	解锁才显示	描述$text_name_Desc
20010801	1	00108		12			逸散在自然之中的冰元素凝聚形成的小小魔物。\n过去曾经有竞争对手恶意谣传说，「晨曦酒庄」会利用冰史莱姆来调控酒窖的温度，以此保证酒品的质量。
20010901	1	00109		13			逸散在自然之中的冰元素凝聚形成的魔物。\n会利用体内凝聚的丰沛的冰元素，将大气中的水汽凝结成具有保护性的外壳；也会利用同样的原理，将周围的水面冻结。某种意义上是最自由的史莱姆，可以轻松自在地渡过汪洋大海。
20011401	1	00114		14			大地之中的岩元素凝聚形成的小小魔物。\n广义而言，地壳之中蕴含着丰富的岩元素。由此产生的岩史莱姆也让人有着脚踏实地的感觉。
20011501	1	00115		15			大地之中的岩元素凝聚形成的魔物。\n能将体内的力量凝结成岩壳，保护自己不受伤害。过去在盗宝团中一度流传着「大黄金岩史莱姆王」的说法，认为既然不少宝石与矿物中蕴含岩元素，那蕴含岩元素的史莱姆同样很可能是宝石与矿物。
20020101	1	00201		23			质量极高的风元素结核后产生的形态。\n狂风之核的形成意味着地方的元素地脉阻塞，其中出现了淤积。会肆无忌惮地挥霍狂风的力量，扫荡周围的人，或许也是因为它象征着此间天地的病痛吧。
20040201	1	00402		33			代号为「贝特」的高级风元素生命。\n「无相」指的是抛弃了其他元素生物的形态与生态，达到的纯粹境地。\n针对无相元素的研究，主要由须弥教令院的学者主导进行。但由于其危险性，除了代号与命名以外，基本没有取得什么值得参考的研究成果…
20040101	1	00401		34			代号为「阿莱夫」的高级雷元素生命。\n无相元素是顶尖的元素构造体，会在元素能量喷涌的位置，或元素地脉阻塞的地点形成。\n不同的无相元素会基于其元素特性，进化出战斗的方式。
20040501	1	00405		36			代号为「塔勒特」的高级冰元素生命。\n根据研究，无相元素与常规的元素生物在物质构成上有着细微的差别。而这些细微的成分差别，或许就是它们高度稳定的形态与机械般的行动方式的由来吧。
20040301	1	00403		37			代号为「基末尔」的高级岩元素生命。\n无相元素本身是超浓缩的构造体，拥有极高的质量。\n浓缩成硬质固体的元素超质壳是惰性的，只有内部的核会活跃发生元素反应。
20050101	1	00501		41			极纯的水元素凝结成的生命体，常与水体相伴。\n据说，水体越纯净，其中的水元素越丰沛，纯水精灵的力量就越强。又有传说认为，纯水精灵曾是来自异乡的水之亲眷。怀着已殁之神的碎片，流落到了世界各处，或许是为了让她们的神对世界的爱，循着水流广布大地…
21010101	1	10101		1001			提瓦特荒野中游荡的原始住民。\n与人类轮廓相似，却失去了智能与灵性。据记载，在大地上出没超过千年，却没有历史与文明。\n自五百年前漆黑的灾祸以来，便广袤地分布在大地各处。虽然力量弱小，缺乏组织，但有时也能给人们带来不小的麻烦。
21010201	1	10102		1002			提瓦特荒野中游荡的原始住民。\n坏脾气的部落战士，朴实地信奉着肌肉的力量。如果肌肉够结实，力量够强，那终有一天也能举起巨大的盾牌，成为「丘丘暴徒」…？
21010701	1	10107		1003			提瓦特荒野中游荡的原始住民。\n为了击退来犯的冒险者，会挥舞着熊熊燃烧的棒槌，一往无前地奋勇冲锋。草原或森林中发生野火的话，通常而言，并不是因为某名特别的「骑士」，而是因为这种丘丘人的犯行。
21010301	1	10103		1004			提瓦特荒野中游荡的原始住民。\n拥有木盾的丘丘人战士，木盾不仅是坚固的防具，也是属于部落的珍贵宝物。根据不少人的报告，丘丘人会冲向扎营烹饪的旅人，撵走他们，然后抢走他们的锅盖。
21011401	1	10114		1005			提瓦特荒野中游荡的原始住民。\n丘丘人有着强大的环境适应性的证明。在冰元素富集的环境中，能设法利用坚冰制成盾牌保护自己。
21011201	1	10112		1006			提瓦特荒野中游荡的原始住民。\n岩元素富集的地域中顽强生存的丘丘人，其坚不可摧的盾牌上增生着层层磐岩。
21010401	1	10104		1007			提瓦特荒野中游荡的原始住民。\n手持简陋弩机的丘丘人射手。丘丘人实际上并不具备制造弩的工艺水平。因此，一般认为，在丘丘人背后，存在着操控丘丘人，并为它们提供设备物资的组织。而与丘丘人走得很近的深渊法师尤为可疑。
21010501	1	10105		1008			提瓦特荒野中游荡的原始住民。\n手持简陋弩机的射手，箭头上敷了一层薄薄的易燃材料，以便烧灼其目标。前代的艾尔·马斯克认为，这是头脑灵光的丘丘人想要在捕猎时顺便完成烹饪而为的创新之事。
21011001	1	10110		1009			提瓦特荒野中游荡的原始住民。\n手持简陋弩机的射手，箭头以电气水晶的碎片磨削而成，以便命中时造成电击。据说射术百里挑一的丘丘人射手可以一次发射五枚箭矢，非常厉害。
21010901	1	10109		1010			提瓦特荒野中游荡的原始住民。\n手持简陋弩机的射手，箭头上凝着不化的寒冰。好像听说这种箭头留下的伤口很难愈合，因为寒冷会减缓血液流通的速度。
21010601	1	10106		1011			提瓦特荒野中游荡的原始住民。\n擅长活用火史莱姆的狡猾家伙，把火史莱姆用作迎击来犯者的武器。利用火史莱姆的爆炸，投掷技巧精湛的爆弹丘丘人或许可以一次击碎五根木柱吧。
21011301	1	10113		1016			提瓦特荒野中游荡的原始住民。\n发现了冰史莱姆的妙用，可以高效地保鲜食物。丘丘人有着活用各种史莱姆的智慧，无论是将火史莱姆、冰史莱姆制成炸药桶，还是用风史莱姆制作载具…可能这就是艰难生活带来的思维方式吧。
21011501	1	10115		1091			「Homu, Homu, mimi domu!」
21020101	1	10201		1101			经历无数战斗历练的丘丘人大块头。\n会利用草史莱姆创造坚固的木盾，进行战斗。\n拥有强健的肌肉，油亮的鬃毛，可靠的宽厚背影，一顿饭吃下很多肉的豪放，能为丘丘人抵挡毫不留情的冒险者，在部族当中有着相当崇高的地位。
21020301	1	10203		1102			以顽岩为盾的丘丘人大块头。\n对于丘丘人而言，最重要的事情就是吃肉和打架，让身体变得强壮。\n如果能成为丘丘暴徒这样又大又壮的战士，就能吃更多肉、打更多架、举起（几乎）坚不可摧的巨大岩盾了。
21020601	1	10206		1103			以严冰为盾的丘丘人大块头，会利用坚冰的巨盾战斗。\n普遍而言，体积庞大、活动频繁的生物需要消耗大量的热量来维持生存。由此，当代的艾尔·马斯克提出了「暴徒指数」，根据某地区中活动的丘丘暴徒数量在丘丘人总人口中占的比例，计算这些丘丘人食物获取的丰富、稳定性。
21020201	1	10202		1104			手持长柄大斧的丘丘人大块头。\n攻击大开大合，会利用火史莱姆为战斧附上火元素，具有强大的破坏力。\n通常，像火斧丘丘暴徒这样为武器反复淬火会导致钢铁的硬度下降，进而导致刃口容易受损。但丘丘暴徒的力量足够强大，斧子就算刃口没了也可以当锤子用。
21020401	1	10204		1116			雪雾中漫行的神秘「王者」。\n被同胞称为「Lawa」的庞大丘丘人。锻炼至极致的肉身似乎已和环境中满溢的冰元素相互融合，沉默威严有如北国的冰川。
21020501	1	10205		1117			千嶂中漫行的神秘「王者」。\n被同胞称为「Lawa」的庞大丘丘人。环境中增生的岩元素化成了它们身体的一部分，仿佛血肉与皮肤皆由不移的山岩雕琢而成。
21030101	1	10301		1202			嘟嘟囔囔的老年丘丘人，水元素的吟颂者。\n在元素掌控方面颇富天资的丘丘人，其能力往往会在年老时达到顶峰。究竟是怎样的过去，令这些愚昧的生物竟能掌握生水唤雨的秘诀？
21030301	1	10303		1203			嘟嘟囔囔的老年丘丘人，风元素的传信者。\n在元素掌控方面颇富天资的丘丘人，其能力往往会在年老时达到顶峰，其牵掣流风的能力，正是来源于黑暗晦暝的失落记忆。
21030201	1	10302		1205			嘟嘟囔囔的老年丘丘人，草元素的唤醒者。\n在元素掌控方面颇富天资的丘丘人，其能力往往会在年老时达到顶峰。承载着面具下的不甘，憎恨人心的毒藤随呢喃蔓生而出。
21030501	1	10305		1206			嘟嘟囔囔的老年丘丘人，冰元素的呼求者。\n在元素掌控方面颇富天资的丘丘人，其能力往往会在年老时达到顶峰。这些萨满熟忆寒霜的低语，更精通将之用于制敌的技艺。
21030401	1	10304		1207			嘟嘟囔囔的老年丘丘人，岩元素的倾听者。\n在元素掌控方面颇富天资的丘丘人，其能力往往会在年老时达到顶峰。同千古的顽岩相比，即使最年老的丘丘人也不过孩童，但记忆与经验引导它们获得了操使岩石的权能。
22010101	1	20101		2001			拥有魔力，利用火元素战斗的深渊魔物。\n出于某种不为人知的缘由，深渊法师精通丘丘人的笨拙语言，能驾驭它们的心智。据说深渊法师略通如今几乎无人可解的失落古语，并利用这种语言的力量行使魔法。
22010301	1	20103		2002			利用水元素战斗的深渊魔物。\n在冒险者当中有传说说，深渊法师作为「深渊教团」底层的执行者，活跃在世界各地、从事各种阴谋破坏。尽管他们还戏称这种水深渊法师的最大危害是会导致风湿发作，其实它们有着不容小觑的力量。
22010201	1	20102		2006			驾驭着极寒的冰元素进行战斗的深渊魔物。\n尽管染指了强大的力量，甚至能将大气中的水蒸气凝结成冰锥，本身却佝偻而孱弱。一旦保护自身的护罩被打破，就只能任人鱼肉了。
22020101	1	20201		2010			利用水元素战斗的魔物，隶属于「深渊教团」。\n这些沉默的身影是深渊的先行者，挥舞着席卷一切的浪潮之锋，斩碎一切铠甲的防御与不信的异端之心，向无虑的愚氓降下宿命的惩戒。
22030101	1	20301		2020			驱雷掣电，高颂着漆黑渊薮的魔物，隶属于「深渊教团」。\n它们是深渊的布道者、学士。以狂雷将冥冥长夜所扭曲的深黑智慧，灌入不信者的心中，以无边的紫电，昭告侵蚀人智的伟大力量的存在。
23010601	1	30106		3001			操使着烈焰之铳的愚人众士兵。\n先遣队配置的武器在一定程度上能制御元素，战斗策略上则会利用元素反应。\n因为拥有这样的武装与知识，先遣队团队作战时能带来无法小觑的威胁。
23010201	1	30102		3002			愚人众战争机器中的士兵。\n配备着能在一定程度上制御元素的装备，可以利用铳形的武器喷射激烈的水流。\n「先遣队」之名意味着生死不问，深入祖国以外的土地完成前期任务，为未来的某些行动夯实基础。
23010501	1	30105		3003			能利用风的力量，复苏战友的先遣队士兵。\n远离故土又为了故乡。告别了亲人却获得了能相托以生死的战友。\n——或许他们以任务的名义干着丑恶的勾当时，也带着这样的想法。
23010301	1	30103		3004			体格健壮的先遣队士兵，装备了附有雷元素的战锤。\n成为愚人众的军人意味着优渥的资源：军饷、武装与物资。\n但与此同时，也意味着远离故土与亲眷，将余命交给过去不曾谋面的战友。
23010101	1	30101		3006			愚人众战争机器中的士兵。\n配备着能在一定程度上制御元素的装备，可以利用铳形的武器喷射急冻的寒霜。\n虽然拥有常人不能企及的元素力量，但这种力量或许也是有其代价的吧…
23010401	1	30104		3007			能驱使岩元素构成护罩，保护战友的先遣队士兵。\n不同于少数精锐的债务处理人与萤术士，先遣队的单兵实力与装备较为薄弱。\n为了完成任务，为了减少人员与物资的损耗，先遣队的战术更讲究团队协作。
23020101	1	30201		3011			隶属愚人众的特务人员。\n债务处理人所处理的「债务」，并不局限于钱货往来的清算。\n「以眼还眼，以牙还牙」也是一种债。无论是谁，只要损害了愚人众的利益，那就要十倍奉还。
23030101	1	30301		3023			操控着雷萤进行战斗，由来与面具下的容貌都是谜的愚人众少女术士。\n会利用飞萤喜爱「雾虚草」的特性，操控它们为自己而战。正如雾虚草的气味会令雷萤迷醉，嗜虐的术士也贪恋着戏弄对手的快感。
23040101	1	30401		3026			操控着冰萤进行战斗，由来与面具下的容貌都是谜的愚人众少女术士。\n没有神之眼的人类，理应是无法像她们这样自如地操控元素的；但她们却在利用雾虚草操控冰萤之余，肆无忌惮地挥霍着寒冰的力量。看似漫无目的地四处游荡的她们，又领受着何种不为人知的使命呢…
24010101	1	40101		4001			古老的人形战斗机械。\n传说是已经覆灭的国度留下的战争机械，会徘徊至世界各地的遗迹废都，并攻击冒失的旅人。研究表明遗迹守卫与这些废墟并非同源，表明两者的时代也相差至少数千年，为何遗迹守卫会驻留在其中，并以「爆炸性的火力」守护这些残垣断壁呢…
24010201	1	40102		4002			巨大的异形战斗机械。\n传说是已经覆灭的国度留下的战争机械。似乎是为了提高战斗性能，设计上放弃了低效的拟人形态。无论是白刃战还是远程炮火的威力都相当恐怖。\n仅仅是废弃的古代兵器就有如此能力，曾经能生产这种兵器的文明又是如何呢…
24010301	1	40103		4003			古老的人形战斗机械。\n形态与遗迹守卫相似，但形态更为扭曲、力量更为强大。似乎是为了驱动过于沉重的躯体，在双脚上还额外装配了能量核心。
25010101	1	50101		5001	1		（test）待IP补充
25010201	1	50102		5002			足迹遍布大陆各处，甚至深入未知秘境的松散盗贼组织中的一员。\n在团队协作中，职责通常是踩点与盯梢。落草为寇通常因为贫困与缺乏教育，但从他们的装备来看，即使选择了盗贼之路，也没有因此变得富裕…
25010301	1	50103		5003			足迹遍布大陆各处，甚至深入未知秘境的松散盗贼组织中的一员。\n利用化学的知识，铤而走险的人。会调配出易燃易爆的物质，与团伙中其他的同伴一同作案。
25010401	1	50104		5004			足迹遍布大陆各处，甚至深入未知秘境的松散盗贼组织中的一员。\n据说部分盗宝团的药剂师，在加入盗宝团之前，曾经是在城镇间漫游，兜售自己调配的…「灵药」、「圣水」的江湖骗子。这些灵药、圣水显然在战斗中更能大放异彩。
25010501	1	50105		5005			足迹遍布大陆各处，甚至深入未知秘境的松散盗贼组织中的一员。\n「药剂师」是盗宝团成员当中，为这些具有调配危险化学物质知识的人物取的诨名。\n<i>「嗯？这宝物上写了你们冒险家协会的名字么？」</i>\n——某名盗宝团的「药剂师」与冒险家对峙时说的话
25010601	1	50106		5006			足迹遍布大陆各处，甚至深入未知秘境的松散盗贼组织中的一员。\n冰之药剂师在盗宝团当中相当受欢迎，因为他们调配的冰之灵药有快速降温的作用。即使是在没有冰雾花的野外，也可以制作冰镇酒类饮料。
25010701	1	50107		5007			足迹遍布大陆各处，甚至深入未知秘境的松散盗贼组织中的一员。\n在盗宝团当中从事着体力工作，地位比较低下的成员，因为自己的身材还经常被同伙取笑。但在团队遇袭时，会展现出人意料的身手与力量！
25020101	1	50201		5008	1		（test）待IP补充
25020201	1	50202		5009			足迹遍布大陆各处，甚至深入未知秘境的松散盗贼组织中的一员。\n虽然被称作「神射手」，但其实那是带有讥笑性质的诨名。毕竟他们使用的是弩，而不是弓这样需要长期训练的武器。要知道，就连丘丘人也会用弩。只要把比较宽的那头对准敌人，然后扣下扳机就行了。
25030101	1	50301		5010	1		（test）待IP补充
25030201	1	50302		5011			足迹遍布大陆各处，甚至深入未知秘境的松散盗贼组织中的一员。\n<i>「站在巨人的肩膀上，意思就是把前人积累的财富挖出来，拿走，好让我们…让它们回归经济循环！这是多么高尚的事情！」</i>\n——某名盗宝团的「掘墓者」在挖掘遗迹中的财宝时说的话
25030301	1	50303		5012			足迹遍布大陆各处，甚至深入未知秘境的松散盗贼组织中的一员。\n<i>「我们的活动怎么能叫偷？怎么能叫盗？那叫重新发现，让宝藏回到赏识宝藏的鉴赏家怀抱中！大家都开心，多好的事儿！」</i>\n——某名盗宝团的「海上男儿」对怀有疑问的新人说的话
25040101	1	50401		5013	1		（test）待IP补充
25050101	1	50501		5014	1		（test）待IP补充
25050201	1	50502		5015	1		（test）待IP补充
25060101	1	50601		5016			足迹遍布大陆各处，甚至深入未知秘境的松散盗贼组织中的一员。\n热衷于肌肉和战斗的人。对食物很挑剔，并且总是向周围的人宣扬肌肉的好处，所以其他盗宝团成员通常对这种人多有微辞。
25070101	1	50701		5017			足迹遍布大陆各处，甚至深入未知秘境的松散盗贼组织中的一员。\n原本是在矿下工作的人。层岩巨渊封锁后，尽管领取着津贴，还是出于各种缘由加入了盗宝团。
26010201	1	60102		6001			古灵精怪的拟态植物魔物，会用火元素攻击猎物。\n提瓦特的世界中，存在着元素凭附的植物。因此获得了智性的它们，对「养分」的需求也大大提升了…
26010101	1	60101		6006			神出鬼没的拟态植物魔物，会利用冰元素战斗。\n有时会隐藏在地表下，捕猎浑然不觉的猎物。如果有足够的年月、养分与环境，或许能扎根某处，长成巨大的急冻树…
26020201	1	60202		6011			吸收了地脉中奔涌的古老烈焰的巨大藤蔓。\n如同充满怒火一般，永不止息的植物。\n诗人、歌手乃至一些学者认为「元素」中蕴含着情感和愿望。如果属实，又是什么情感与愿望驱使着爆炎树恒常燃烧，如同渴求着挣脱大地的束缚一般挣扎舞动呢…
26020101	1	60201		6016			地脉中的寒霜附着在藤蔓上，由此形成的魔物。\n有研究认为，植物就像世界的器官一样，调和着元素奔涌的地脉；而这种生态在地表上的结晶就是冰雾花、骗骗花等，充满了元素能量的产物。\n而生长在特定环境的特定植物，经年累月或许就会成为急冻树这样的，如同魔兽一般庞大而凶猛的生命体吧…
26030101	1	60301		6021			有着坚硬岩质甲壳的小型龙蜥。\n行动非常灵活，是不容小觑的对手。须弥教令院的研究认为，即使是这种幼兽，也有成为「龙」的潜质。假以时日，如果不受天灾与敌害，或许也有一天能成为撼动高山的巨大魔物吧。
26040101	1	60401		6022			成熟的岩之龙蜥。\n据称，幼岩龙蜥历经漫长岁月的积累后，会蜕去原本保护自己的装甲，成为「岩龙蜥」。但这两者，以及更古老、更伟大的「古岩龙蜥」，在过去的许多年中都蛰伏在山下，直到近期才开始活动。因此这种说法没有第一手观测记录证明。
26050101	1	60501		6023			经历了长久岁月，拥有伟大力量的巨大岩龙蜥，能够适应元素环境的异变。\n根据民话，导致天遒谷毁灭的「龙灾」发生后，岩龙蜥与古岩龙蜥的王者被禁锢在大地深处，而它们则在地壳之下休眠，等待着复起的时机…
26060201	1	60602		6032			能够稍微导引水元素的小型生物。\n与其他的萤族生物通称「飞萤」。飞萤对「雾虚草」这种罕见而奇妙的植物情有独钟，而愚人众的术士据此开发了利用飞萤进行战斗的方法。
26060101	1	60601		6034			能够稍微导引雷元素的小型生物。\n与其他的萤族生物通称「飞萤」。尽管力量十分弱小，但在某些环境下也能造成可观的伤害。
26060301	1	60603		6036			能够稍微导引冰元素的小型生物。\n与其他的萤族生物通称「飞萤」。尽管力量非常弱小，但也因为力量弱小，所以进化出了奇特的移动方式，以避开掠食者的攻击。
29010101	1	90101		7001			蒙德的「四风守护」之一，东风之龙特瓦林。\n在漫长的岁月与无边的黑暗中，清澈的宝石也会蒙尘而变得黯淡，高傲的龙也会被侵蚀而充满了忿恨。\n不过，要记住，尘埃能被轻易拭去，疑惧与毒也能被粉碎。\n\n<i>「自由地在深空中翱翔吧。</i>\n<i>「就如当年你我相遇时，我行走在大地上，唱着风的歌曲；</i>\n<i>「你则在大气稀薄的高天上，俯瞰世界。</i>\n<i>「如今的天空中没有风雪，大地上充满了绿草，会很美丽吧。</i>\n<i>「如果你也在地面上行走过，听过牧歌和风铃在远方错落的歌，尝过蜜一样甜的酒，就会明白吧。</i>\n<i>「如果你曾是我，看见过你在蓝蓝的天上滑翔的孤高模样，见识过你的美丽身姿就好了。</i>\n<i>「如此，你就会明白，这样的天空与大地，是值得为之奋战的。」</i>
29020101	1	90201		7002			守望着奔狼领的「卢皮卡」，无比崇高的伟大灵魂。\n当群狼受到威胁时，会以狼的姿态现世，展现自己的苍牙与利爪。\n\n奔狼领的狼对蒙德人而言，通常是诡谲的魅影：\n树木之间一闪而过的模糊形象、方位难辨的凄嚎，以及独行郊野林中时，时常能隐约感受到的视线。\n人与狼冰冷的双眸直视的机会很少，因为「王狼」为自己的族类订立了规矩。
29030101	1	90301		7003			愚人众执行官第十一席，「公子」达达利亚。\n自不祥的「邪眼」之中汲取力量，以至暗之地习得的武艺战斗。\n\n拥有无穷争斗欲望的纯粹战士。\n每次浴血的纷争、每场生死攸关的挑战，于他而言皆是快意试炼。\n人皆言年轻的「公子」战绩远近闻名。\n但他本人却对这种大话从来不以为然。\n\n毕竟…\n<i>「你的命运将成为纷争的风暴之眼，</i>\n<i>「铁剑交错的声响是常伴你的奏乐。</i>\n<i>「踏入至暗之处的漆黑记忆，</i>\n<i>「终将成为你颠覆世界的力量吧。」</i>
29040101	1	90401		7004			如同山岳一般长寿的古老巨龙。\n在难以追忆的年月里曾与岩港的帝君并肩，但最终反目，遭镇压于黑暗的地底。在无比漫长的岁月中，它的力量渐渐流失，形态也因各种折磨而扭曲。\n枷锁的隐隐震响与龙祖低沉的怒吼，同记忆一般在山峦间回荡。
28030201	0	28030201		10001			目光锐利的高傲鹰隼。\n总是在清冷的高空盘旋，伺机寻找着隐身于草木间的小小松鼠与鸟雀。据老练的猎人说，这种猛禽稍加训练，便会是优秀的猎鹰。
28030202	0	28030202		10002			目光锐利的高傲鹰隼。\n翱翔在山林上空，巡查着广袤领地。 假如射手像凯茨莱茵家族的猎人那样拥有锐目和耐心，将之射落也并非难事。
28030203	0	28030203		10003			目光锐利的高傲鹰隼。\n在山岩林立的绝峰之间筑巢的猛禽，人们传说这种禽鸟永远在云间放浪，无足无巢。但那只是鄙陋的无知与浪漫的想象结合之产物，石鸢也是要为腹中餐食、巢中幼鸟而奔忙的生灵。
28030204	0	28030204		10004			目光锐利的高傲鹰隼。\n以脆弱之躯挑战无边风雪的勇敢猛禽，覆霜凝雪的羽毛泛着冰川的光泽。在悠远的传说中，冰雪故国的子民死后便会化作羽毛如白练般的鹰，守护曾经苍翠的家园。由于冰封雪藏之地罕有天敌和猎人，这些古老的魂灵过得还挺滋润的。
28030301	0	28030301		10005			提瓦特常见的鸟类，肉质肥美，也可用来远程传信。\n洁白可爱的白鸽，对人类非常友好，但同时也对人类的恶意有着敏锐的预感。顺带一提，坊间有传言说，蒙德名菜「甜甜花酿鸡」最正宗的做法应当用鸽肉制成，但这也只是传说而已。
28030302	0	28030302		10006			提瓦特常见的鸟类，肉质肥美，训练后也能远程传信。\n普通的鸽子，因琉璃光泽的头颈而得名。由于过于常见，许多人已经不再对这种鸽子美丽的毛色多加注意。
28030303	0	28030303		10007			提瓦特常见的鸟类，肉质肥美，训练后也能远程传信。\n普通的鸽子，因灰白的羽毛而得名。这种鸽子颈部的羽毛呈现渐变的翠绿色，但可惜因为过于常见，许多人已经不再对这种美丽的毛色多加注意。
28030304	0	28030304		10008			提瓦特常见的鸟类，肉质肥美，训练后也能远程传信。\n多在山区活跃的鸽子，羽毛上沾染了山岩与红土的颜色，因此更显得优雅贵气。
28030305	0	28030305		10009			提瓦特常见的鸟类，肉质肥美，训练后也能远程传信。\n较为常见的鸽子，以黑色的头部闻名。比其他种类的鸽子更加勇敢好斗，因而更容易捕获。肉质紧实美味，适宜烤制。
28030401	0	28030401		10010			聒噪的小小鸟类，遍布提瓦特大陆的各个角落。\n这种鸟雀生着鲜艳的赤色羽毛，以便求偶时用来大肆炫耀。不幸的是，这样鲜艳的羽毛也很容易吸引捕猎者的目光，娇小可爱的赤团雀可以说是提瓦特大陆食肉动物主要的食物来源之一。
28030402	0	28030402		10011			聒噪的小小鸟类，遍布提瓦特大陆的各个角落。\n拥有闪亮金色绒毛的小小鸟雀，在阳光下十分好看。有时小孩子会捕捉这种金团雀回去饲养，但它们很难适应人类吵闹的生活环境，往往很快便会趁机飞走。
28030403	0	28030403		10012			聒噪的小小鸟类，遍布提瓦特大陆的各个角落。\n通体雪白的小小生灵，在冰天雪地中自得其乐。雪团雀天生适应寒冷气候，对温度的变化十分敏感，在温暖的地域会变得有些缺乏精神，因而比较容易捕获。
28030404	0	28030404		10013			聒噪的小小鸟类，遍布提瓦特大陆的各个角落。\n羽毛如同翠玉宝石般碧蓝的团雀，古代矿工记事中常提到的「笼中雀」最初指的便是它们，因为碧团雀的健康状态很容易从羽毛色泽分辨出来。顺带一提，虽说今日的矿工依然在带团雀下矿，但已经不再讲究其羽毛的颜色了。
28030501	0	28030501		10014			呱呱叫的水禽，生活在提瓦特大陆的河湖与湿地之中。\n拥有白色羽毛和赤色喙的鸭子尤其常见，也尤其美味。
28030502	0	28030502		10015			呱呱叫的水禽，生活在提瓦特大陆的河湖与湿地之中。\n头颈生着美丽绿色羽毛的野鸭，对于风势的转变格外敏感，喜爱在温暖的水域嬉戏。
28030101	0	28030101		10017			高贵优雅的鸟类，生着宽阔的双翼与修长的腿。\n长腿的鹭在提瓦特大陆的各国文化中有着不同的美好寓意。吉祥、雅致，或君子的翩翩风度，皆在这种优雅的鸟类身上有所体现。\n在璃月人的诗歌中，也会将「君子」形容为这种修长高挑、举止清新的鸟类。
28020101	0	28020101		11001			精灵般隐匿的狡黠生灵，在民话传说中拥有奇特的智慧与悠远的记忆。\n为了隐身在风雪之中，而长出了厚厚的白色皮毛。尽管生活在更加艰难的环境中，却因此变得更加机敏、嗅觉也更为敏锐。
28020102	0	28020102		11002			精灵般隐匿的狡黠生灵，在民话传说中拥有奇特的智慧与悠远的记忆。\n藏身于林木间、草丛中的小小狐狸，谨慎地躲避着猎人的弓箭与目光。\n在各地的民话中，都有生存了足够久、积累了足够智慧的狐，掌握超脱凡骨的力量的故事，其中甚至有狐狸能化成人类的说法。在流行的童话故事《蒲公英海的狐狸》中，就有这样的描述。
28020201	0	28020201		11004			大尾巴的松鼠，荒野中常见的小动物。\n最善于囤积食粮的小小鼠类，尤其偏好松树的种实。
