ID	类型	重量	排序权重	物件ID	可丢弃	使用等级	全局产出上限	数值用类型	家具ID	名称$text_name_FurnitureName	类型ID1	类型ID2	可配置表面	室内场景ID	舒适度	堆叠上限	阶数
364208	6				0			成品家具	500311	(test)剑盾墙饰	5005		1		90	9999	4
364209	6				0			成品家具	500312	(test)室内小黑板	5005		1		30	9999	2
364210	6				0			成品家具	500313	(test)室内小木板	5005		1		30	9999	2
364104	6				0			成品家具	500314	(test)山水挂画	5003		1		90	9999	4
364105	6				0			成品家具	500315	(test)花瓶挂画	5003		1		90	9999	4
364106	6				0			成品家具	500316	(test)山水横着的挂画	5003		1		90	9999	4
363302	6				0			成品家具	1100205	(test)一堆书	11002		3		60	9999	3
363303	6				0			成品家具	1100206	(test)一摞书	11002		3		60	9999	3
363304	6				0			成品家具	1100207	(test)文房四宝	11002		3		60	9999	3
363305	6				0			成品家具	1100208	(test)沙漏	11002		3		60	9999	3
363201	6				0			成品家具	1100101	(test)蓝瓶小花	11001		3		60	9999	3
363202	6				0			成品家具	1100102	(test)白瓶盆栽	11001		3		60	9999	3
363203	6				0			成品家具	1100209	(test)小花瓶套装	11001		3		60	9999	3
363204	6				0			成品家具	1100210	(test)小盆栽套装	11001		3		60	9999	3
363306	6				0			成品家具	1100211	(test)炼金瓶子组合	11002		3		60	9999	3
363307	6				0			成品家具	1100212	(test)炼金小物件组合	11002		3		60	9999	3
363308	6				0			成品家具	1100213	(test)中式的文房四宝	11002		3		60	9999	3
363205	6				0			成品家具	1100103	(test)蓝色碗的盆栽	11001		3		60	9999	3
363309	6				0			成品家具	1100214	(test)烛台	11002		3		60	9999	3
361401	6				0			成品家具	300601	(test)欧洲风格的床	3006		0		60	9999	3
361402	6				0			成品家具	300602	(test)中式床	3006		0		60	9999	3
361105	6				0			成品家具	300105	(test)欧洲风格的衣柜	3001		0		60	9999	3
362204	6				0			成品家具	400204	(test)欧式的床头柜	4002		0		60	9999	3
362205	6				0			成品家具	400205	(test)璃月中式床头柜	4002		0		60	9999	3
361106	6				0			成品家具	300106	(test)中式服装柜	3001		0		60	9999	3
364211	6				0			成品家具	500501	(test)中式吊帘	5005		1		90	9999	4
362206	6				0			成品家具	400206	(test)中式帘子	4002		0		90	9999	4
362207	6				0			成品家具	400207	(test)中式花式屏风	4002		0		90	9999	4
363104	6				0			成品家具	1100305	(test)欧式的台灯	11003		3		60	9999	3
370301	6				0			成品家具	600501	(test)红顶的杂货摊位	6005		0		60	9999	3
370302	6				0			成品家具	600502	(test)蓝顶的水果摊位	6005		0		60	9999	3
370303	6				0			成品家具	600503	(test)白顶的水果摊	6005		0		60	9999	3
370304	6				0			成品家具	600504	(test)红顶的铁匠铺	6005		0		90	9999	4
370305	6				0			成品家具	600505	(test)黄顶的水果车	6005		0		60	9999	3
370201	6				0			成品家具	600101	(test)方形的房子	13002		0		60	9999	3
370202	6				0			成品家具	600102	(test)有两个阁楼的房子	13002		0		60	9999	3
370203	6				0			成品家具	600103	(test)斜着的房子	13002		0		60	9999	3
370204	6				0			成品家具	600104	(test)只有一个阁楼的房子	13002		0		60	9999	3
371101	6				0			成品家具	600301	(test)大喷泉	6003		0		90	9999	4
370205	6				0			成品家具	600105	(test)会转水车的房子	13002		0		60	9999	3
370206	6				0			成品家具	600106	(test)有烟囱的房子	13002		0		60	9999	3
370207	6				0			成品家具	600107	(test)有楼梯的木房	13002		0		60	9999	3
370306	6				0			成品家具	600506	(test)杂货铺	6005		0		60	9999	3
370501	6				0			成品家具	600601	(test)蓝色顶棚	6006		0		60	9999	3
370307	6				0			成品家具	600508	(test)水果货摊	6005		0		60	9999	3
370101	6				0			成品家具	600108	(test)璃月草屋	13001		0		30	9999	2
370102	6				0			成品家具	600109	(test)有地基的草屋	13001		0		30	9999	2
370502	6				0			成品家具	600602	(test)草屋的顶棚	6006		0		30	9999	2
370103	6				0			成品家具	600110	(test)璃月的大房子	13001		0		60	9999	3
370104	6				0			成品家具	600111	(test)璃月小阁楼	13001		0		60	9999	3
370105	6				0			成品家具	600112	(test)三开门的大房子	13001		0		60	9999	3
370106	6				0			成品家具	600113	(test)有天台的璃月房	13001		0		60	9999	3
370107	6				0			成品家具	600114	(test)双层的璃月房	13001		0		60	9999	3
370108	6				0			成品家具	600115	(test)万民堂	13001		0		60	9999	3
370208	6				0			成品家具	600116	(test)蓝顶的双层楼房	13001		0		60	9999	3
371201	6				0			成品家具	600201	(test)璃月大门	6002		0		90	9999	4
370401	6				0			成品家具	600117	(test)丘丘人房子	13003		0		60	9999	3
371102	6				0			成品家具	600303	(test)丘丘人瞭望台	6003		0		60	9999	3
370402	6				0			成品家具	600118	(test)丘丘人巨型豪宅	13003		0		90	9999	4
371103	6				0			成品家具	600304	(test)丘丘人草棚	6003		0		30	9999	2
374301	6				0			成品家具	700201	(test)丘丘人小台子	13003		0		60	9999	3
370503	6				0			成品家具	600603	(test)丘丘人帐篷	6006		0		60	9999	3
370504	6				0			成品家具	600604	(test)丘丘人布篷	6006		0		60	9999	3
375101	6				0				1200101	(test)蒙德主建筑	12001		13	2201	750	9999	5
374302	6				0			成品家具	700202	(test)收纳着碗的桌子	7002		0		30	9999	2
374303	6				0			成品家具	700203	(test)放着一些工具的锻造桌	7002		0		60	9999	3
374304	6				0			成品家具	700204	(test)木头方桌	7002		0		30	9999	2
370308	6				0			成品家具	600509	(test)火锅	6005		0		60	9999	3
374305	6				0			成品家具	700205	(test)滚磨的轮盘	7002		0		60	9999	3
374306	6				0			成品家具	700206	(test)合成台	7002		0		90	9999	4
373301	6				0			成品家具	700501	(test)木头架子	7005		0		30	9999	2
373302	6				0			成品家具	700502	(test)有盾牌和宝剑的武器堆	7005		0		30	9999	2
373303	6				0			成品家具	700503	(test)零散几把武器的武器架	7005		0		60	9999	3
373101	6				0			成品家具	700104	(test)一堆木箱子	7001		0		30	9999	2
373102	6				0			成品家具	700105	(test)一堆木桶	7001		0		30	9999	2
373304	6				0			成品家具	700504	(test)拖着杂物的木推车	7005		0		30	9999	2
373103	6				0			成品家具	700107	(test)一堆草堆	7001		0		30	9999	2
373305	6				0			成品家具	700505	(test)可以拉伸的水井	7005		0		60	9999	3
373104	6				0			成品家具	700109	(test)酒坛架子	7001		0		60	9999	3
373201	6				0			成品家具	700301	(test)常青树盆栽	7003		0		60	9999	3
373105	6				0			成品家具	700110	(test)风筝堆	7001		0		60	9999	3
373106	6				0			成品家具	700111	(test)很多把伞的铺子	7001		0		60	9999	3
370309	6				0			成品家具	600510	(test)菜地摊	6005		0		60	9999	3
374401	6				0			成品家具	700401	(test)放酒的大柜子	7004		0		60	9999	3
374402	6				0			成品家具	700402	(test)集装箱货物柜	7004		0		60	9999	3
374307	6				0			成品家具	700207	(test)年货的桌子	7002		0		60	9999	3
373306	6				0			成品家具	700506	(test)田里的稻草人	7005		0		60	9999	3
373107	6				0			成品家具	700113	(test)一组米袋	7001		0		30	9999	2
373307	6				0			成品家具	700507	(test)简陋的水井	7005		0		30	9999	2
373308	6				0			成品家具	700508	(test)有顶棚的水井	7005		0		60	9999	3
373309	6				0			成品家具	700509	(test)石狮子右边	7005		0		90	9999	4
373310	6				0			成品家具	700510	(test)石狮子左边	7005		0		90	9999	4
373108	6				0			成品家具	700114	(test)蔬菜组合	7001		0		60	9999	3
373109	6				0			成品家具	700115	(test)瓶罐组合	7001		0		60	9999	3
373110	6				0			成品家具	700116	(test)空瓶子组合	7001		0		30	9999	2
374101	6				0			成品家具	700601	(test)木质围栏	7006		0		30	9999	2
374102	6				0			成品家具	700602	(test)木质稍微高一点的围栏	7006		0		30	9999	2
374103	6				0			成品家具	700603	(test)丘丘人专属栅栏	7006		0		30	9999	2
374104	6				0			成品家具	700604	(test)丘丘人带旗子的栅栏	7006		0		30	9999	2
373111	6				0			成品家具	700117	(test)丘丘人标靶	7001		0		60	9999	3
373112	6				0			成品家具	700118	(test)丘丘人水盆	7001		0		60	9999	3
373113	6				0			成品家具	700119	(test)旅行人方向杆	7001		0		30	9999	2
374201	6				0			成品家具	700701	(test)木质长椅	7007		0		30	9999	2
374202	6				0			成品家具	700702	(test)石质的长椅	7007		0		30	9999	2
374308	6				0			成品家具	700208	(test)室外茶桌	7002		0		60	9999	3
374309	6				0			成品家具	700209	(test)室外木质饮茶桌	7002		0		60	9999	3
373202	6				0			成品家具	700302	(test)木质花坛	7003		0		60	9999	3
374105	6				0			成品家具	700605	(test)带草的篱笆栅栏	7006		0		60	9999	3
373401	6				0			成品家具	700801	(test)蒙德风格蓝色旗子的路灯	7008		0		60	9999	3
373402	6				0			成品家具	700802	(test)木杆子的路灯	7008		0		30	9999	2
373403	6				0			成品家具	700803	(test)木质的路灯	7008		0		60	9999	3
373404	6				0			成品家具	700804	(test)矮桩的路灯	7008		0		60	9999	3
373405	6				0			成品家具	700805	(test)方顶的路灯	7008		0		60	9999	3
372401	6				0				1000401	(test)菜架子	7004	3001	0		20	9999	3
372402	6				0				1000402	(test)带花的草丛	10004		0		20	9999	3
372403	6				0				1000403	(test)空空的草丛	10004		0		20	9999	3
372404	6				0				1000404	(test)长的灌木	10004		0		20	9999	3
372405	6				0				1000405	(test)草堆灌木	10004		0		20	9999	3
372406	6				0				1000406	(test)小树枝灌木	10004		0		20	9999	3
372407	6				0				1000407	(test)带花的灌木	10004		0		20	9999	3
372408	6				0				1000408	(test)海岛上的灌木	10004		0		20	9999	3
372409	6				0				1000409	(test)叶子性灌木	10004		0		20	9999	3
372301	6				0				1000301	(test)蒙德树	10003		0		20	9999	3
372302	6				0				1000302	(test)两个树干的椰子树	10003		0		20	9999	3
372303	6				0				1000303	(test)一个树干的椰子树	10003		0		20	9999	3
372304	6				0				1000304	(test)枫叶树	10003		0		20	9999	3
372305	6				0				1000305	(test)弯曲的树	10003		0		20	9999	3
372306	6				0				1000306	(test)叶子泛黄的树	10003		0		20	9999	3
372201	6				0				1000201	(test)小型石堆	10002		0		20	9999	3
372202	6				0				1000202	(test)中型石堆	10002		0		20	9999	3
372203	6				0				1000203	(test)大块石头	10002		0		20	9999	3
373114	6				0			成品家具	700120	(test)旅行人的书堆	7001		0		60	9999	3
371202	6				0			成品家具	600202	(test)蒙德主建筑庭院大门	6002		0		90	9999	4
371203	6				0			成品家具	600203	(test)蒙德主建筑庭院围栏收尾	6002		0		90	9999	4
371204	6				0			成品家具	600204	(test)蒙德主建筑庭院围栏	6002		0		90	9999	4
377101	6				0				121212122	(test)套装用家具			14		0	9999	1
362208	6				0			成品家具	362208	(test)中式大鼓	4002		0		90	9999	4
3750102	6				0				3750102	(test)璃月主建筑	12001		13	2202	750	9999	5
370109	6				0			成品家具	370109	(test)璃月主建筑附属建筑	13001		0		90	9999	4
370110	6				0			成品家具	370110	(test)璃月主建筑小亭子	13001		0		90	9999	4
371205	6				0			成品家具	371205	(test)璃月主建筑过道	6002		0		90	9999	4
371206	6				0			成品家具	371206	(test)璃月主建筑围墙	6002		0		90	9999	4
371207	6				0			成品家具	371207	(test)璃月主建筑L型转角墙	6002		0		90	9999	4
371208	6				0			成品家具	371208	(test)璃月主建筑丁字转角墙	6002		0		90	9999	4
371209	6				0			成品家具	371209	(test)璃月主建筑十字转角墙	6002		0		90	9999	4
371210	6				0			成品家具	371210	(test)璃月主建筑大门	6002		0		90	9999	4
371211	6				0			成品家具	371211	(test)璃月主建筑门洞	6002		0		90	9999	4
372307	6				0				372307	(test)绿叶树	10003		0		20	9999	3
372308	6				0				372308	(test)绿叶茂盛的树	10003		0		20	9999	3
372309	6				0				372309	(test)黄叶松树	10003		0		20	9999	3
372310	6				0				372310	(test)绿叶松树	10003		0		20	9999	3
372311	6				0				372311	(test)枫叶弯树	10003		0		20	9999	3
372312	6				0				372312	(test)绿叶弯树	10003		0		20	9999	3
372313	6				0				372313	(test)黄叶弯树	10003		0		20	9999	3
372314	6				0				372314	(test)黄叶直树	10003		0		20	9999	3
372315	6				0				372315	(test)枫叶直树	10003		0		20	9999	3
372316	6				0				372316	(test)绿叶直树	10003		0		20	9999	3
372317	6				0				372317	(test)弯竹子	10003		0		20	9999	3
372318	6				0				372318	(test)茂盛的竹子	10003		0		20	9999	3
372319	6				0				372319	(test)稀疏的竹子	10003		0		20	9999	3
372410	6				0				372410	(test)绿叶草堆	10004		0		10	9999	2
372411	6				0				372411	(test)黄叶草堆	10004		0		10	9999	2
372412	6				0				372412	(test)红叶草堆	10004		0		10	9999	2
372413	6				0				372413	(test)散的叶子堆	10004		0		20	9999	3
372414	6				0				372414	(test)直的叶子堆	10004		0		20	9999	3
372415	6				0				372415	(test)枫叶绿植	10004		0		20	9999	3
372416	6				0				372416	(test)黄叶绿植	10004		0		20	9999	3
372417	6				0				372417	(test)枯萎的绿植	10004		0		20	9999	3
372418	6				0				372418	(test)茂密的绿植	10004		0		20	9999	3
372419	6				0				372419	(test)绿黄色直叶子堆	10004		0		10	9999	2
372420	6				0				372420	(test)散的绿黄色叶子堆	10004		0		10	9999	2
372421	6				0				372421	(test)红色色直叶子堆	10004		0		10	9999	2
372422	6				0				372422	(test)散的红色叶子堆	10004		0		10	9999	2
372423	6				0				372423	(test)绿色直叶子堆	10004		0		10	9999	2
372424	6				0				372424	(test)散的绿色叶子堆	10004		0		10	9999	2
372425	6				0				372425	(test)绿色一堆草	10004		0		10	9999	2
372426	6				0				372426	(test)绿黄一堆草	10004		0		10	9999	2
372427	6				0				372427	(test)苍绿一堆草	10004		0		10	9999	2
372428	6				0				372428	(test)绿色两堆草	10004		0		10	9999	2
372429	6				0				372429	(test)黄色两堆草	10004		0		10	9999	2
372430	6				0				372430	(test)圆的草堆	10004		0		20	9999	3
372431	6				0				372431	(test)稍高的绿植	10004		0		20	9999	3
372432	6				0				372432	(test)稍高的茂密绿植	10004		0		20	9999	3
372204	6				0				372204	(test)大一点的花岗岩	10002		0		20	9999	3
372205	6				0				372205	(test)圆的黄色石头	10002		0		20	9999	3
372206	6				0				372206	(test)立着的黄色石头	10002		0		20	9999	3
372207	6				0				372207	(test)扁的黄色石头	10002		0		20	9999	3
372208	6				0				372208	(test)小的黄色石头	10002		0		20	9999	3
372209	6				0				372209	(test)聚在一起的黄色石头	10002		0		20	9999	3
372210	6				0				372210	(test)一堆黄色小石头	10002		0		20	9999	3
372211	6				0				372211	(test)零散的黄色小石头	10002		0		20	9999	3
372212	6				0				372212	(test)扁的不明显的黄色石头	10002		0		20	9999	3
372213	6				0				372213	(test)方的黄色石头	10002		0		20	9999	3
372214	6				0				372214	(test)长的黄色石头	10002		0		20	9999	3
372215	6				0				372215	(test)圆的蓝色石头	10002		0		20	9999	3
372216	6				0				372216	(test)长着苔藓的蓝色石头	10002		0		20	9999	3
372217	6				0				372217	(test)扁的蓝色石头	10002		0		20	9999	3
372218	6				0				372218	(test)方的蓝色石头、	10002		0		20	9999	3
372219	6				0				372219	(test)菱形的蓝色石头	10002		0		20	9999	3
372220	6				0				372220	(test)发光的尖石头	10002		0		30	9999	4
372221	6				0				372221	(test)发光的黄石头	10002		0		30	9999	4
371104	6				0			成品家具	371105	(test)蒙德大风车	6003		0		90	9999	4
360406	6				0			成品家具	100406	(test)中式花灯	11003		0		90	9999	4
362209	6				0			成品家具	362209	(test)中式舞台	4002		0		90	9999	4
373115	6				0			成品家具	700121	(test)木水桶	7001		0		30	9999	2
373203	6				0			成品家具	700303	(test)木桶盆栽	7003		0		30	9999	2
374106	6				0			成品家具	700606	(test)葡萄篱笆	7006		0		60	9999	3
374107	6				0			成品家具	700607	(test)木质细围栏	7006		0		30	9999	2
374108	6				0			成品家具	700608	(test)木质细围栏2	7006		0		30	9999	2
373116	6				0			成品家具	700122	(test)高木杆	7001		0		30	9999	2
371107	6				0			成品家具	371106	(test)木质简陋棚	6003		0		30	9999	2
373117	6				0			成品家具	700123	(test)一捆木柴	7001		0		30	9999	2
373118	6				0			成品家具	700124	(test)有布的木箱	7001		0		60	9999	3
373311	6				0			成品家具	700511	(test)室外点心组件	7005		0		60	9999	3
373312	6				0			成品家具	700512	(test)旅行者用装	7005		0		60	9999	3
373119	6				0			成品家具	700125	(test)城市水池盆	7001		0		60	9999	3
363310	6				0			成品家具	1100215	(test)室内陶瓷茶具组合	11002		3		60	9999	3
374310	6				0			成品家具	700210	(test)带坐垫的阳伞	7002		0		90	9999	4
374311	6				0			成品家具	700211	(test)谷歌桌子	7002		0		90	9999	4
374403	6				0			成品家具	700403	(test)花园架	7004		0		90	9999	4
373120	6				0			成品家具	700126	(test)羽球堆	7001		0		90	9999	4
374404	6				0			成品家具	700404	(test)贝壳架	7004		0		90	9999	4
373313	6				0			成品家具	700513	(test)艾莉丝留声机	7005		0		90	9999	4
373121	6				0			成品家具	700127	(test)大型蓬蓬果气球	7001		0		60	9999	3
373122	6				0			成品家具	700128	(test)蒲公英状的指向标	7001		0		60	9999	3
373123	6				0			成品家具	700129	(test)木桩	7001		0		60	9999	3
373124	6				0			成品家具	700130	(test)邮箱	7001		0		60	9999	3
374203	6				0			成品家具	700703	(test)谷歌椅子	7007		0		90	9999	4
371109	6				0			成品家具	371108	(test)池塘	6003		0		90	9999	4
