提示台词ID	停留显示时长
31030003	5
31020901	3
31020902	3
31020903	3
31020904	3
31020905	3
31020906	3
31020907	3
31020908	3
31070101	3
31070102	3
31070103	2
31070104	2
31070201	3
31070202	3
31070203	3
31070204	3
31070205	3
31070206	3
31070301	5
31021001	5
31021002	5
31021003	5
31021004	5
31021005	5
31021006	5
31021007	5
31021008	5
31021009	5
31021010	5
31021011	5
31021101	5
31021102	5
31021103	5
31021104	5
31021105	5
31021106	5
31021107	5
31021108	5
31021109	5
31021110	5
31021111	5
31021112	5
31021113	5
31021114	5
31021115	5
31021116	5
31021119	5
31021120	5
31021121	5
31021122	5
31021123	5
31021124	5
31021125	5
31021126	5
31021127	5
31021128	5
31021129	5
31021130	5
31021131	5
31021132	5
31021148	5
31021133	5
31021134	5
31021135	5
31021136	5
31021137	5
31021138	5
31021139	5
31021140	5
31021141	5
31021142	5
31021143	5
31021144	5
31021145	5
31021146	5
31021147	5
31021149	5
31021150	5
31021151	5
31021152	5
31021160	5
31021161	5
31021162	4
30070101	5
30070102	5
30070103	5
30070104	5
30070105	5
30070106	5
30070107	5
30070108	5
30080101	5
30080102	5
30080103	5
30080104	5
30080105	5
30080106	5
30080107	5
30080108	5
30080109	5
30080110	5
30080111	5
30080112	5
30080113	2.5
30080114	5
30080115	5
30080116	5
30080117	5
30080118	5
30080119	5
30080120	5
30080121	5
30080122	5
300806301	5
300806302	5
300806303	5
300806304	5
300806305	5
300806306	5
300806307	5
300806308	5
300806309	5
300806310	5
300806311	5
300822601	5
300822602	10
300822603	10
300822604	5
300822605	5
300822606	5
300822607	5
300822608	5
300822609	8
300822610	8
300822611	8
300822620	10
300822621	10
300822622	10
300822630	5
3008094	5
300816501	5
300816502	5
300816511	5
300816512	5
300816513	5
300816521	5
300816522	5
300816523	5
300816401	7
300816402	7
300816403	7
31070401	5
31070402	5
500000	3
500001	3
500002	3
500003	3
500004	3
500005	3
500006	3
500007	3
500008	3
500009	3
500010	3
500011	3
500012	3
500013	3
500014	3
500015	3
500016	3
500017	3
500018	3
500019	3
500020	3
500021	3
500022	3
500023	3
500024	3
500025	3
500026	3
500027	3
500028	3
500029	3
500030	3
500031	3
500032	3
500033	3
500034	3
500035	3
500036	3
500037	3
500038	3
500039	3
500040	3
500041	3
500042	3
500043	3
500044	3
500045	3
500046	3
500047	3
500048	3
500049	3
500050	3
500051	3
500052	3
500053	3
500054	3
500055	3
500056	3
500057	3
500058	3
500059	3
500060	3
500061	3
500062	3
500063	3
500064	3
500065	3
500066	3
500067	3
500068	3
500069	3
600000	3
600001	3
600002	3
600003	3
600004	3
600005	3
600006	3
600007	3
600008	3
600009	3
600010	3
600011	3
600012	3
600013	3
600014	3
600015	3
600016	3
600017	3
600018	3
600019	3
600020	3
600021	3
600022	3
600023	3
600024	3
600025	3
600026	3
600027	3
600028	3
600029	3
600030	3
600031	3
600032	3
600033	3
600034	3
600035	3
600036	3
600037	3
600038	3
600039	3
600040	3
600041	3
600042	3
3220720308	3
3220720311	3
40020101	3
40020102	3
40020103	3
40020104	3
40020105	3
40020106	3
40020107	3
40020108	3
40020109	3
40020110	3
40020111	3
40020112	3
40020113	3
40020114	3
40020115	3
