最小等级	总索引	掉落ID	掉落次数
115	幼岩龙蜥	338002300	1
120	幼岩龙蜥	338002400	1
1	遗迹重机	339000000	1
5	遗迹重机	339000100	1
10	遗迹重机	339000200	1
15	遗迹重机	339000300	1
20	遗迹重机	339000400	1
25	遗迹重机	339000500	1
30	遗迹重机	339000600	1
35	遗迹重机	339000700	1
40	遗迹重机	339000800	1
45	遗迹重机	339000900	1
50	遗迹重机	339001000	1
55	遗迹重机	339001100	1
60	遗迹重机	339001200	1
65	遗迹重机	339001300	1
70	遗迹重机	339001400	1
75	遗迹重机	339001500	1
80	遗迹重机	339001600	1
85	遗迹重机	339001700	1
90	遗迹重机	339001800	1
93	遗迹重机	339001900	1
100	遗迹重机	339002000	1
105	遗迹重机	339002100	1
110	遗迹重机	339002200	1
115	遗迹重机	339002300	1
120	遗迹重机	339002400	1
1	岩龙蜥	340000000	1
5	岩龙蜥	340000100	1
10	岩龙蜥	340000200	1
15	岩龙蜥	340000300	1
20	岩龙蜥	340000400	1
25	岩龙蜥	340000500	1
30	岩龙蜥	340000600	1
35	岩龙蜥	340000700	1
40	岩龙蜥	340000800	1
45	岩龙蜥	340000900	1
50	岩龙蜥	340001000	1
55	岩龙蜥	340001100	1
60	岩龙蜥	340001200	1
65	岩龙蜥	340001300	1
70	岩龙蜥	340001400	1
75	岩龙蜥	340001500	1
80	岩龙蜥	340001600	1
85	岩龙蜥	340001700	1
90	岩龙蜥	340001800	1
93	岩龙蜥	340001900	1
100	岩龙蜥	340002000	1
105	岩龙蜥	340002100	1
110	岩龙蜥	340002200	1
115	岩龙蜥	340002300	1
120	岩龙蜥	340002400	1
1	采集动物	381000000	1
5	采集动物	381000100	1
10	采集动物	381000200	1
15	采集动物	381000300	1
20	采集动物	381000400	1
25	采集动物	381000500	1
30	采集动物	381000600	1
35	采集动物	381000700	1
40	采集动物	381000800	1
45	采集动物	381000900	1
50	采集动物	381001000	1
55	采集动物	381001100	1
60	采集动物	381001200	1
65	采集动物	381001300	1
70	采集动物	381001400	1
75	采集动物	381001500	1
80	采集动物	381001600	1
85	采集动物	381001700	1
90	采集动物	381001800	1
93	采集动物	381001900	1
100	采集动物	381002000	1
105	采集动物	381002100	1
110	采集动物	381002200	1
115	采集动物	381002300	1
120	采集动物	381002400	1
1	走兽	382000000	1
5	走兽	382000100	1
10	走兽	382000200	1
15	走兽	382000300	1
20	走兽	382000400	1
25	走兽	382000500	1
30	走兽	382000600	1
35	走兽	382000700	1
40	走兽	382000800	1
45	走兽	382000900	1
50	走兽	382001000	1
55	走兽	382001100	1
60	走兽	382001200	1
65	走兽	382001300	1
70	走兽	382001400	1
75	走兽	382001500	1
80	走兽	382001600	1
85	走兽	382001700	1
90	走兽	382001800	1
93	走兽	382001900	1
100	走兽	382002000	1
105	走兽	382002100	1
110	走兽	382002200	1
115	走兽	382002300	1
120	走兽	382002400	1
1	鸟类	383000000	1
5	鸟类	383000100	1
10	鸟类	383000200	1
15	鸟类	383000300	1
20	鸟类	383000400	1
25	鸟类	383000500	1
30	鸟类	383000600	1
35	鸟类	383000700	1
40	鸟类	383000800	1
45	鸟类	383000900	1
50	鸟类	383001000	1
55	鸟类	383001100	1
60	鸟类	383001200	1
65	鸟类	383001300	1
70	鸟类	383001400	1
75	鸟类	383001500	1
80	鸟类	383001600	1
85	鸟类	383001700	1
90	鸟类	383001800	1
93	鸟类	383001900	1
100	鸟类	383002000	1
105	鸟类	383002100	1
110	鸟类	383002200	1
115	鸟类	383002300	1
120	鸟类	383002400	1
1	水族	384000000	1
5	水族	384000100	1
10	水族	384000200	1
15	水族	384000300	1
20	水族	384000400	1
25	水族	384000500	1
30	水族	384000600	1
35	水族	384000700	1
40	水族	384000800	1
45	水族	384000900	1
50	水族	384001000	1
55	水族	384001100	1
60	水族	384001200	1
65	水族	384001300	1
70	水族	384001400	1
75	水族	384001500	1
80	水族	384001600	1
85	水族	384001700	1
90	水族	384001800	1
93	水族	384001900	1
100	水族	384002000	1
105	水族	384002100	1
110	水族	384002200	1
115	水族	384002300	1
120	水族	384002400	1
1	魔法生物	385000000	1
5	魔法生物	385000100	1
10	魔法生物	385000200	1
15	魔法生物	385000300	1
20	魔法生物	385000400	1
25	魔法生物	385000500	1
30	魔法生物	385000600	1
35	魔法生物	385000700	1
40	魔法生物	385000800	1
45	魔法生物	385000900	1
50	魔法生物	385001000	1
55	魔法生物	385001100	1
60	魔法生物	385001200	1
65	魔法生物	385001300	1
70	魔法生物	385001400	1
75	魔法生物	385001500	1
80	魔法生物	385001600	1
85	魔法生物	385001700	1
90	魔法生物	385001800	1
93	魔法生物	385001900	1
100	魔法生物	385002000	1
105	魔法生物	385002100	1
110	魔法生物	385002200	1
115	魔法生物	385002300	1
120	魔法生物	385002400	1
