父任务ID	父任务组	任务类型	启用模式	Lua脚本路径	推荐等级	可重复	任务奖励RewardID	章节ID	事件ID	活动类型
11112	11110	2	1	Actor/Quest/LQ11112			111112	2018		
11113	11110	2	1	Actor/Quest/LQ11113			111113	2018		
11114	11110	2	1	Actor/Quest/LQ11114				2018		
11120	1112	2	1	Actor/Quest/LQ11120			111120	2020		
11121	1112	2	1	Actor/Quest/LQ11121			111121	2020		
11122	1112	2	1	Actor/Quest/LQ11122			111122	2020		
11123	1112	2	1	Actor/Quest/LQ11123			111123	2020		
11124	1112	2	1	Actor/Quest/LQ11124				2020		
11200		2	1	Actor/Quest/LQ11200			111200	2015		
11201		2	1	Actor/Quest/LQ11201			111201	2015		
11202		2	1	Actor/Quest/LQ11202			111202	2015		
18000		7	1	Actor/Quest/WQ18000			118000	1105		
19001	101401	2	1	Actor/Quest/LQ19001				101401		
19002	101401	2	1	Actor/Quest/LQ19002				101401		
19003	101401	2	1	Actor/Quest/LQ19003				101401		
19004	101401	2	1	Actor/Quest/LQ19004				101401		
19005	101401	2	1	Actor/Quest/LQ19005				101401		
19006	101401	2	1	Actor/Quest/LQ19006				101401		
19007	101401	2	1	Actor/Quest/LQ19007				101401		
19008	101401	2	1	Actor/Quest/LQ19008				101401		
19009	101401	2	1	Actor/Quest/LQ19009				101401		
19021	103601	2	1	Actor/Quest/LQ19021				103601		
19022	103601	2	1	Actor/Quest/LQ19022				103601		
19023	103601	2	1	Actor/Quest/LQ19023				103601		
19024	103601	2	1	Actor/Quest/LQ19024				103601		
19025	103601	2	1	Actor/Quest/LQ19025				103601		
19030	103601	2	1	Actor/Quest/LQ19030				103601		
19031	103601	2	1	Actor/Quest/LQ19031				103601		
19032	103601	2	1	Actor/Quest/LQ19032				103601		
19033	103601	2	1	Actor/Quest/LQ19033				103601		
19034	103601	2	1	Actor/Quest/LQ19034				103601		
19035	103601	2	1	Actor/Quest/LQ19035				103601		
19041	103201	2	1	Actor/Quest/LQ19041				103201		
19042	103201	2	1	Actor/Quest/LQ19042				103201		
19043	103201	2	1	Actor/Quest/LQ19043				103201		
19044	103201	2	1	Actor/Quest/LQ19044				103201		
19045	103201	2	1	Actor/Quest/LQ19045				103201		
19046		2	1	Actor/Quest/LQ19046		1				
19061	103401	2	1	Actor/Quest/LQ19061				103401		
19062	103401	2	1	Actor/Quest/LQ19062				103401		
19063	103401	2	1	Actor/Quest/LQ19063				103401		
19064	103401	2	1	Actor/Quest/LQ19064				103401		
19065	103401	2	1	Actor/Quest/LQ19065				103401		
19066	103401	2	1	Actor/Quest/LQ19066				103401		
19067	103401	2	1	Actor/Quest/LQ19067				103401		
19068	103401	2	1	Actor/Quest/LQ19068				103401		
19069	103401	2	1	Actor/Quest/LQ19069				103401		
19070		2	1	Actor/Quest/LQ19070						
19081	103402	2	1	Actor/Quest/LQ19081				103402		
19082	103402	2	1	Actor/Quest/LQ19082				103402		
19083	103402	2	1	Actor/Quest/LQ19083				103402		
19084	103402	2	1	Actor/Quest/LQ19084				103402		
19085	103402	2	1	Actor/Quest/LQ19085				103402		
19086	103402	2	1	Actor/Quest/LQ19086				103402		
19087	103402	2	1	Actor/Quest/LQ19087				103402		
19088		2	1	Actor/Quest/LQ19088						
19089		2	1	Actor/Quest/LQ19089						
19090	103402	2	1	Actor/Quest/LQ19090				103402		
19091	103402	2	1	Actor/Quest/LQ19091				103402		
19092	103402	2	1	Actor/Quest/LQ19092				103402		
19101	103901	2	1	Actor/Quest/LQ19101				103901		
19102	103901	2	1	Actor/Quest/LQ19102				103901		
19103	103901	2	1	Actor/Quest/LQ19103				103901		
19104	103901	2	1	Actor/Quest/LQ19104				103901		
19105	103901	2	1	Actor/Quest/LQ19105				103901		
19106	103901	2	1	Actor/Quest/LQ19106				103901		
19107	103901	2	1	Actor/Quest/LQ19107				103901		
20068		5		Actor/Quest/IQ20068		1			23100	
20069		5		Actor/Quest/IQ20069		1			28900	
20070		5		Actor/Quest/IQ20070		1			29000	
20071		5		Actor/Quest/IQ20071		1			29001	
20072		5		Actor/Quest/IQ20072		1			29002	
20073		5		Actor/Quest/IQ20073		1			29100	
20104		5		Actor/Quest/IQ20104		1			24200	
20511		5		Actor/Quest/IQ20511		1			24700	
20512		5		Actor/Quest/IQ20512		1			24701	
20513		5		Actor/Quest/IQ20513		1			24702	
20514		5		Actor/Quest/IQ20514		1			24800	
20515		5		Actor/Quest/IQ20515		1			24801	
20516		5		Actor/Quest/IQ20516		1			24802	
20517		5		Actor/Quest/IQ20517		1	0,500140		24900	
20518		5		Actor/Quest/IQ20518		1			24100	
20519		5		Actor/Quest/IQ20519		1			24101	
20520		5		Actor/Quest/IQ20520		1			28800	
20521		5		Actor/Quest/IQ20521		1			29200	
20600		5		Actor/Quest/IQ20600		1	500138		23600	
20601		7	1	Actor/Quest/WQ20601			120601			
20602		7	1	Actor/Quest/WQ20602			120602			
20603		7	1	Actor/Quest/WQ20603			120603			
20700		5		Actor/Quest/IQ20700		1	500126,500127,500128,500129,500130,500131		24300	
20701		5		Actor/Quest/IQ20701		1	500132,500133,500134		24000	
20702		5		Actor/Quest/IQ20702		1	500135,500136,500137		24500	
20703		5		Actor/Quest/IQ20703		1	500143		24600	
20704		7		Actor/Quest/WQ20704		1			27700	
20740		7	1	Actor/Quest/WQ20740			120740			
20741		7	1	Actor/Quest/WQ20741			120741			
20742		7	1	Actor/Quest/WQ20742						
20743		7	1	Actor/Quest/WQ20743			120743			
20744		7		Actor/Quest/WQ20744						
22009		5		Actor/Quest/IQ22009		1			26900	
22114		5				1	122114		28000	
22200		5		Actor/Quest/IQ22200		1	500141,500142		27500	
22500		5		Actor/Quest/IQ22500		1	500144		28400	
22501		5		Actor/Quest/IQ22501		1			28700	
22701		5		Actor/Quest/IQ22701		1	500145		28500	
31001		7	1							
40000		7	1	Actor/Quest/EQ40000						
40010	10027	3	1	Actor/Quest/EQ40010			140010	10027		1600
40011	10028	3	1	Actor/Quest/EQ40011			140011	10028		1600
40012	10029	3	1	Actor/Quest/EQ40012			140012	10029		1600
40013	10030	3	1	Actor/Quest/EQ40013			140013	10030		1600
40016	10031	3	1	Actor/Quest/EQ40016						1600
40017	10032	3	1	Actor/Quest/EQ40017						1600
40018	10033	3	1	Actor/Quest/EQ40018						1600
40019	10034	3	1	Actor/Quest/EQ40019						1600
41001		3	1							
41111	10006	3	1	Actor/Quest/EQ41111			141111	10006		1100
41112	10007	3	1	Actor/Quest/EQ41112			141112	10007		1100
41113	10008	3	1	Actor/Quest/EQ41113			141113	10008		1100
41114	10009	3	1	Actor/Quest/EQ41114			141114	10009		1100
41115		3	1	Actor/Quest/EQ41115						
41120		7	1	Actor/Quest/WQ41120			141120			1100
41121		3	1	Actor/Quest/EQ41121			3001011			9
41122		7	1	Actor/Quest/WQ41122			141122			1100
41123		7	1	Actor/Quest/WQ41123			141123			1100
41124		7	1	Actor/Quest/WQ41124			141124			1100
41125		5		Actor/Quest/IQ41125		1			28600	
41126		7	1	Actor/Quest/WQ41126			141126			1100
41127		7	1	Actor/Quest/WQ41127			141127			1100
41130		7	1	Actor/Quest/WQ41130			141130			1100
41131		7	1	Actor/Quest/WQ41131			141131			1100
41135		7	1	Actor/Quest/WQ41135			141135			1100
41141		3	1	Actor/Quest/EQ41141			3001012			9
41142		3	1	Actor/Quest/EQ41142			3001013			9
41143		3	1	Actor/Quest/EQ41143			3001021			9
41144		3	1	Actor/Quest/EQ41144			3001022			9
41145		3	1	Actor/Quest/EQ41145			3001023			9
41146		3	1	Actor/Quest/EQ41146			3001031			9
41147		3	1	Actor/Quest/EQ41147			3001032			9
41148		3	1	Actor/Quest/EQ41148			3001033			9
41149		3	1	Actor/Quest/EQ41149			3001041			9
41150		3	1	Actor/Quest/EQ41150			3001042			9
41151		3	1	Actor/Quest/EQ41151			3001043			9
41152		3	1	Actor/Quest/EQ41152			3001051			9
41153		3	1	Actor/Quest/EQ41153			3001052			9
41154		3	1	Actor/Quest/EQ41154			3001053			9
41155		3	1	Actor/Quest/EQ41155			3001061			9
41156		3	1	Actor/Quest/EQ41156			3001062			9
41157		3	1	Actor/Quest/EQ41157			3001063			9
41158		3	1	Actor/Quest/EQ41158			3001071			9
41159		3	1	Actor/Quest/EQ41159			3001072			9
41160		3	1	Actor/Quest/EQ41160			3001073			9
41170		7	1	Actor/Quest/WQ41170			141170			10
41210	10010	3	1	Actor/Quest/EQ41210			141210	10010		1200
41211	10011	3	1	Actor/Quest/EQ41211			141211	10011		1200
41212	10012	3	1	Actor/Quest/EQ41212			141212	10012		1200
41213	10013	3	1	Actor/Quest/EQ41213			141213	10013		1200
41214	10014	3	1	Actor/Quest/EQ41214			141214	10014		1200
41215		3	1				141215			1200
41311	10018	3	1	Actor/Quest/EQ41311			141311	10018		1302
41312	10018	3	1	Actor/Quest/EQ41312			141312	10019		1302
41313	10018	3	1	Actor/Quest/EQ41313			141313	10020		1302
41316		3	1	Actor/Quest/EQ41316			141316			1302
41317		3	1	Actor/Quest/EQ41317			141317			1302
41331		7		Actor/Quest/WQ41331			141331			1302
41332		7		Actor/Quest/WQ41332			141332			1302
41333		7		Actor/Quest/WQ41333			141333			1302
41334		7		Actor/Quest/WQ41334			141334			1302
41335		7		Actor/Quest/WQ41335			141335			1302
41336		7		Actor/Quest/WQ41336			141336			1302
41337		7		Actor/Quest/WQ41337			141337			1302
41338		7		Actor/Quest/WQ41338			141338			1302
41340		7		Actor/Quest/WQ41340			141340			1302
41341		7		Actor/Quest/WQ41341			141341			1302
41342		7		Actor/Quest/WQ41342			141342			1302
41343		7		Actor/Quest/WQ41343			141343			1302
41357		7		Actor/Quest/WQ41357			141357	10015		1302
41358		7		Actor/Quest/WQ41358			141358	10016		1302
41359		7		Actor/Quest/WQ41359			141359	10017		1302
41401		7	1	Actor/Quest/WQ41401			141401			1300
41402		7	1	Actor/Quest/WQ41402			141402			
41410	10021	3	1	Actor/Quest/EQ41410			141410	10021		1400
41411	10021	3	1	Actor/Quest/EQ41411			141411	10022		1400
41412	10021	3	1	Actor/Quest/EQ41412			141412	10023		1400
41413	10021	3	1	Actor/Quest/EQ41413			141413	10024		1400
41414	10021	3	1	Actor/Quest/EQ41414						1400
41415	10021	3	1	Actor/Quest/EQ41415						1400
41421		7	1	Actor/Quest/WQ41421			141421			1403
41422		7		Actor/Quest/WQ41422			141422			1403
70000		7		Actor/Quest/WQ70000			170000			1400
70001		7		Actor/Quest/WQ70001			170001			1400
70003		7		Actor/Quest/WQ70003			170003			1400
70006		7		Actor/Quest/WQ70006			170006			1505
70007		7		Actor/Quest/WQ70007			170007			1400
70008		7		Actor/Quest/WQ70008			170008			1400
70009		7		Actor/Quest/WQ70009			170009			1400
70010		7		Actor/Quest/WQ70010			170010			1400
70011		7		Actor/Quest/WQ70011			170011			1505
70012		7		Actor/Quest/WQ70012			170012			1505
70013		7		Actor/Quest/WQ70013			170013			1505
70014		7		Actor/Quest/WQ70014			170014			1505
70015		7		Actor/Quest/WQ70015			170015			1505
70016		7		Actor/Quest/WQ70016			170016			1505
70017		7		Actor/Quest/WQ70017			170017			1505
70018		7		Actor/Quest/WQ70018			170018			1505
70019		7		Actor/Quest/WQ70019			170019			1505
70020		7		Actor/Quest/WQ70020			170020			1505
70021		7		Actor/Quest/WQ70021			170021			1505
70022		7		Actor/Quest/WQ70022			170022			1505
70023		7		Actor/Quest/WQ70023			170023			1505
70024		7		Actor/Quest/WQ70024			170024			1505
70025		7		Actor/Quest/WQ70025			170025			1505
70101		7		Actor/Quest/WQ70101						
70102		7		Actor/Quest/WQ70102			170102			
70103		7		Actor/Quest/WQ70103						
70104		7		Actor/Quest/WQ70104			170104			
70106		7		Actor/Quest/WQ70106			170106			
70107		7		Actor/Quest/WQ70107			170107			
70108		7		Actor/Quest/WQ70108			170108			
70109		7		Actor/Quest/WQ70109						
70110		7		Actor/Quest/WQ70110						
70121		7		Actor/Quest/WQ70121			170121			
70123		7		Actor/Quest/WQ70123			170124			
70124		7		Actor/Quest/WQ70124						
70125		7		Actor/Quest/WQ70125						
70126		7		Actor/Quest/WQ70126						
70127		7		Actor/Quest/WQ70127						
70128		7					170128			
70141		7		Actor/Quest/WQ70141			170141			
70142		7		Actor/Quest/WQ70142						
70143		7		Actor/Quest/WQ70143			170143			
70144		7		Actor/Quest/WQ70144						
70145		7		Actor/Quest/WQ70145						
70650		7	1	Actor/Quest/WQ70650			170650			
70651		7	1	Actor/Quest/WQ70651			170651			
70652		7	1	Actor/Quest/WQ70652			170652			1204
70653		7	1				170653			1301
70654		7	1	Actor/Quest/WQ70654			170654			1400
70655		7	1	Actor/Quest/WQ70655			170655			1402
70656		7	1	Actor/Quest/WQ70656			170656			1400
70657		7	1	Actor/Quest/WQ70657			170657			1400
70658		7	1	Actor/Quest/WQ70658			170658			1400
70659		7		Actor/Quest/WQ70659			170659			1504
70700		7	1	Actor/Quest/WQ70700						
70701		7	1	Actor/Quest/WQ70701						
70702		7	1	Actor/Quest/WQ70702						
70703		7	1	Actor/Quest/WQ70703						
70704		7	1	Actor/Quest/WQ70704						
70705		7	1	Actor/Quest/WQ70705						
70706		7	1	Actor/Quest/WQ70706						
70707		7	1	Actor/Quest/WQ70707						
70708		7	1	Actor/Quest/WQ70708						
70709		7	1	Actor/Quest/WQ70709						
70710		7	1	Actor/Quest/WQ70710						
70711		7	1	Actor/Quest/WQ70711						
70712		7	1	Actor/Quest/WQ70712						
70713		7	1	Actor/Quest/WQ70713						
70714		7	1	Actor/Quest/WQ70714						
70800		7		Actor/Quest/WQ70800			170008			1400
70801		7	1	Actor/Quest/WQ70801			170801			
70810		7	1	Actor/Quest/WQ70810			170810			
70811		7	1							
70812		7	1	Actor/Quest/WQ70812			170812			
70813		7	1	Actor/Quest/WQ70813			170813			
70814		7	1	Actor/Quest/WQ70814			170814			
70815		7	1	Actor/Quest/WQ70815			170815			
70816		7	1	Actor/Quest/WQ70816			170816			
70821		7	1	Actor/Quest/WQ70821			170821			
70822		7	1	Actor/Quest/WQ70822			170822			
70823		7	1	Actor/Quest/WQ70823			170823			
70824		7	1	Actor/Quest/WQ70824			170824			
70825		7	1	Actor/Quest/WQ70825			170825			
70901		7	1				552001			
70902		7	1				551009			
70903		7	1				551014			
70904		7	1				551015			
70905		7	1				551001			
70906		7	1				551002			
70907		7	1				551003			
70908		7	1				551036			
70909		7	1				551004			
70910		7	1				551005			
70911		7	1				551006			
70912		7	1				551007			
70913		7	1				551008			
70914		7	1				551010			
70915		7	1				551011			
70916		7	1				551012			
70917		7	1				551013			
70918		7	1				551016			
70919		7	1				551017			
70920		7	1				551018			
70921		7	1				551019			
70922		7	1				551020			
70923		7	1				551021			
70924		7	1				551022			
70925		7	1				551023			
70926		7	1				551024			
70927		7	1				551025			
70928		7	1				551026			
70929		7	1				551027			
70930		7	1				551028			
70931		7	1				551029			
70932		7	1				551030			
70933		7	1				551031			
70934		7	1				551032			
70935		7	1				551033			
70936		7	1				551034			
70937		7	1				551035			
70938		7	1				551037			
70939		7	1				551038			
70940		7	1				551039			
70941		7	1				551040			
70942		7	1				551041			
71000		7	1	Actor/Quest/WQ71000				10015		
71003		7	1	Actor/Quest/WQ71003				10015		
71005		7		Actor/Quest/WQ71005			210002,210001,171005			
71006		7		Actor/Quest/WQ71006			171006			
71007		7		Actor/Quest/WQ71007						
71008		7	1	Actor/Quest/WQ71008			171008			
71010		7		Actor/Quest/WQ71010		1				
71011		7	1	Actor/Quest/WQ71011						
71012		7		Actor/Quest/WQ71012			171012			
71013		7		Actor/Quest/WQ71013						
71014		7	1	Actor/Quest/WQ71014			171014			
71015		7	1	Actor/Quest/WQ71015						
71016		7	1	Actor/Quest/WQ71016			171016			
71017		7	1	Actor/Quest/WQ71017						
71018		7	1	Actor/Quest/WQ71018			171018			
71019		7		Actor/Quest/WQ71019						
71020		7	1	Actor/Quest/WQ71020			171020			
71021		7	1	Actor/Quest/WQ71021	60					
71022		7		Actor/Quest/WQ71022			171022			
71023		7	1	Actor/Quest/WQ71023				10015		
71024		7	1	Actor/Quest/WQ71024				10015		
71025		7	1	Actor/Quest/WQ71025				10016		
71026		7	1	Actor/Quest/WQ71026				10016		
71027		7	1	Actor/Quest/WQ71027				10016		
71028		7	1	Actor/Quest/WQ71028				10016		
71029		7	1	Actor/Quest/WQ71029				10017		
71030		7	1	Actor/Quest/WQ71030				10017		
71031		7	1	Actor/Quest/WQ71031						
71032		7	1	Actor/Quest/WQ71032				10017		
71033	71033	7		Actor/Quest/WQ71033			171033			1302
71034	71033	7		Actor/Quest/WQ71034						
71650		7	1	Actor/Quest/WQ71650			171650			
71651		7	1				171651			1301
71652		7		Actor/Quest/WQ71652			171652			1502
71653		7	1	Actor/Quest/WQ71653			171653			1502
71654		7		Actor/Quest/WQ71654			171654			
71655		7		Actor/Quest/WQ71655			171655			
71700		7	1	Actor/Quest/WQ71700						
71701		7	1	Actor/Quest/WQ71701						
71702		7	1	Actor/Quest/WQ71702						
71703		7	1	Actor/Quest/WQ71703						
71704		7	1	Actor/Quest/WQ71704						
71705		7	1	Actor/Quest/WQ71705						
71706		7	1	Actor/Quest/WQ71706						
71707		7	1	Actor/Quest/WQ71707						
71708		7	1	Actor/Quest/WQ71708						
71709		7	1	Actor/Quest/WQ71709						
71710		7	1	Actor/Quest/WQ71710						
71711		7	1	Actor/Quest/WQ71711						
71712		7	1	Actor/Quest/WQ71712						
71713		7	1	Actor/Quest/WQ71713						
71714		7	1	Actor/Quest/WQ71714						
71800		7	1	Actor/Quest/WQ71800			171800			
71801		2	1	Actor/Quest/LQ71801						
71802		7	1	Actor/Quest/WQ71802			171802			
71803		7	1	Actor/Quest/WQ71803			171803			
71804		7	1	Actor/Quest/WQ71804			171804			
71805		7	1	Actor/Quest/WQ71805			171805			
71806		7	1	Actor/Quest/WQ71806						
71807		7	1	Actor/Quest/WQ71807			171807			
71808		7	1	Actor/Quest/WQ71808			171808			
71809		7	1	Actor/Quest/WQ71809			171809			
71810		7	1	Actor/Quest/WQ71810			171810			
71811		7	1	Actor/Quest/WQ71811			171811			
71812		7	1	Actor/Quest/WQ71812			171812			
71813		7	1	Actor/Quest/WQ71813			171813			
71814		7	1	Actor/Quest/WQ71814			171814			
71815		7		Actor/Quest/WQ71815			171815			1302
71816		7		Actor/Quest/WQ71816			171816			1302
71817		7		Actor/Quest/WQ71817			171817			1302
71818		7		Actor/Quest/WQ71818			171818			1302
71819		7		Actor/Quest/WQ71819			171819			1302
71820		7		Actor/Quest/WQ71820			171820			1302
71821		7		Actor/Quest/WQ71821			171821			1302
71822		7		Actor/Quest/WQ71822			171822			1302
71823		7		Actor/Quest/WQ71823			171823			1302
71824		7		Actor/Quest/WQ71824			171824			1302
71825		7					171825			1302
71826		7					171826			1302
71827		7					171827			1302
71828		7					171828			1302
71829		7	1	Actor/Quest/WQ71829			171829			
71901		7	1				552002			
71902		7	1				552003			
71903		7	1				552005			
71904		7	1				552006			
71905		7	1				552007			
71906		7	1				552008			
71907		7	1				552009			
71909		7	1				552010			
71910		7	1				552011			
71911		7	1				552012			
71912		7	1				552013			
71913		7	1				552016			
71914		7	1				552017			
71915		7	1				552018			
71916		7	1				552019			
71917		7	1				552020			
71918		7	1				552022			
71919		7	1				552023			
71920		7	1				552025			
71921		7	1				552004			
71922		7	1				552024			
71923		7	1				552027			
71924		7	1				552028			
71925		7	1				552029			
71926		7	1				552030			
71927		7	1				552031			
71928		7	1				552032			
71929		7	1				552033			
71930		7	1				552034			
71931		7	1				552035			
71932		7	1				552036			
71933		7	1				552038			
71934		7	1				552039			
71935		7	1				552040			
71936		7	1				552041			
71937		7	1				552042			
71938		7	1				552043			
71939		7	1				552044			
71940		7	1				552045			
71941		7	1				552048			
71942		7	1				552050			
71943		7	1				552051			
71944		7	1				552052			
71945		7	1				552053			
71946		7	1				552055			
71947		7	1				552056			
71948		7	1				552057			
71949		7	1				552058			
71950		7	1				552059			
71951		7	1				552060			
71952		7	1				552026			
71953		7	1				552002			
79000		7		Actor/Quest/WQ79000			179000			1602
79001		7		Actor/Quest/WQ79001			179001			1602
79002		7		Actor/Quest/WQ79002			179002			1602
79003		7		Actor/Quest/WQ79003			179003			1602
79004		7	1	Actor/Quest/WQ79004			179004			1602
79005		7	1	Actor/Quest/WQ79005			179005			1602
79006		7	1	Actor/Quest/WQ79006						1602
79007		7	1	Actor/Quest/WQ79007						1603
79008		7	1	Actor/Quest/WQ79008			179008			1602
79009		7		Actor/Quest/WQ79009						1602
79010		7		Actor/Quest/WQ79010						1602
79011		7		Actor/Quest/WQ79011						1602
79014		7	1	Actor/Quest/WQ79014						
79015		7	1	Actor/Quest/WQ79015						
79016		7		Actor/Quest/WQ79016						
79017		7		Actor/Quest/WQ79017						1602
90001		5	1	Actor/Quest/IQ90001						
