商品ID	商店类型	对应物品ID	轮替商品ID	对应物品数量	消耗金币	消耗水晶	消耗创世结晶	[消耗物品]1ID	[消耗物品]1数量	[消耗物品]2ID	[消耗物品]2数量	限购数量	刷新类型	刷新参数	提前预览天数	上架时间	下架时间	是否终身限购	前置条件	前置条件参数	条件参数1	条件参数2	最小可见等级	最小队伍等级	最大队伍等级	排序等级	二级页签ID	n选1组ID	显示平台
1044207	1044	114018		1				119	15			6											1	1	99	8	11		
1044208	1044	114022		1				119	15			6											1	1	99	8	11		
1044209	1044	104003		1				119	10			30											1	1	99	7	11		
1044210	1044	104201		6				119	3			20											1	1	99	6	11		
1044211	1044	104013		1				119	5			20											1	1	99	7	11		
1044212	1044	202		10000				119	10			30											1	1	99	7	11		
15001101	15001	201		60				122	120			5											1	1	99	1	12		
15001102	15001	104319		1				122	1000			1											1	1	99	1	12		
15001103	15001	104302		1				122	40			6											1	1	99	1	12		
15001104	15001	104303		1				122	120			2											1	1	99	1	12		
15001105	15001	104305		1				122	40			6											1	1	99	1	12		
15001106	15001	104306		1				122	120			2											1	1	99	1	12		
15001107	15001	104308		1				122	40			6											1	1	99	1	12		
15001108	15001	104309		1				122	120			2											1	1	99	1	12		
15001109	15001	104311		1				122	40			6											1	1	99	1	12		
15001110	15001	104312		1				122	120			2											1	1	99	1	12		
15001111	15001	104314		1				122	40			6											1	1	99	1	12		
15001112	15001	104315		1				122	120			2											1	1	99	1	12		
15001113	15001	104317		1				122	40			6											1	1	99	1	12		
15001114	15001	104318		1				122	120			2											1	1	99	1	12		
15001115	15001	104112		1				122	60			6											1	1	99	1	12		
15001116	15001	104122		1				122	60			6											1	1	99	1	12		
15001117	15001	104142		1				122	60			6											1	1	99	1	12		
15001118	15001	104152		1				122	60			6											1	1	99	1	12		
15001119	15001	104162		1				122	60			6											1	1	99	1	12		
15001120	15001	104172		1				122	60			6											1	1	99	1	12		
15001121	15001	104003		1				122	20			30											1	1	99	1	12		
15001122	15001	104013		1				122	10			75											1	1	99	1	12		
15001123	15001	202		10000				122	20			50											1	1	99	1	12		
15001124	15001	202		10000				122	30			50							3				1	1	99	1	12		
16001101	16001	104319		1				124	500			1											1	1	99	1	13		
16001102	16001	115031		1				124	500			1											1	1	99	1	13		
16001103	16001	393122		1				124	100			1											1	1	99	1	13		
16001104	16001	393124		1				124	100			1											1	1	99	1	13		
16001105	16001	391109		1				124	200			1											1	1	99	1	13		
16001106	16001	104303		1				124	50			2											1	1	99	1	13		
16001107	16001	104306		1				124	50			2											1	1	99	1	13		
16001108	16001	104309		1				124	50			2											1	1	99	1	13		
16001109	16001	104312		1				124	50			2											1	1	99	1	13		
16001110	16001	104315		1				124	50			2											1	1	99	1	13		
16001111	16001	104318		1				124	50			2											1	1	99	1	13		
16001201	16001	14413		1				125	800			1											1	1	99	1	14		
16001202	16001	200105		1				125	500			4											1	1	99	1	14		
16001203	16001	393120		1				125	200			1											1	1	99	1	14		
16001204	16001	394404		1				125	200			1											1	1	99	1	14		
16001205	16001	393313		1				125	200			1											1	1	99	1	14		
16001206	16001	114010		1				125	10			6											1	1	99	1	14		
16001207	16001	114002		1				125	10			6											1	1	99	1	14		
16001208	16001	114006		1				125	10			6											1	1	99	1	14		
16001209	16001	114014		1				125	10			6											1	1	99	1	14		
16001210	16001	114018		1				125	10			6											1	1	99	1	14		
16001211	16001	114022		1				125	10			6											1	1	99	1	14		
16001212	16001	104013		1				125	5			100											1	1	99	1	14		
16001213	16001	202		10000				125	10			24											1	1	99	1	14		
16002001	16002	201		60				126	200			4											1	1	99	1	15		
16002002	16002	210077		1				126	1500			1											1	1	99	1	15		
16002003	16002	104302		1				126	50			4											1	1	99	1	15		
16002004	16002	104305		1				126	50			4											1	1	99	1	15		
16002005	16002	104308		1				126	50			4											1	1	99	1	15		
16002006	16002	104311		1				126	50			4											1	1	99	1	15		
16002007	16002	104314		1				126	50			4											1	1	99	1	15		
16002008	16002	104317		1				126	50			4											1	1	99	1	15		
16002009	16002	104003		1				126	25			12											1	1	99	1	15		
16002010	16002	202		10000				126	25			16											1	1	99	1	15		
