ID	Ability名称	是远程	技能CD	无视冷却缩减属性	消耗体力	消耗能量类型	消耗能量值	可累积次数	TriggerID	索敌范围	索敌公式权重1	索敌公式权重2	索敌公式权重3	索敌公式权重4	是默认镜头	支持按钮拖动	是否显示箭头	是否监控状态	默认锁定	图标名称	升级技能组ID	技能能量键值	消耗能量最小值	CanDoSkill为false强制可用	处理冷却所属技能槽	是否存档
10058	Avatar_Player_ExtraAttack		0		0			1	0	CircleLockEnemyR5H6HC	1	1	0.3	0	1						0					
10059	Avatar_Player_ExtraAttack		0		0			1	0	CircleLockEnemyR5H6HC	1	1	0.3	0	1						0					
10060	Avatar_Lisa_ExtraAttack		0		0			1	0	CircleLockEnemyR15H10HC	1	1	0.3	0	1						431					
10061			16		0			1	2	CircleLockEnemyR15H10HC	1	1	0.3	0	1	1	1				432					
10062			20		0	4	80	1	5	CircleLockEnemyR15H10HC	1	1	0.3	0	1						439					
10063	Test_CreateSharkTorpedo		5		0			2	0	CircleLockEnemyR8H6HC	1	1	0.3	0	1						0					
10064	Test_CreateSteamBang		10		0			1	0	CircleLockEnemyR5H6HC	1	1	0.3	0	1						0					
10065	Avatar_Ambor_ThrowDummy		5		0			1	0	CircleLockEnemyR5H6HC	1	1	0.3	0	1						0					
10066		1	0		0			1	2	CircleLockEnemyR15H10HC	1	1	0.3	0	1						0					
10067	Avatar_Player_UziExplode	1	5		0			1	2	CircleLockEnemyR15H10HC	1	1	0.3	0	1						732					
10068	Avatar_Player_WindBreathe	1	15		0	7	60	1	5	CircleLockEnemyR15H10HC	1	1	0.3	0	1						739					
10069			0		0			1	1	CircleLockEnemyR5H6HC	1	1	0.3	0	1						0					
10070	Avatar_Barbara_ExtraAttack		0		0			1	0	CircleLockEnemyR15H10HC	1	1	0.3	0	1						1431					
10071			32		0			1	2	CircleLockEnemyR15H10HC	1	1	0.3	0	1	1	1				1432					
10072			20		0	2	80	1	5	CircleLockEnemyR15H10HC	1	1	0.3	0	1						1439					
10073	Avatar_Kaeya_ExtraAttack		0		0			1	0	CircleLockEnemyR8H6HC	1	1	0.3	0	1						1531					
10074			6		0			1	2	CircleLockEnemyR15H10HC	1	1	0.3	0	1						1532					
10075			15		0	5	60	1	5	CircleLockEnemyR15H10HC	1	1	0.3	0	1						1539					
10076	Avatar_Barbara_ReBorn		900	1	0			1	0	CircleLockEnemyR15H10HC	1	1	0.3	0	1			1	1	Skill_B_Barbara_01	0					1
10077	Avatar_Player_Hogyoku	1	8		0			1	12	CircleLockEnemyR15H10HC	1	1	0.3	0	1						932					
10078	Avatar_Player_RockTide	1	15		0	8	60	1	15	CircleLockEnemyR15H10HC	1	1	0.3	0	1						939					
10079	Avatar_Barbara_ReBornEffect_01		900	1	0			1	0	CircleLockEnemyR15H10HC	1	1	0.3	0	1						0					1
10080	Avatar_Barbara_ReBornEffect_02		900	1	0			1	0	CircleLockEnemyR15H10HC	1	1	0.3	0	1						0					1
10081	Avatar_Keaya_IceShield		60	1	0			1	0	CircleLockEnemyR15H10HC	1	1	0.3	0	1						0					
10082	Avatar_Barbara_Trigger_WaterBall		30		0			1	0	CircleLockEnemyR15H10HC	1	1	0.3	0	1						0					
10083	Avatar_Lsai_TeamTalent_Skill		30		0			1	0	CircleLockEnemyR15H10HC	1	1	0.3	0	1						0					
10160	Avatar_Diluc_ExtraAttack		0		0			1	0	CircleLockEnemyR5H6HC	1	1	0.3	0	1						1631					
10161	Diluc_Fire_Blade		10		0			1	2	CircleLockEnemyR10H6HC	1	1	0.3	0	1						1632					
10162	Diluc_Fire_Blade		2		0			1	3	CircleLockEnemyR10H6HC	1	1	0.3	0	1						0					
10163	Diluc_Fire_Blade		2		0			1	4	CircleLockEnemyR10H6HC	1	1	0.3	0	1						0					
10165	Diluc_FireCross		12		0	1	40	1	5	CircleLockEnemyR15H10HC	1	1	0.3	0	1						1639					
10166	Diluc_EnterSkill		30		0			1	0	CircleLockEnemyR10H6HC	1	1	0.3	0	1						0					
10201	Avatar_Razor_ExtraAttack		0		0			1	0	CircleLockEnemyR5H6HC	1	1	0.3	0	1						2031					
10202	Avatar_Razor_ClawMark_Click		6		0			1	2	CircleLockEnemyR15H10HC	1	1	0.3	0	1						2032					
10203	Avatar_Razor_LycanMode		20		0	4	80	1	5	CircleLockEnemyR15H10HC	1	1	0.3	0	1						2039					
10204	Avatar_Razor_ClawMark_Click		3		0			1	2	CircleLockEnemyR15H10HC	1	1	0.3	0	1						0					
10211			0		0			1	11	CircleLockEnemyR10	1	1	0.3	0	1						0					
10221	Avatar_Venti_PressShoot	1	0		0			1	0	CircleLockEnemyR15H10HC	1	1	0.3	0	1						2231					
10222	Avatar_Venti_AimPressShoot	1	0		0			1	0	CircleLockEnemyR15H10HC	1	1	0.3	0	1						0					
10223		1	0		0			1	1	CircleLockEnemyR15H10HC	1	1	0.3	0	1						0					
10224			6		0			1	2	CircleLockEnemyR15H10HC	1	1	0.3	0	1						2232					
10225			15		0	7	60	1	5	CircleLockEnemyR15H10HC	1	1	0.3	0	1						2239					
10231	Avatar_Xiangling_ExtraAttack		0		0			1	0	CircleLockEnemyR8H6HC	1	1	0.3	0	1						2331					
10232			12		0			1	2	CircleLockEnemyR15H10HC	1	1	0.3	0	1						2332					
10235			20		0	1	80	1	5	CircleLockEnemyR15H10HC	1	1	0.3	0	1						2339					
10241	Avatar_Beidou_ExtraAttack		0		0			1	0	CircleLockEnemyR5H6HC	1	1	0.3	0	1						2431					
10242	Avatar_Beidou_ThunderCounter_Handler		7.5		0			1	2	CircleLockEnemyR8H6HC	1	1	0.3	0	1	2	1				2432					
10245	Avatar_Beidou_ThunderShield		20		0	4	80	1	5	CircleLockEnemyR15H10HC	1	1	0.3	0	1						2439					
20000			0		0			1	99	CircleLockEnemyR15H10HC	1	1	0.3	0	1						0					
10251	Avatar_Aquaria_PressShoot	1	2		0			1	0	CircleLockEnemyR15H10HC	1	1	0.3	0	1						0					
10252	Avatar_Aquaria_AimPressShoot	1	2		0			1	0	CircleLockEnemyR8H6HC	1	1	0.3	0	1						0					
10253		1	2		0			1	1	CircleLockEnemyR8H6HC	1	1	0.3	0	1						0					
10254			10		0			1	2	CircleLockEnemyR8H6HC	1	1	0.3	0	1						0					
10255			15		0	5	60	1	5	CircleLockEnemyR8H6HC	1	1	0.3	0	1						0					
10261	Avatar_Xiao_ExtraAttack		0		0			1	0	CircleLockEnemyR5H6HC	1	1	0.3	0	1						2631					
10262			10		0			2	2	CircleLockEnemyR8H6HC	1	1	0.3	0	1						2632					
10263			10		0			2	2	CircleLockEnemyR8H6HC	1	1	0.3	0	1						0				2	
10264			0		0			1	11	CircleLockEnemyR5H6HC	1	1	0.3	0	1						0					
10265			18		0	7	70	1	5	CircleLockEnemyR8H6HC	1	1	0.3	0	1						2639					
10271	Avatar_Ningguang_ExtraAttack		0		0			1	0	CircleLockEnemyR15H10HC	1	1	0.3	0	1						2731					
10272			12		0			1	2	CircleLockEnemyR15H10HC	1	1	0.3	0	1						2732					
10273			1		0			1	12	CircleLockEnemy	1	1	0.3	0	1						0					
10274			12		0	8	40	1	5	CircleLockEnemyR15H10HC	1	1	0.3	0	1						2739					
10275	Avatar_Ningguang_Trigger_ElementalArt_CD		1		0			1	0	CircleLockEnemyR15H10HC	1	1	0.3	0	1						0					
10281	Avatar_Prototype_ExtraAttack		0		0			1	0	CircleLockEnemyR15H10HC	1	1	0.3	0	1						0					
10282			0		0			1	2	CircleLockEnemyR5H6HC	1	1	0.3	0	1						0					
10283			10		0	1		1	3	CircleLockEnemyR8H6HC	1	1	0.3	0	1						0					
10291	Avatar_Klee_ExtraAttack		0		0			1	0	CircleLockEnemyR15H10HC	1	1	0.3	0	1						2931					
10292			20		0			2	2	CircleLockEnemyR15H10HC	1	1	0.3	0	1						2932					
10295			15		0	1	60	1	5	CircleLockEnemyR15H10HC	1	1	0.3	0	1						2939					
10300			0		0			1	3	CircleLockEnemyR5H6HC	1	1	0.3	0	1						0					
10301	Avatar_Zhongli_ExtraAttack		0		0			1	0	CircleLockEnemyR8H6HC	1	1	0.3	0	1						3031					
10302			12		0			1	2	CircleLockEnemyR8H6HC	1	1	0.3	0	1						3032					
10303			12		0	8	40	1	5	CircleLockEnemyR8H6HC	1	1	0.3	0	1						3039					
10311	Avatar_Fischl_PressShoot	1	0		0			1	0	CircleLockEnemyR15H10HC	1	1	0.3	0	1						3131					
10312			25		0			1	12	CircleLockEnemyR8H6HC	1	1	0.3	0	1						3132					
10313			15		0	4	60	1	5	CircleLockEnemyR15H10HC	1	1	0.3	0	1						3139					
10314	Avatar_Fischl_AimPressShoot	1	0		0			1	0	CircleLockEnemyR15H10HC	1	1	0.3	0	1						0					
10315		1	0		0			1	1	CircleLockEnemyR15H10HC	1	1	0.3	0	1						0					
10316			1.5	1	0			1	16	CircleLockEnemyR15H10HC	1	1	0.3	0	1						0					
10321	Avatar_Bennett_ExtraAttack		0		0			1	0	CircleLockEnemyR5H6HC	1	1	0.3	0	1						3231					
10322	Avatar_Bennett_ElementalArt_Handler		5		0			1	2	CircleLockEnemyR10H6HC	1	1	0.3	0	1						3232					
10323			15		0	1	60	1	5	CircleLockEnemyR8H6HC	1	1	0.3	0	1						3239					
10331	Avatar_Tartaglia_PressShoot	1	0		0			1	0	CircleLockEnemyR15H10HC	1	1	0.3	0	1						3331					
10332	Avatar_Tartaglia_Gandalfr_Trigger		6		0			1	0	CircleLockEnemyR8H6HC	1	1	0.3	0	1						3332					
10333			15		0	2	60	1	5	CircleLockEnemyR8H6HC	1	1	0.3	0	1						3339					
10334	Avatar_Tartaglia_AimPressShoot	1	0		0			1	0	CircleLockEnemyR15H10HC	1	1	0.3	0	1						0					
10335		1	0		0			1	1	CircleLockEnemyR15H10HC	1	1	0.3	0	1						0					
10336	Avatar_Tartaglia_Gandalfr_TriggerOff		8		0			1	0	CircleLockEnemyR8H6HC	1	1	0.3	0	1						0					
10337	Avatar_Tartaglia_PressShoot		0		0			1	0	CircleLockEnemyR8H6HC	1	1	0.3	0	1						0					
10341	Avatar_Noel_ExtraAttack		0		0			1	0	CircleLockEnemyR5H6HC	1	1	0.3	0	1						3431					
10342			24		0			1	2	CircleLockEnemyR10H6HC	1	1	0.3	0	1						3432					
10343			15		0	8	60	1	5	CircleLockEnemyR8H6HC	1	1	0.3	0	1						3439					
10344			1	1	0			1	0	CircleLockEnemyR15H10HC	1	1	0.3	0	1						0					
10351	Avatar_Qiqi_ExtraAttack		0		0			1	0	CircleLockEnemyR5H6HC	1	1	0.3	0	1						3531					
10352			30		0			1	2	CircleLockEnemyR10H6HC	1	1	0.3	0	1						3532					
10353			20		0	5	80	1	5	CircleLockEnemyR8H6HC	1	1	0.3	0	1						3539					
10355	Avatar_Qiqi_Revive		900	1	0			1	0	CircleLockEnemyR15H10HC	1	1	0.3	0	1			2	1	Skill_B_Barbara_01	0					1
10371	Avatar_Ganyu_PressShoot	1	0		0			1	0	CircleLockEnemyR15H10HC	1	1	0.3	0	1						3731					
10372			10		0			1	2	CircleLockEnemyR8H6HC	1	1	0.3	0	1						3732					
10373			15		0	5	60	1	5	CircleLockEnemyR15H10HC	1	1	0.3	0	1						3739					
10374	Avatar_Ganyu_AimPressShoot	1	0		0			1	0	CircleLockEnemyR15H10HC	1	1	0.3	0	1						0					
11301	Avatar_Beidou_ExtraAttack		0		0			1	0	CircleLockEnemyR5H6HC	1	1	0.3	0	1						0					
11302			9		0			1	2	CircleLockEnemyR8H6HC	1	1	0.3	0	1						0					
11305			25		0	4	60	1	5	CircleLockEnemyR15H10HC	1	1	0.3	0	1						0					
10256			8		0			3	2	CircleLockEnemyR8H6HC	1	1	0.3	0	1						0					
10257			8		0			3	12	CircleLockEnemyR8H6HC	1	1	0.3	0	1						0					
10258			10		0			1	2	CircleLockEnemyR8H6HC	1	1	0.3	0	1						0					
10259			15		0	5	60	1	5	CircleLockEnemyR8H6HC	1	1	0.3	0	1						0					
10362			6		0	5	60	1	5	CircleLockEnemyR8H6HC	1	1	0.3	0	1						0					
10363			6		0			1	2	CircleLockEnemyR15H10HC	1	1	0.3	0	1											
10364	Avatar_Player_Electric_ElementalArt_Reverse_Trigger		0		0			1	0	CircleLockEnemyR15H10HC	1	1	0.3	0	1											
10365			3		0			1	3	CircleLockEnemyR15H10HC	1	1	0.3	0	1											
11371		1	0		0			1	0	CircleLockEnemyR15H10HC	1	1	0.3	1	1						0					
11372			8		0			1	2	CircleLockEnemyR15H10HC	1	1	0.3	0	1						0					
11373			15		0	5	60	1	5	CircleLockEnemyR15H10HC	1	1	0.3	0	1						0					
11374		1	0		0			1	0	CircleLockEnemyR15H10HC	1	1	0.3	0	1						0					
11375		1	0		0			1	1	CircleLockEnemyR15H10HC	1	1	0.3	0	1						0					
10381	Avatar_Xingqiu_ExtraAttack		0		0			1	0	CircleLockEnemyR5H6HC	1	1	0.3	0	1						2531					
10382	Avatar_Xingqiu_SkillHoldHandler		21		0			1	2	CircleLockEnemyR8H6HC	1	1	0.3	0	1						2532					
10385			20		0	2	80	1	5	CircleLockEnemyR5H6HC	1	1	0.3	0	1						2539					
10386	Avatar_Albedo_ExtraAttack		0		0			1	0	CircleLockEnemyR5H6HC	1	1	0.3	0	1						3831					
10387			4		0			1	2	CircleLockEnemyR5H6HC	1	1	0.3	0	1						3832					
10388			12		0	8	40	1	5	CircleLockEnemyR8H6HC	1	1	0.3	0	1						3839					
10391	Avatar_Diona_PressShoot	1	0		0			1	0	CircleLockEnemyR15H10HC	1	1	0.3	0	1						3931					
10392			6		0			1	2	CircleLockEnemyR15H10HC	1	1	0.3	0	1	2	1				3932					
10393	Avatar_Diona_AimPressShoot	1	0		0			1	0	CircleLockEnemyR15H10HC	1	1	0.3	0	1						0					
10394		1	0		0			1	1	CircleLockEnemyR15H10HC	1	1	0.3	0	1						0					
10395		1	20		0	5	80	1	5	CircleLockEnemyR15H10HC	1	1	0.3	0	1						3939					
10401	Avatar_Beidou_ExtraAttack_Chongyun		0		0			1	0	CircleLockEnemyR5H6HC	1	1	0.3	0	1						3631					
10402	Avatar_Razor_ClawMark_Click		15		0			1	2	CircleLockEnemyR8H6HC	1	1	0.3	0	1						3632					
10403	Diluc_FireCross		12		0	5	40	1	5	CircleLockEnemyR15H10HC	1	1	0.3	0	1						3639					
10411	Avatar_Mona_ExtraAttack		0		0			1	0	CircleLockEnemyR15H10HC	1	1	0.3	0	1						4131					
10412			12		0			1	2	CircleLockEnemyR15H10HC	1	1	0.3	0	1						4132					
10413			0		1			1	3	CircleLockEnemyR5H6HC	1	1	0.3	0		1	1				4133			1		
10415			15		0	2	60	1	5	CircleLockEnemyR15H10HC	1	1	0.3	0	1						4139					
10421	Avatar_Keqing_ExtraAttack		0		0			1	0	CircleLockEnemyR5H6HC	1	1	0.3	0	1						4231					
10422			7.5		0			1	2	CircleLockEnemyR15H10HC	1	1	0.3	0	1						4232					
10423			0		0			1	3	CircleLockEnemyR15H10HC	1	1	0.3	0	1						0					
10425			12		0	4	40	1	5	CircleLockEnemyR5H6HC	1	1	0.3	0	1						4239					
10431	Avatar_Sucrose_ExtraAttack		0		0			1	0	CircleLockEnemyR15H10HC	1	1	0.3	0	1						4331					
10432			15		0			1	2	CircleLockEnemyR15H10HC	1	1	0.3	0	1						4332					
10433			1		5			1	12	CircleLockEnemy	1	1	0.3	0	1											
10434			0		0			1	0	CircleLockEnemy	1	1	0.3	0	1											
10435			20		0	7	80	1	5	CircleLockEnemyR15H10HC	1	1	0.3	0	1						4339					
10441	Avatar_Xinyan_ExtraAttack		0		0			1	0	CircleLockEnemyR5H6HC	1	1	0.3	0	1						4431					
10442			18		0			1	2	CircleLockEnemyR10H6HC	1	1	0.3	0	1						4432					
10443			15		0	1	60	1	5	CircleLockEnemyR8H6HC	1	1	0.3	0	1						4439					
10451	Avatar_Rosaria_ExtraAttack		0		0			1	0	CircleLockEnemyR5H6HC	1	1	0.3	0	1						4531					
10452			6		0			1	2	CircleLockEnemyR15H10HC	1	1	0.3	0	1						4532					
10453			15		0	5	60	1	5	CircleLockEnemyR8H6HC	1	1	0.3	0	1						4539					
10461	Avatar_Hutao_ExtraAttack		0		0			1	0	CircleLockEnemyR5H6HC	1	1	0.3	0	1						4631					
10462			16		0			1	2	CircleLockEnemyR5H6HC	1	1	0.3	0	1						4632					
10463			15		0	1	60	1	5	CircleLockEnemyR5H6HC	1	1	0.3	0	1						4639					
10464	Avatar_Hutao_Constellation_Limbo_Trigger		60	1	0			1	0	CircleLockEnemyR5H6HC	1	1	0.3	0	1						0					1
10471	Avatar_Kazuha_ExtraAttack		0		0			1	0	CircleLockEnemyR5H6HC	1	1	0.3	0	1						4731					
10472			6		0			1	2	CircleLockEnemyR8H6HC	1	1	0.3	0	1						4732					
10473			6		0			1	3	CircleLockEnemyR8H6HC	1	1	0.3	0	1						0				2	
10474			0		0			1	4	CircleLockEnemyR5H10HC	1	1	0.3	0	1						0					
10475			15		0	7	60	1	5	CircleLockEnemyR15H10HC	1	1	0.3	0	1						4739					
10481	Avatar_Feiyan_ExtraAttack		0		0			1	0	CircleLockEnemyR15H10HC	1	1	0.3	0	1						4831					
10482			9		0			1	2	CircleLockEnemyR15H10HC	1	1	0.3	0	1						4832					
10485			20		0	1	80	1	5	CircleLockEnemyR5H6HC	1	1	0.3	0	1						4839					
10491			0		0			1	0	CircleLockEnemyR15H10HC	1	1	0.3	0	1											
10492			12		0			1	2	CircleLockEnemyR15H10HC	1	1	0.3	0	1											
10494		1	0		0			1	1	CircleLockEnemyR15H10HC	1	1	0.3	0	1						0					
10495			20		0	1	60	1	5	CircleLockEnemyR5H6HC	1	1	0.3	0	1											
10501			0		0			1	0	CircleLockEnemyR15H10HC	1	1	0.3	0	1						0					
10502			12		0			1	2	CircleLockEnemyR15H10HC	1	1	0.3	0	1						0					
10505			15		0	1	60	1	5	CircleLockEnemyR5H6HC	1	1	0.3	0	1						0					
10511	Avatar_Eula_ExtraAttack		0		0			1	0	CircleLockEnemyR5H6HC	1	1	0.3	0	1						5131					
10512			4		0			1	2	CircleLockEnemyR8H6HC	1	1	0.3	0	1						5132					
10515			20		0	5	80	1	5	CircleLockEnemyR15H10HC	1	1	0.3	0	1						5139					
10531			0		0			1	0	CircleLockEnemyR5H6HC	1	1	0.3	0	1						0					
10532			6		0			1	2	CircleLockEnemyR8H6HC	1	1	0.3	0	1						0					
10533			0		0			1	3	CircleLockEnemyR8H6HC	1	1	0.3	0	1						0					
10534			0		0			1	4	CircleLockEnemyR8H6HC	1	1	0.3	0	1						0					
10535			15		0	7	40	1	5	CircleLockEnemyR15H10HC	1	1	0.3	0	1						0					
10602			13.5		0			1	22	CircleLockEnemyR15H10HC	1	1	0.3	0	1											
10605			20		0	4	80	1	25	CircleLockEnemyR8H6HC	1	1	0.3	0	1											
20001	Dvalin_S01_AirGun		0		999999			1	0	CircleLockEnemyR10	1	1	0.3	0	1	2	1				0					
20002	Dvalin_S01_AirGun		0		0			1	0	CircleLockEnemyR10	1	1	0.3	0	1	2	1				0					
20011	Avatar_Player_GlidingChallenge_AirDash_Forward		10	1	0			1	0	CircleLockEnemyR10	1	1	0.3	0	1						0	AVATAR_GLIDING_ENERGY	50			
20012	Avatar_Player_GlidingChallenge_AirDash_Upward		10	1	0			1	0	CircleLockEnemyR10	1	1	0.3	0	1						0					
20020	ActivityAbility_Endora_Bubble_AimPress		1	1	0			1	0	CircleLockEnemyR10	1	1	0.3	0	1						0					
20021	ActivityAbility_LudiHarpastum_Serve		1.5	1	0			1	0	CircleLockEnemyR10	1	1	0.3	0	1											
20022	ActivityAbility_LudiHarpastum_Hit		0.3	1	0			1	0	CircleLockEnemyR10	1	1	0.3	0	1											
20023	ActivityAbility_LudiHarpastum_Bomb_AimPress		18	1	0			1	0	CircleLockEnemyR10	1	1	0.3	0	1											
20024	ActivityAbility_LudiHarpastum_Bomb_AimPress		15	1	0			1	0	CircleLockEnemyR10	1	1	0.3	0	1											
20025	ActivityAbility_LudiHarpastum_Bomb_AimPress		10	1	0			1	0	CircleLockEnemyR10	1	1	0.3	0	1											
20026	ActivityAbility_LudiHarpastum_Bomb_Forbid		18	1	0			1	0	CircleLockEnemyR10	1	1	0.3	0	1											
20027	ActivityAbility_LudiHarpastum_Bomb_Forbid		15	1	0			1	0	CircleLockEnemyR10	1	1	0.3	0	1											
20028	ActivityAbility_LudiHarpastum_Bomb_Forbid		10	1	0			1	0	CircleLockEnemyR10	1	1	0.3	0	1											
20029	ActivityAbility_LudiHarpastum_Hit_02		0.3	1	0			1	0	CircleLockEnemyR10	1	1	0.3	0	1											
20100	ActivityAbility_HideSeek_Seeker_Execution		5	1	0			3	0	CircleLockEnemyR10	1	1	0.3	0	1											
20101	ActivityAbility_HideSeek_Seeker_Execution		5	1	0			3	0	CircleLockEnemyR10	1	1	0.3	0	1											
20110	ActivityAbility_HideSeek_Seeker_Guide		30	1	0			1	0	CircleLockEnemyR10	1	1	0.3	0	1											
20111	ActivityAbility_HideSeek_Seeker_BreakDisguise		6	1	0			3	0	CircleLockEnemyR10	1	1	0.3	0	1											
20120	ActivityAbility_HideSeek_Seeker_Positioning		60	1	0			1	0	CircleLockEnemyR10	1	1	0.3	0	1							AVATAR_SEEKANDHIDE_ENERGY	50			
20121	ActivityAbility_HideSeek_Seeker_FindAll		20	1	0			1	0	CircleLockEnemyR10	1	1	0.3	0	1							AVATAR_SEEKANDHIDE_ENERGY	50			
20122	ActivityAbility_HideSeek_Seeker_SuperLockon		40	1	0			1	0	CircleLockEnemyR10	1	1	0.3	0	1							AVATAR_SEEKANDHIDE_ENERGY	50			
20200	ActivityAbility_HideSeek_Hider_DisguiseHandler		0.5	1	0			1	0	CircleLockEnemyR10	1	1	0.3	0	1											
20201			15	1	0			1	0	CircleLockEnemyR10	1	1	0.3	0	1											
20210	ActivityAbility_HideSeek_Hider_Invisibility		30	1	0			1	0	CircleLockEnemyR10	1	1	0.3	0	1											
20212			30	1	0			1	0	CircleLockEnemyR10	1	1	0.3	0	1											
20211	ActivityAbility_HideSeek_Hider_Bait		20	1	0			2	0	CircleLockEnemyR10	1	1	0.3	0	1											
20213			20	1	0			2	0	CircleLockEnemyR10	1	1	0.3	0	1											
20220	ActivityAbility_HideSeek_Hider_SpeedUp		10	1	0			1	0	CircleLockEnemyR10	1	1	0.3	0	1							AVATAR_SEEKANDHIDE_ENERGY	50			
10384			10	1	0			1	16	CircleLockEnemyR10	1	1	0.3	0	1	2	1				0					
100540	Avatar_PlayerBoy_ExtraAttack_Common		0		0			1	0	CircleLockEnemyR5H6HC	1	1	0.3	0	1						730					
100541			0		0			1	0	CircleLockEnemyR5H6HC	1	1	0.3	0	1						730					
100542			0		0			1	0	CircleLockEnemyR5H6HC	1	1	0.3	0	1						730					
100543	Avatar_PlayerBoy_ExtraAttack_Wind		0		0			1	0	CircleLockEnemyR5H6HC	1	1	0.3	0	1						730					
100544			0		0			1	0	CircleLockEnemyR5H6HC	1	1	0.3	0	1						730					
100545	Avatar_PlayerBoy_ExtraAttack_Rock		0		0			1	0	CircleLockEnemyR5H6HC	1	1	0.3	0	1						730					
100546	Avatar_PlayerBoy_ExtraAttack_Electric		0		0			1	0	CircleLockEnemyR5H6HC	1	1	0.3	0	1						730					
100547			0		0			1	0	CircleLockEnemyR5H6HC	1	1	0.3	0	1						730					
100550	Avatar_PlayerGirl_ExtraAttack_Common		0		0			1	0	CircleLockEnemyR5H6HC	1	1	0.3	0	1						731					
