ID	类型	动态难度	序列编号	玩法类型	场景ID	脚本定时事件间隔	联机类型	显示等级	是否限制角色等级	限制等级	等级修正	前置副本	需求角色	通关条件	通关跳转地城	复活间隔时间	复活次数上限	每天准入次数	[进入消耗]1ID	[进入消耗]1数量	首通奖励RewardID	结算倒计时	失败后退出等待时间	主动退出倒计时	结算显示1	结算显示2	结算显示3	结算显示4	禁止重新挑战	开启神像消耗道具	消耗数量	神像奖励	挑战因子组合	地城状态
111	7		1004		20106		2	70	0	40	69			161			0	0			0	999	30	30						0	0	0	1386:100	1
112	7		1004		20106		2	80	0	45	79			161			0	0			0	999	30	30						0	0	0	1386:100	1
113	7		1004		20106		2	90	0	50	89			161			0	0			0	999	30	30						0	0	0	1386:100	1
114	7		1004		20108		2	60	0	35	59			162			0	0			0	999	30	30						0	0	0	1386:100	1
115	7		1004		20108		2	70	0	40	69			162			0	0			0	999	30	30						0	0	0	1386:100	1
116	7		1004		20108		2	80	0	45	79			162			0	0			0	999	30	30						0	0	0	1386:100	1
117	7		1004		20108		2	90	0	50	89			162			0	0			0	999	30	30						0	0	0	1386:100	1
118	7		1004		20109		2	60	0	35	59			163			0	0			0	999	30	30						0	0	0	1386:100	1
119	7		1004		20109		2	70	0	40	69			163			0	0			0	999	30	30						0	0	0	1386:100	1
120	7		1004		20109		2	80	0	45	79			163			0	0			0	999	30	30						0	0	0	1386:100	1
121	7		1004		20109		2	90	0	50	89			163			0	0			0	999	30	30						0	0	0	1386:100	1
122	7		1004		20110		2	60	0	35	59			164			0	0			0	999	30	30						0	0	0	1386:100	1
123	7		1004		20110		2	70	0	40	69			164			0	0			0	999	30	30						0	0	0	1386:100	1
124	7		1004		20110		2	80	0	45	79			164			0	0			0	999	30	30						0	0	0	1386:100	1
125	7		1004		20110		2	90	0	50	89			164			0	0			0	999	30	30						0	0	0	1386:100	1
1000	2				20000		1	9	0	1	8			9			10	10			0	120	30	3						0	0	0		2
1001	1				20009		1	4	0	1	3			7			10	1			0	999	30	3						0	0	0		1
1002	1	1			20010		1	19	0	1	18			15			10	10			0	999	30	3						0	0	0		1
1003	1				20011		1	5	0	1	4			9			10	1			225001	999	30	3						0	0	0		1
1004	1	1			20012		1	16	0	1	15			16			5	10			0	60	30	3	1	3				0	0	0		2
1005	1	1			20013		1	10	0	1	9			12			0	10			0	60	30	3						0	0	0		2
1006	1	1			20014		1	10	0	1	9			11			0	10			0	60	30	3						0	0	0		2
1007	2				20015		1	7	1	1	6			9			10	10			0	120	30	3	1					0	0	0		2
1008	1	1			20022		1	30	0	1	29			34			10	10			230013	999	30	3	1					0	0	0		1
1009	1	1			20023		1	17	0	1	16			40			10	10			0	999	30	3	1				1	0	0	0		1
1010	1	1			20005		1	16	0	1	15			54			10	10			230015	999	30	3	1					0	0	0		1
1011	1	1			20032		1	28		1	27			76			10	10			230014	999	30	3					1	0	0	0		1
1012	1	1			20102		1	35		1	34			79			10	99			230030	999	30	3					1	0	0	0		1
1101	2				50008		1	9	1	1	8			9			10	10			0	120	30	3						0	0	0		2
1102	1	1			1032		1	26	0	1	25			88			10	99			230050	999	30	3					1	0	0	0		1
1103	1	1			1052		1	26		1	25			77			10	10			0	999	30	3						0	0	0		1
1104	1	1			1053		1	35		1	34			78			10	10			0	999	30	3						0	0	0		2
1105	1	1			1054		1	35		1	34			68			10	10			0	999	30	3						0	0	0		2
1106	1	1			1055		1	35		1	34			81			10	10			230031	999	30	3					1	0	0	0		1
1107	1	1			1056		1	35		1	34			83			10	10			230032	999	30	3					1	0	0	0		1
1108	1	1			1058		1	35		1	34			80			10	10			0	120	30	3						0	0	0		1
1109	1	1			1032		1	35	0	1	34			67			10	99			0	999	30	3						0	0	0		2
1110	1	1			1059		1	35	0	1	34			97			10	99			230051	999	30	3					1	0	0	0		1
1111	1	1			20035		1	35	0	1	34			153			0	99			0	10	10	3					1	0	0	0		1
1112	1	1			20036		1	35	0	1	34			154			0	99			0	10	10	3					1	0	0	0		1
1113	1	1			20103		1	28		1	27			96			10	99			230500	999	30	3					1	0	0	0		1
1114	1	1			20104		1	28		1	27			98			10	99			0	999	30	3					1	0	0	0		1
1115	1	1			20105		1	28		1	27			107			10	99			230501	999	30	3					1	0	0	0		1
1116	1	1			20037		1	30		1	29			148			10	99			230052	999	30	3					1	0	0	0		1
2000	1	1			20016		1	10	0	1	9			21			10	10			230008	999	30	3	1				1	0	0	0		1
2001	1				20017		1	26	0	1	25			1	2002		0	0			0	5	30	3					1	0	0	0		1
2002	1				20018		1	26	0	1	25			26			0	0			0	99	30	3				4		0	0	0		1
2003	1	1			20019		1	23	0	1	22			25			10	10			230011	999	30	3						0	0	0		1
2004	1				20020		1	10	0	1	9			27			0	0			0	999	30	3					1	0	0	0		1
2006	1	1			1016		1	15	0	1	14			37			10	10			230009	999	30	3						0	0	0		1
2007	1	1			1015		1	15	0	1	3			35	2006		10	10			0	5	30	3						0	0	0		1
2008	1				1024		1	35	0	1	34			36			10	10			230018	999	30	30						0	0	0		1
2009	2				50016		1	10	1	1	9			29			5	100			0	60	30	3	1	3				0	0	0		2
2010	1				1024		1	45	0	1	44			36			10	10			0	120	30	30						0	0	0		2
2011	1				1024		1	60	0	1	59			36			10	10			0	120	30	30						0	0	0		2
2012	1				20026		1	60	0	1	59			36			10	10			230019	999	30	30						0	0	0		1
2013	1				1024		1	80	0	1	79			36			10	10			0	120	30	30						0	0	0		2
2014	1				20027		1	80	0	1	79			36			10	10			230020	999	30	30						0	0	0		1
2015	1				1024		1	90	0	1	89			36			10	10			0	120	30	30						0	0	0		2
2016	1				20028		1	90	0	1	89			36			10	10			230021	999	30	30						0	0	0		1
2020	7		1001		20025		1	40	31	25	39			63			0	0			0	999	30	30						0	0	0		1
2021	7		1001		20025		1	50	41	30	49			63			0	0			0	999	30	30						0	0	0		1
2022	7		1001		20025		1	60	51	35	59			63			0	0			0	999	30	30						0	0	0		1
2023	7		1001		20025		1	70	61	40	69			63			0	0			0	999	30	30						0	0	0		1
2024	7		1001		20025		1	80	71	45	79			63			0	0			0	999	30	30						0	0	0		1
2025	7		1001		20025		1	90	81	50	89			63			0	0			0	999	30	30						0	0	0		1
2099	2				50015		1	10	1	1	9			25			10				0	999	30	3						0	0	0		2
2100	2				50028		1	1	1	1	0			75			10	99			0	120	30	3						0	0	0		2
2101	2	1			50041		1	36	1	1	35			75			10	99			0	120	30	3						0	0	0		2
2102	2				50042		2	1	1	1	0			75			10	99			0	120	30	3						0	0	0		2
2103	2				50045		2	1	1	1	0			75			10	99			0	120	30	3						0	0	0		2
2104	2				50046		1	35	26	1	34			29			10	99			0	999	30	3						0	0	0	1364:100	2
2105	2				50047		2	1	1	1	0			75			10	99			0	120	30	3						0	0	0		2
2106	2				50048		2	1	1	1	0			75			10	99			0	120	30	3						0	0	0		2
2107	2				50049		2	1	1	1	0			75			10	99			0	120	30	3						0	0	0		2
2108	2				50052		2	1	1	1	0			75			10	99			0	120	30	3						0	0	0		2
2109	2				50054		2	1	1	1	0			75			10	99			0	120	30	3						0	0	0		2
3001	2			1	30001	1	1	10	1	1	9			13			10	10			0	120	30	3	3	1				0	0	0		2
3004	2				40007		1	35	26	21	34			20			10	3			230003	999	30	30	3	1				0	0	0		1
3005	2				50020		1	15	1	1	14			29			5	100			0	60	30	3	1	3				0	0	0		2
3006	2				50007		1	15	6	1	14			29			5	100			0	60	30	3	1	3				0	0	0		2
3007	2				50011		1	10	1	1	9			29			5	100			0	60	30	3	1	3				0	0	0		2
3008	2				50012		1	10	1	1	9			29			5	100			0	60	30	3	1	3				0	0	0		2
3009	2				50013		1	10	1	1	9			29			5	100			0	60	30	3	1	3				0	0	0		2
3010	2				40021		2	35		1	34			29			10	99			0	999	30	3						0	0	0	1370:100	2
3100	6				30100		1	25	0	1	24			51			10				0	999	30	3						0	0	0		
3101	6				30101		1	25	0	1	24			51			10				0	999	30	3						0	0	0		
3102	6				30102		1	25	0	1	24			51			10				0	999	30	3						0	0	0		
3103	6				30103		1	25	0	1	24			51			10				0	999	30	3						0	0	0		
3104	6				30104		1	25	0	1	24			51			10				0	999	30	3						0	0	0		
3110	6				30200		1	27	0	1	26			51			10				0	999	30	3						0	0	0		
3111	6				30201		1	29	0	1	28			51			10				0	999	30	3						0	0	0		
3112	6				30202		1	32	0	1	31			51			10				0	999	30	3						0	0	0		
3113	6				30203		1	35	0	1	34			51			10				0	999	30	3						0	0	0		
3114	6				30204		1	37	0	1	36			51			10				0	999	30	3						0	0	0		
3120	6				30300		1	35	0	1	34			51			10				0	999	30	3						0	0	0		
3121	6				30301		1	35	0	1	34			51			10				0	999	30	3						0	0	0		
3122	6				30302		1	35	0	1	34			51			10				0	999	30	3						0	0	0		
3123	6				30303		1	35	0	1	34			51			10				0	999	30	3						0	0	0		
3124	6				30304		1	35	0	1	34			51			10				0	999	30	3						0	0	0		
3130	6				30400		1	45	0	1	44			51			10				0	999	30	3						0	0	0		
3131	6				30401		1	45	0	1	44			51			10				0	999	30	3						0	0	0		
3132	6				30402		1	45	0	1	44			51			10				0	999	30	3						0	0	0		
3133	6				30403		1	45	0	1	44			51			10				0	999	30	3						0	0	0		
3134	6				30404		1	45	0	1	44			51			10				0	999	30	3						0	0	0		
3140	6				30500		1	55	0	1	54			51			10				0	999	30	3						0	0	0		
3141	6				30501		1	55	0	1	54			51			10				0	999	30	3						0	0	0		
3142	6				30502		1	55	0	1	54			51			10				0	999	30	3						0	0	0		
3143	6				30503		1	55	0	1	54			51			10				0	999	30	3						0	0	0		
3144	6				30504		1	55	0	1	54			51			10				0	999	30	3						0	0	0		
3150	6				30600		1	65	0	1	64			51			10				0	999	30	3						0	0	0		
3151	6				30601		1	65	0	1	64			51			10				0	999	30	3						0	0	0		
3152	6				30602		1	65	0	1	64			51			10				0	999	30	3						0	0	0		
3153	6				30603		1	65	0	1	64			51			10				0	999	30	3						0	0	0		
3154	6				30604		1	65	0	1	64			51			10				0	999	30	3						0	0	0		
3160	6				30700		1	61	0	1	60			50			10				0	999	30	3						0	0	0		
3161	6				30701		1	62	0	1	61			50			10				0	999	30	3						0	0	0		
3162	6				30702		1	64	0	1	63			50			10				0	999	30	3						0	0	0		
3163	6				30703		1	66	0	1	65			50			10				0	999	30	3						0	0	0		
3164	6				30704		1	68	0	1	67			50			10				0	999	30	3						0	0	0		
3170	6				30800		1	90	0	1	89			50			10				0	999	30	3						0	0	0		
3171	6				30801		1	90	0	1	89			50			10				0	999	30	3						0	0	0		
3172	6				30802		1	90	0	1	89			50			10				0	999	30	3						0	0	0		
3173	6				30803		1	90	0	1	89			50			10				0	999	30	3						0	0	0		
3174	6				30804		1	90	0	1	89			50			10				0	999	30	3						0	0	0		
3180	6				30900		1	79	0	1	78			50			10				0	999	30	3						0	0	0		
3181	6				30901		1	79	0	1	78			50			10				0	999	30	3						0	0	0		
3182	6				30902		1	79	0	1	78			50			10				0	999	30	3						0	0	0		
3183	6				30903		1	79	0	1	78			50			10				0	999	30	3						0	0	0		
3184	6				30904		1	79	0	1	78			50			10				0	999	30	3						0	0	0		
3190	6				31000		1	76	0	1	75			50			10				0	999	30	3						0	0	0		
3191	6				31001		1	78	0	1	77			50			10				0	999	30	3						0	0	0		
3192	6				31002		1	81	0	1	80			50			10				0	999	30	3						0	0	0		
3193	6				31003		1	84	0	1	83			50			10				0	999	30	3						0	0	0		
3194	6				31004		1	86	0	1	85			50			10				0	999	30	3						0	0	0		
3200	6				31100		1	84	0	1	83			50			10				0	999	30	3						0	0	0		
3201	6				31101		1	86	0	1	85			50			10				0	999	30	3						0	0	0		
3202	6				31102		1	89	0	1	88			50			10				0	999	30	3						0	0	0		
3203	6				31103		1	90	0	1	89			50			10				0	999	30	3						0	0	0		
3204	6				31104		1	90	0	1	89			50			10				0	999	30	3						0	0	0		
3210	6				31200		1	73	0	1	72			50			10				0	999	30	3						0	0	0		
3211	6				31201		1	73	0	1	72			50			10				0	999	30	3						0	0	0		
3212	6				31202		1	73	0	1	72			50			10				0	999	30	3						0	0	0		
3213	6				31203		1	73	0	1	72			50			10				0	999	30	3						0	0	0		
3214	6				31204		1	73	0	1	72			50			10				0	999	30	3						0	0	0		
3220	6				31300		1	85	0	1	84			50			10				0	999	30	3						0	0	0		
3221	6				31301		1	85	0	1	84			50			10				0	999	30	3						0	0	0		
3222	6				31302		1	85	0	1	84			50			10				0	999	30	3						0	0	0		
3223	6				31303		1	85	0	1	84			50			10				0	999	30	3						0	0	0		
3224	6				31304		1	85	0	1	84			50			10				0	999	30	3						0	0	0		
3230	6				31400		1	90	0	1	89			50			10				0	999	30	3						0	0	0		
3231	6				31401		1	90	0	1	89			50			10				0	999	30	3						0	0	0		
3232	6				31402		1	90	0	1	89			50			10				0	999	30	3						0	0	0		
3233	6				31403		1	90	0	1	89			50			10				0	999	30	3						0	0	0		
3234	6				31404		1	90	0	1	89			50			10				0	999	30	3						0	0	0		
3240	6				31500		1	90	0	1	89			50			10				0	999	30	3						0	0	0		
3241	6				31501		1	90	0	1	89			50			10				0	999	30	3						0	0	0		
3242	6				31502		1	90	0	1	89			50			10				0	999	30	3						0	0	0		
3243	6				31503		1	90	0	1	89			50			10				0	999	30	3						0	0	0		
3244	6				31504		1	90	0	1	89			50			10				0	999	30	3						0	0	0		
3250	6				31600		1	90	0	1	89			50			10				0	999	30	3						0	0	0		
3251	6				31601		1	90	0	1	89			50			10				0	999	30	3						0	0	0		
3252	6				31602		1	90	0	1	89			50			10				0	999	30	3						0	0	0		
3253	6				31603		1	90	0	1	89			50			10				0	999	30	3						0	0	0		
3254	6				31604		1	90	0	1	89			50			10				0	999	30	3						0	0	0		
3260	6				31700		1	90	0	1	89			50			10				0	999	30	3						0	0	0		
3261	6				31701		1	90	0	1	89			50			10				0	999	30	3						0	0	0		
3262	6				31702		1	90	0	1	89			50			10				0	999	30	3						0	0	0		
3263	6				31703		1	90	0	1	89			50			10				0	999	30	3						0	0	0		
3264	6				31704		1	90	0	1	89			50			10				0	999	30	3						0	0	0		
3270	6				31800		1	90	0	1	89			50			10				0	999	30	3						0	0	0		
3271	6				31801		1	90	0	1	89			50			10				0	999	30	3						0	0	0		
3272	6				31802		1	90	0	1	89			50			10				0	999	30	3						0	0	0		
3273	6				31803		1	90	0	1	89			50			10				0	999	30	3						0	0	0		
3274	6				31804		1	90	0	1	89			50			10				0	999	30	3						0	0	0		
3280	6				31900		1	90	0	1	89			50			10				0	999	30	3						0	0	0		
3281	6				31901		1	90	0	1	89			50			10				0	999	30	3						0	0	0		
3282	6				31902		1	90	0	1	89			50			10				0	999	30	3						0	0	0		
3283	6				31903		1	90	0	1	89			50			10				0	999	30	3						0	0	0		
3284	6				31904		1	90	0	1	89			50			10				0	999	30	3						0	0	0		
3290	6				32000		1	90	0	1	89			50			10				0	999	30	3						0	0	0		
3291	6				32001		1	90	0	1	89			50			10				0	999	30	3						0	0	0		
3292	6				32002		1	90	0	1	89			50			10				0	999	30	3						0	0	0		
3293	6				32003		1	90	0	1	89			50			10				0	999	30	3						0	0	0		
3294	6				32004		1	90	0	1	89			50			10				0	999	30	3						0	0	0		
3300	6				32100		1	90	0	1	89			50			10				0	999	30	3						0	0	0		
3301	6				32101		1	90	0	1	89			50			10				0	999	30	3						0	0	0		
3302	6				32102		1	90	0	1	89			50			10				0	999	30	3						0	0	0		
3303	6				32103		1	90	0	1	89			50			10				0	999	30	3						0	0	0		
3304	6				32104		1	90	0	1	89			50			10				0	999	30	3						0	0	0		
3305	6				32200		1	90	0	1	89			50			10				0	999	30	3						0	0	0		
3306	6				32201		1	90	0	1	89			50			10				0	999	30	3						0	0	0		
3307	6				32202		1	90	0	1	89			50			10				0	999	30	3						0	0	0		
3308	6				32203		1	90	0	1	89			50			10				0	999	30	3						0	0	0		
3314	6				32204		1	90	0	1	89			50			10				0	999	30	3						0	0	0		
3310	6				33100		1	24	0	1	23			51			10				0	999	30	3						0	0	0		1
3311	6				33101		1	39	0	1	38			51			10				0	999	30	3						0	0	0		1
3312	6				33102		1	44	0	1	43			51			10				0	999	30	3						0	0	0		1
3313	6				33103		1	49	0	1	48			51			10				0	999	30	3						0	0	0		1
3410	6				34100		1	24	0	1	23			51			10				0	999	30	3						0	0	0		1
3411	6				34101		1	39	0	1	38			51			10				0	999	30	3						0	0	0		1
3412	6				34102		1	44	0	1	43			51			10				0	999	30	3						0	0	0		1
3413	6				34103		1	49	0	1	48			51			10				0	999	30	3						0	0	0		1
3510	6				35100		1	24	0	1	23			51			10				0	999	30	3						0	0	0		1
3511	6				35101		1	39	0	1	38			51			10				0	999	30	3						0	0	0		1
3512	6				35102		1	44	0	1	43			51			10				0	999	30	3						0	0	0		1
3513	6				35103		1	49	0	1	48			51			10				0	999	30	3						0	0	0		1
3341	6				33401		1	54	0	1	53			50			10				0	999	30	3						0	0	0		1
3342	6				33402		1	59	0	1	58			50			10				0	999	30	3						0	0	0		1
3343	6				33403		1	64	0	1	63			50			10				0	999	30	3						0	0	0		1
3344	6				33404		1	69	0	1	68			50			10				0	999	30	3						0	0	0		1
3441	6				34401		1	54	0	1	53			50			10				0	999	30	3						0	0	0		1
3442	6				34402		1	59	0	1	58			50			10				0	999	30	3						0	0	0		1
3443	6				34403		1	64	0	1	63			50			10				0	999	30	3						0	0	0		1
3444	6				34404		1	69	0	1	68			50			10				0	999	30	3						0	0	0		1
3541	6				35401		1	54	0	1	53			50			10				0	999	30	3						0	0	0		1
3542	6				35402		1	59	0	1	58			50			10				0	999	30	3						0	0	0		1
3543	6				35403		1	64	0	1	63			50			10				0	999	30	3						0	0	0		1
3544	6				35404		1	69	0	1	68			50			10				0	999	30	3						0	0	0		1
3370	6				33700		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1
3371	6				33701		1	71	0	1	70			50			10				0	999	30	3						0	0	0		1
3372	6				33702		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1
3373	6				33703		1	87	0	1	86			50			10				0	999	30	3						0	0	0		1
3374	6				33704		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1
3375	6				33705		1	79	0	1	78			50			10				0	999	30	3						0	0	0		1
3376	6				33706		1	71	0	1	70			50			10				0	999	30	3						0	0	0		1
3377	6				33707		1	79	0	1	78			50			10				0	999	30	3						0	0	0		1
3378	6				33708		1	87	0	1	86			50			10				0	999	30	3						0	0	0		1
3379	6				33709		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1
3380	6				33710		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1
3381	6				33711		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1
3382	6				33712		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1
3383	6				33713		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1
3384	6				33714		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1
3385	6				33715		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1
3386	6				33716		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1
3470	6				34700		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1
3471	6				34701		1	73	0	1	72			50			10				0	999	30	3						0	0	0		1
3472	6				34702		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1
3473	6				34703		1	89	0	1	88			50			10				0	999	30	3						0	0	0		1
3474	6				34704		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1
3475	6				34705		1	81	0	1	80			50			10				0	999	30	3						0	0	0		1
3476	6				34706		1	73	0	1	72			50			10				0	999	30	3						0	0	0		1
3477	6				34707		1	81	0	1	80			50			10				0	999	30	3						0	0	0		1
3478	6				34708		1	89	0	1	88			50			10				0	999	30	3						0	0	0		1
3479	6				34709		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1
3480	6				34710		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1
3481	6				34711		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1
3482	6				34712		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1
3483	6				34713		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1
3484	6				34714		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1
3485	6				34715		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1
3486	6				34716		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1
3570	6				35700		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1
3571	6				35701		1	75	0	1	74			50			10				0	999	30	3						0	0	0		1
3572	6				35702		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1
3573	6				35703		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1
3574	6				35704		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1
3575	6				35705		1	84	0	1	83			50			10				0	999	30	3						0	0	0		1
3576	6				35706		1	75	0	1	74			50			10				0	999	30	3						0	0	0		1
3577	6				35707		1	84	0	1	83			50			10				0	999	30	3						0	0	0		1
3578	6				35708		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1
3579	6				35709		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1
3580	6				35710		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1
3581	6				35711		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1
3582	6				35712		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1
3583	6				35713		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1
3584	6				35714		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1
3585	6				35715		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1
3586	6				35716		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1
4001	5				40001		1	8	1	1	7			14			5	3			0	60	30	3	1	3				0	0	0		2
4003	2				20010		1	12	3	1	11			15			5	3			0	60	30	3	1	3				0	0	0		2
4005	2				20014		1	21	12	1	20			11			5	3			0	60	30	3	1	3				0	0	0		2
4007	2				40008		1	25	16	15	24			65			5	3			230001	999	30	30	1	3				0	0	0		1
