挂节点类型	ID	区域ID	采集物ID	获得物品ID	额外获得物品ID	挂接位置	刷新CD	刷新优先级	刷新ID	[区块]1ID	[区块]1数量	初始不可交互	禁止客机交互
9035	1004035		71700051	100240		1	1	10	0	1004	1		1
9036	1004036		71700052	100241		1	1	10	0	1004	1		1
9037	1004037		71700054	100388		1	1	10	0	1004	1		1
9038	1004038		71700055	100389		1	1	10	0	1004	1		1
9039	1004039		71700056	100390		1	1	10	0	1004	1		1
9040	1004040		71700057	100391		1	1	10	0	1004	1		1
9041	1004041		71700058	100399		1	1	10	0	1004	1		1
9042	1004042		71700059	100400		1	1	10	0	1004	1		1
9043	1004043		71700060	100401		1	1	10	0	1004	1		1
9044	1004044		71700061	100402		1	1	10	0	1004	1		1
9045	1004045		71700062	100403		1	1	10	0	1004	1		1
9046	1004046		71700063	100404		1	1	10	0	1004	1		1
9047	1004047		71700064	100405		1	1	10	0	1004	1		1
9048	1004048		71700065	100406		1	1	10	0	1004	1		1
9049	1004049		71700066	100407		1	1	10	0	1004	1		1
9050	1004050		71700067	100408		1	1	10	0	1004	1		1
9051	1004051		71700068	100409		1	1	10	0	1004	1		1
9052	1004052		71700069	100410		1	1	10	0	1004	1		1
9053	1004053		71700070	100411		1	1	10	0	1004	1		1
9054	1004054		71700071	100412		1	1	10	0	1004	1		1
9055	1004055		71700072	100413		1	1	10	0	1004	1		1
9056	1004056		71700074	100426		1	1	10	0	1004	1		1
9057	1004057		71700078	100432		1	1	10	0	1004	1		1
9058	1004058		71700079	100433		1	1	10	0	1004	1		1
9059	1004059		71700080	100434		1	1	10	0	1004	1		1
9060	1004060		71700081	100435		1	1	10	0	1004	1		1
9061	1004061		71700082	100436		1	1	10	0	1004	1		1
9062	1004062		71700084	100437		1	1	10	0	1004	1		1
9063	1004063		71700085	100438		1	1	10	0	1004	1		1
9064	1004064		71700086	100439		1	1	10	0	1004	1		1
9065	1004065		71700087	100440		1	1	10	0	1004	1		1
9066	1004066		71700088	100441		1	1	10	0	1004	1		1
9067	1004067		71700089	100442		1	1	10	0	1004	1		1
9068	1004068		71700090	100443		1	1	10	0	1004	1		1
9069	1004069		71700091	100444		1	1	10	0	1004	1		1
9070	1004070		71700092	100445		1	1	10	0	1004	1		1
9071	1004071		71700110	100480		1	1	10	0	1004	1		1
9072	1004072		71700111	100481		1	1	10	0	1004	1		1
9073	1004073		71700112	100482		1	1	10	0	1004	1		1
9074	1004074		71700113	100483		1	1	10	0	1004	1		1
9075	1004075		71700114	100484		1	1	10	0	1004	1		1
9076	1004076		71700115	100507		1	1	10	0	1004	1		1
9077	1004077		71700116	100508		1	1	10	0	1004	1		1
9078	1004078		71700117	100509		1	1	10	0	1004	1		1
9079	1004079		71700124	100564		1	1	10	0	1004	1		1
9080	1004080		71700125	100565		1	1	10	0	1004	1		1
9081	1004081		71700126	100566		1	1	10	0	1004	1		1
9082	1004082		71700127	100567		1	1	10	0	1004	1		1
9083	1004083		71700128	100568		1	1	10	0	1004	1		1
9084	1004084		71700129	100569		1	1	10	0	1004	1		1
9085	1004085		71700130	100570		1	1	10	0	1004	1		1
9086	1004086		71700131	100571		1	1	10	0	1004	1		1
9087	1004087		71700132	100572		1	1	10	0	1004	1		1
9088	1004088		71700133	100573		1	1	10	0	1004	1		1
9089	1004089		71700134	100574		1	1	10	0	1004	1		1
9090	1004090		71700135	100575		1	1	10	0	1004	1		1
9091	1004091		71700136	100576		1	1	10	0	1004	1		1
9092	1004092		71700137	100577		1	1	10	0	1004	1		1
9093	1004093		71700138	100578		1	1	10	0	1004	1		1
9094	1004094		71700139	100579		1	1	10	0	1004	1		1
9095	1004095		71700140	100580		1	1	10	0	1004	1		1
9096	1004096		70710170	100583		1	1	10	0	1004	1		1
9097	1004097		71700141	100586		1	1	10	0	1004	1		1
9098	1004098		71700142	100587		1	1	10	0	1004	1		1
9099	1004099		71700143	100588		1	1	10	0	1004	1		1
9200	1004100		71700144	100589		1	1	10	0	1004	1		1
9201	1004101		71700145	100590		1	1	10	0	1004	1		1
9202	1004102		71700146	100591		1	1	10	0	1004	1		1
9203	1004103		71700147	100592		1	1	10	0	1004	1		1
9204	1004104		71700148	100593		1	1	10	0	1004	1		1
9205	1004105		71700155	100607		1	1	10	0	1004	1		1
9206	1004106		71700156	100608		1	1	10	0	1004	1		1
9207	1004107		71700157	100609		1	1	10	0	1004	1		1
9208	1004108		71700158	100610		1	1	10	0	1004	1		1
9209	1004109		71700159	100611		1	1	10	0	1004	1		1
9210	1004110		71700160	100612		1	1	10	0	1004	1		1
9211	1004111		71700161	100613		1	1	10	0	1004	1		1
9212	1004112		71700162	100614		1	1	10	0	1004	1		1
9213	1004113		71700163	100615		1	1	10	0	1004	1		1
9214	1004114		71700164	100616		1	1	10	0	1004	1		1
9215	1004115		71700165	100245		1	1	10	0	1004	1		1
9216	1004116		71700166	100624		1	1	10	0	1004	1		1
9217	1004117		71700167	100637		1	1	10	0	1004	1		1
9218	1004118		71700168	100638		1	1	10	0	1004	1		1
9219	1004119		71700169	100639		1	1	10	0	1004	1		1
9220	1004120		71700170	100640		1	1	10	0	1004	1		1
9221	1004121		71700171	100641		1	1	10	0	1004	1		1
9222	1004122		71700172	100642		1	1	10	0	1004	1		1
9223	1004123		71700173	100643		1	1	10	0	1004	1		1
9224	1004124		71700174	100644		1	1	10	0	1004	1		1
9225	1004125		71700175	100645		1	1	10	0	1004	1		1
9226	1004126		71700178	100703		1	1	10	0	1004	1		1
9227	1004127		71700180	100706		1	1	10	0	1004	1		1
9228	1004128		71700181	100711		1	1	10	0	1004	1		1
9229	1004129		71700182	100712		1	1	10	0	1004	1		1
9230	1004130		71700185	100730		1	1	10	0	1004	1		1
9231	1004131		71700186	100731		1	1	10	0	1004	1		1
9232	1004132		71700187	100732		1	1	10	0	1004	1		1
9233	1004133		71700188	100733		1	1	10	0	1004	1		1
9234	1004134		71700189	100734		1	1	10	0	1004	1		1
9235	1004135		71700190	100735		1	1	10	0	1004	1		1
9236	1004136		71700191	100736		1	1	10	0	1004	1		1
9237	1004137		71700203	100783		1	1	10	0	1004	1		1
9238	1004138		71700204	100784		1	1	10	0	1004	1		1
9239	1004139		71700205	100785		1	1	10	0	1004	1		1
9240	1004140		71700206	100786		1	1	10	0	1004	1		1
9241	1004141		71700207	100787		1	1	10	0	1004	1		1
9242	1004142		71700208	100788		1	1	10	0	1004	1		1
9101	3003029		70710008	100306		1	10	10	0	3003	10		1
9102	3003030		70710008	100307		1	10	10	0	3003	10		1
9103	3003031		70710008	100308		1	10	10	0	3003	10		1
9104	3003040		70520017	100064		0	10	10	0	3003	20		1
9105	3003041		70710008	100352		0	10	10	0	3003	20		1
9107	3003042		70710063	100450		0	10	10	0	3003	20		1
9108	3003043		70710064	100451		0	10	10	0	3003	20		1
9109	3003044		70710068	100456		0	1	10	0	3003	1		1
9106	20007009		70710020	100349		0	5	20	0	20007	6		1
9110	3003045		71700098	100468		0	1	10	0	3003	1		1
9111	3003046		70210102	100467		0	1	10	0	3003	1		1
9112	3003047		70710008	100495		0	1	10	0	3003	5		1
9113	3003048		70710008	100512		0	1	10	0	3003	5		1
9114	3003049		70710008	100513		0	1	10	0	3003	5		1
9115	3003050		70710008	100514		0	1	10	0	3003	5		1
9116	3003051		70710008	100524		1	10	10	0	3004	10		1
9117	3003052		70710112	100525		0	10	10	0	3003	10		1
9118	3003053		71700150	100541		0	10	10	0	3103	10		1
9119	3003054		71700151	100549		0	10	10	0	3003	60		1
9120	3003055		71700152	100552		0	10	10	0	3003	80		1
9121	3003056		71700153	100550		0	10	10	0	3003	20		1
9122	3003057		71700154	100551		0	10	10	0	3003	20		1
9123	3003058		71700123	100562		0	1	10	0	3006	1		1
9124	3003059		71700149	100601		0	1	10	0	3006	1		1
9125	3003060		70710196	100623		0	10	10	0	3003	60		1
9126	3003061		70590030	100618		0	10	10	0	3003	60		1
9127	3003062		70950016	109		0	10	10	0	3003	25		1
9128	3003063		70710152	100556		1	1	10	0	3103	1		1
9129	3003064		70520020	100012		0	10	10	0	3003	1		1
9130	3003065		70520023	100016		0	10	10	0	3003	1		1
9131	3003066		70520022	100011		0	10	10	0	3003	1		1
9132	3003067		70520021	100020		0	10	10	0	3003	1		1
9133	3003068		70710297	100744		0	10	10	0	3004	10		1
9134	3003069		70710298	100745		0	10	10	0	3002	10		1
9135	3003070		71700209	100779		0	10	10	0	3004	10	1	1
9136	3003071		71700210	100780		0	10	10	0	3002	10		1
9148	3003083		71700222	100832		0	1	10	0	3220	1		1
9149	3003084		71700223	100833		0	1	10	0	3220	1		1
