对话ID	触发方式	启用模式	[触发条件]组合	[触发条件]1类型	[触发条件]1参数1	[触发条件]1参数2	[触发条件]1参数3	[触发条件]1参数4	[触发条件]1参数5	[触发条件]2类型	[触发条件]2参数1	[触发条件]2参数2	[触发条件]2参数3	[触发条件]2参数4	[触发条件]2参数5	[触发条件]3类型	[触发条件]3参数1	[触发条件]3参数2	[触发条件]3参数3	[触发条件]3参数4	[触发条件]3参数5	[触发条件]4类型	[触发条件]4参数1	[触发条件]4参数2	[触发条件]4参数3	[触发条件]4参数4	[触发条件]4参数5	[触发条件]5类型	[触发条件]5参数1	[触发条件]5参数2	[触发条件]5参数3	[触发条件]5参数4	[触发条件]5参数5	[触发条件]6类型	[触发条件]6参数1	[触发条件]6参数2	[触发条件]6参数3	[触发条件]6参数4	[触发条件]6参数5	优先级	后续对话ID	初始台词ID	演员NpcID	专属父任务ID	额外加载标识ID	[完成执行]1类型	[完成执行]1参数1	[完成执行]1参数2	[完成执行]1参数3	[完成执行]1参数4	[完成执行]1参数5	[完成执行]2类型	[完成执行]2参数1	[完成执行]2参数2	[完成执行]2参数3	[完成执行]2参数4	[完成执行]2参数5	[完成执行]3类型	[完成执行]3参数1	[完成执行]3参数2	[完成执行]3参数3	[完成执行]3参数4	[完成执行]3参数5	[完成执行]4类型	[完成执行]4参数1	[完成执行]4参数2	[完成执行]4参数3	[完成执行]4参数4	[完成执行]4参数5	[完成执行]5类型	[完成执行]5参数1	[完成执行]5参数2	[完成执行]5参数3	[完成执行]5参数4	[完成执行]5参数5
1012108	1	1		1	1012114	2																																		5		101210801	1002,1005,1029,1419	10121																															
1012109	2	1		1	1012120	2																																		5		101210901	1419,1005	10121																															
1012110	2	1	2	1	1012105	2				1	1012106	2																												5		101211001	10388	10121																															
1012111	2	1	1	1	1012107	2				44	10120	1																												5		101211101	1029	10121																															
1012112	2	1	2	1	1012115	2				1	1012116	2				1	1012117	2																						5		101211201	1029	10121																															
1012118	2	1		1	1012106	2																																		5		101211801	10389	10121																															
1012201	1	1		1	1012201	2																																		5		101220101	1005,10386	10122																															
1012202	2	1		1	1012204	2																																		5		101220201	10407	10122																															
1012203	2	1		1	1012205	2																																		5		101220301	10386,1005	10122																															
1012204	2	1		1	1012207	2																																		5		101220401	10390,10386	10122																															
1012205	1	1		1	1012209	2																																		5		101220501	10391,10386,1005	10122																															
1012206	1	1		1	1012212	2																																		5		101220601	10386,1029,1005	10122																															
1012207	2	1		1	1012214	2																																		5		101220701	1029,1005	10122																															
1012208	2	1		1	1012201	2																																		5		101220801	1419	10122																															
1012211	2	1	2	1	1012206	2				1	1012207	2				1	1012208	2																						5		101221101	10392	10122																															
1012212	2	1		1	99902	3																																		5		101221201	10390	10122																															
1012213	2	1	2	1	1012206	2				1	1012207	2				1	1012208	2																						5		101221301	10393	10122																															
1012214	2	1	2	1	1012206	2				1	1012207	2				1	1012208	2																						5		101221401	10400	10122																															
1050001	2	1		1	1050002	2																																		5		105000101	10095	10500																															
1050002	2	1	1	1	1050003	2				1	46622	3																												6		105000201	243001	10500																															
1050003	2	1		1	1050006	2																																		5		105000301	243001	10500																															
1050005	2	1		1	1050004	2																																		5		105000501	243001	10500																															
1050006	2	1		1	1050004	2																																		5		105000601	10095	10500																															
1050007	2	1		1	1050008	2																																		5		105000701	1005	10500																															
1050008	2	1		1	1050003	2																																		5		105000801	243001	10500																															
1050102	2	1		1	1050103	2																																		5		105010201	2202	10501																															
1050103	2	1	1	1	1050105	2				19	1050105																													5		105010301	10095	10501																															
1050104	2	1		1	1050107	2																																		5		105010401	10095	10501																															
1050105	2	1		1	1050109	2																																		5		105010501	10095	10501																															
1050106	2	1	1	1	1050006	3				1	1050101	2																												9		105010601	2430	10501																															
1050201	2	1		1	1050202	2																																		5		105020101	10095	10502																															
1050202	2	1		1	1050204	2																																		5		105020201	10090	10502																															
1050203	2	1		1	1050206	2																																		5		105020301	10090	10502																															
1050204	2	1		1	1050207	2																																		5		105020401	10095	10502																															
1050205		1		1	1050208	2																																		5		105020501	1512	10502																															
1050206	2	1		1	1050211	2																																		5		105020601	10095	10502																															
1050207	2	1		1	1050203	2																																		5		105020701	10095	10502																															
1050301	2	1		1	1050301	2																																		5		105030101	10099																																
1100801	2	1		1	1100801	2																																		5		110080101	2093,1005,1030	11008																															
1100802	2	1		1	1100802	2																																		5		110080201	1030,10014,1005	11008																															
1100804	1	1		1	1100804	2																																		5		110080401	10015,1030,1005	11008																															
1100805	2	1		1	1100805	2																																		5		110080501	10014,10015,1005,1030	11008																															
1100806	2	1		1	1100806	2																																		5		110080601	2054,1030	11008																															
1100807	2	1		1	1100807	2																																		5		110080701	2020,1030,1005	11008																															
1100809	2	1		1	1100809	2																																		5		110080901	10234,1030,1005	11008																															
1100810	2	1		1	1100810	2																																		5		110081001	10014,1030,10015,1005	11008																															
1100811	2	1		1	1100811	2																																		5		110081101	2093,1030,1005	11008																															
1100812	2	1		1	1100812	2																																		5		110081201	10015,1030,1005	11008																															
1100814	2	1		1	1100814	2																																		5		110081401	2054,1030,1005	11008																															
1100815	2	1		1	1100815	2																																		5		110081501	10015,1005,1030	11008																															
1100851	2	1		1	1100802	2																																		5		110080175	2093	11008																															
1100852	2	1		1	1100804	2																																		5		110080216	10014	11008																															
1100853	2	1	2	1	1100816	2				1	1100806	2				1	1100813	2				1	1100814	2				1	1100807	2				1	1100809	2				5		110080513	10014	11008																															
1100854	2	1		1	1100810	2																																		5		110080918	10234	11008																															
1100855	2	1		1	1100811	2																																		5		110081086	10014,10015	11008																															
1101001	2	1		1	1101001	2																																		5		110100101	10304	11010																															
1101002	1	1		1	1101004	2																																		5		110100201	10265	11010																															
1101003	1	1		1	1101006	2																																		5		110100301	10200	11010																															
1101005	2	1		1	1101009	2																																		5		110100501	1005	11010																															
1101006	2	1		1	1101001	3																																		3		110100601	10304	11010																															
1101101	2	1		1	1101125	2																																		5		110110101	10265	11011																															
1101102	2	1		1	1101113	2																																		5		110110201	10265	11011																															
1101103	2	1		1	1101105	2																																		5		110110301	10265	11011																															
1101104	2	1		1	1101107	2																																		5		110110401	10200	11011																															
1101105	2	1		1	1101109	2																																		5		110110501	10265	11011																															
1101106	2	1		1	1101111	2																																		5		110110601	10200	11011																															
1101107	1	1		1	1101119	2																																		5		110110701	10274	11011																															
1101109	1	1		1	1101115	2																																		5		110110901	10265	11011																															
1101110	1	1		1	1101117	2																																		5		110111001	10265	11011																															
1101111	1	1		1	1101103	2																																		5		110111101	10265	11011																															
1101112		1																																						5		110111201	10265	11011																															
1101113		1																																						5		110111301	10265	11011																															
1101114		1																																						5		110111401	10265	11011																															
1101115		1																																						5		110111501	10265	11011																															
1101116		1																																						5		110111601	10265	11011																															
1101117		1																																						5		110111701	10265	11011																															
1101118		1																																						5		110111801	10265	11011																															
1101119		1																																						5		110111901	10265	11011																															
1101120		1																																						5		110112001	10265	11011																															
1101121		1																																						5		110112101	10265	11011																															
1101122	2	1		1	1101121	2																																		5		110111601	10265	11011																															
1101123	2	1		1	1101122	2																																		5		110112101	10265	11011																															
1101124	2	1		1	1101123	2																																		5		110112401	10265	11011																															
1101125	2	1		1	1101118	2																																		3		110112501	10274	11011																															
1101126	2	1		1	1101118	2																																		3		110112601	10288	11011																															
1101127	2	1		1	1101118	2																																		3		110112701	10289	11011																															
1101128	2	1		1	1101124	2																																		5		110112801	10274	11011																															
1101201	2	1		1	1101202	2																																		5		110120101	10200	11012																															
1101202	1	1		1	1101205	2																																		5		110120201	10200	11012																															
1101203	2	1		1	1101208	2																																		5		110120301	10265	11012																															
1101204	1	1		1	1101207	2																																		5		110120401	2067	11012																															
1101206	2	1		1	1101210	2																																		5		110120601	10310	11012																															
1101207	2	1		1	1101209	2																																		5		110120701	10265	11012																															
1101208	1	1		1	1101212	2																																		5		110120801	10200	11012																															
1101209	2	1		1	1101213	2																																		5		110120901	10310	11012																															
1101210	2	1		1	1101214	2																																		5		110121001	10265	11012																															
1101211	1	1		1	1101215	2																																		5		110121101	10200	11012																															
1102002	1	1		1	1102002	2																																				110200201	10232	11020																															
1102003	2	1		1	1102003	2																																				110200301	10303	11020																															
1102004	2	1		1	1102003	2																																				110200251	10309	11020																															
1102005	2	1		1	1102003	2																																				110200251	10308	11020																															
1102006	2	1		1	1102101	2																																				110200251	10309,10308																																
1102102	2	1		1	1102102	2																																				110210201	10232	11021																															
1102106	2	1		1	1102106	2																																				110210601	10302	11021																															
1102108	2	1	1	1	1102106	3				1	1102201	2																														110210801	10303,10302	11022																															
1102202	2	1		1	1102202	2																																				110220201	10232	11022																															
1102206	2	1		1	1102206	2																																				110220601	10232	11022																															
1102207	1	1		1	1102207	2																																				110220701	10232	11022																															
1102303	2	1		1	1102303	2																																				110230301	10232	11023																															
1102305	2	1		1	1102305	2																																				110230501	10232	11023																															
1102307	2	1		1	1102307	2																																				110230701	10232	11023																															
1102309	2	1		1	1102309	2																																				110230901	10232	11023																															
1102310	1	1		1	1102310	2																																				110231131	10303	11023																															
1102311	2	1		1	1102311	2																																				110231101	10303	11023																															
1102320	2	1																																								110232001	2003020																																
1102321	2	1																																								110232101	2003021																																
1102322	2	1																																								110232201	2003022																																
1102323	2	1																																								110232301	2003023																																
1102324	2	1																																								110232401	2003024																																
1102325	2	1																																								110232501	2003025																																
1102326	2	1																																								110232601	2003026																																
1102327	2	1																																								110232701	2003027																																
1102328	2	1																																								110232801	2003028																																
1102329	2	1																																								110232901	2003029																																
1102330	2	1																																								110233001	2003030																																
1102401	2	1		1	1102401	2																																				110240101	10232	11024																															
1102403	2	1		1	1102502	2																																				110240301	10232	11025																															
1103001	2	1		1	1103001	2																																		5		110300101	214001,214201,214301	11030																															
1103002	2	1		1	1103003	2																																		5		110300201	1015	11030																															
1103003	2	1		1	1103004	2																																		5		110300301	1015	11030																															
1103004	1	1		1	1103006	2																																		5		110300401	1015	11030																															
1103005	2	1		1	1103007	2																																		5		110300501	1015,10204	11030																															
1103006	2	1		1	1103009	2																																		5		110300601	1015,10204	11030																															
1103007	2	1	2	1	1103004	2				1	1103005	2				1	1103006	2																						5		110300701	10258	11030																															
1103008	2	1		1	1103008	2																																		5		110300801	10204	11030																															
1103101	2	1		1	1103102	2																																		5		110310101	1015	11031																															
1103102	2	1		1	1103104	2																																		5		110310201	1015	11031																															
1103103	2	1		1	1103105	2																																		5		110310301	202901	11031																															
1103104	2	1		1	1103106	2																																		5		110310401	201301	11031																															
1103105	2	1	2	1	1103107	2				1	1103112	2																												5		110310501	231002	11031																															
1103107	2	1		1	1103109	2																																		5		110310701	10324	11031																															
1103108	2	1		1	1103113	2																																		5		110310801	202901	11031																															
1103109		1		1	1103114	2																																		5		110310901	2454	11031																															
1103110	2	1		1	1103105	2																																		5		110311001	200302	11031																															
1103111	2	1	2	1	1103108	2				1	1103109	2				1	1103110	2																						5		110311101	231002	11031																															
1103202	2	1		1	1103203	2																																		5		110320201	202901,1015	11032																															
1103203	2	1		1	1103204	2																																		5		110320301	214001,214201,214301	11032																															
1104002	2	1		1	1104002	2																																				110400201	1019	11040																															
1104003	2	1	1	1	1104002	3				1	1104003	2																														110400301	1019	11040																															
1104004	2	1		1	1104004	2																																				110400401	1020	11040																															
1104104	2	1		1	1104104	2																																				110410401	1018	11041																															
1104106	2	1		1	1104106	2																																				110410601	1018	11041																															
1104201	2	1		1	1104201	2																																				110420101	1018	11042																															
1104203	2	1		1	1104203	2																																				110420301	1018	11042																															
1104205	2	1		1	1104205	2																																				110420501	1018	11042																															
1104206	2	1		1	1104206	2																																				110420601	1018	11042																															
1104207	2	1		1	1104207	2																																				110420701	1018	11042																															
1104208	2	1	2	1	1104410	2				1	1104401	2				1	1104405	2				1	1104412	2				1	1104403	2				1	1104301	2						110420801	158701	11042																															
1104209	2	1	2	1	1104206	2				1	1104207	2				1	1104216	2																								110420901	158701	11042																															
1104210	2	1	2	1	1104302	2				1	1104304	2				1	1104303	2				1	1104501	2				1	1104509	2				1	1104507	2						110420801	158701	11042																															
1104211	2	1	2	1	1104503	2				1	1104504	2																														110420801	158701	11042																															
1104301	2	1		1	1104301	2																																				110430101	1018	11043																															
1104303	2	1		1	1104303	2																																				110430301	1018	11043																															
1104304	2	1		1	1104304	2																																				110430108	1018	11043																															
1104401	2	1		1	1104401	2																																				110440141	1018	11044																															
1104403	2	1		1	1104403	2																																				110440320	1018	11044																															
1104405	1	1		1	1104416	2																																				110440501	1018	11044																															
1104406	2	1		1	1104406	2																																				110440601	2003035	11044																															
1104407	2	1		1	1104407	2																																				110440701	2003036	11044																															
1104408	2	1		1	1104408	2																																				110440801	2003037	11044																															
1104413	2	1		1	1104413	2																																				110441301	1018	11044																															
1104414	2	1	1	1	1104405	2				19	1104414					2	1104414	3																								110440531	1018	11044																															
1104415	1	1		1	1104415	2																																				110440500	1018	11044																															
1104501	2	1		1	1104501	2																																				110450101	1018	11045																															
1104504	2	1		1	1104504	2																																				110450461	1018	11045																															
1104505	2	1		1	1104505	2																																				110450501	1018	11045																															
1104506	2	1		1	1104505	2																																				110450621	158701	11045																															
1111001	1	1		1	1111001	2																																		5		111100101	10366	11110																															
1111003	1	1		1	1111003	2																																		5		111100301	10343	11110																															
1111004	1	1		1	1111004	2																																		5		111100401	1021	11110																															
1111005	1	1		1	1111005	2																																		5		111100501	1021	11110																															
1111007	2	1		1	1111007	2																																		5		111100701	1021	11110																															
1111008	2	1		1	1111008	2																																		5		111100801	10346	11110																															
1111009	2	1		1	1111009	2																																		5		111100901	10347	11110																															
1111010	2	1		1	1111010	2																																		5		111101001	10348	11110																															
1111011	2	1	1	1	1111005	2																																		5		111101101	201601	11110																															
1111012	2	1		1	1111014	2																																		5		111101201	1021,10343	11110																															
1111013	2	1	2	1	1111006	2				1	1111011	2				1	1111012	2				1	1111013	2				1	1111014	2				1	1111007	2				5		111101301	10360	11110																															
1111014	2	1	1	1	1111011	2																																		5		111101401	10361	11110																															
1111015	2	1	1	1	1111012	2																																		5		111101501	208401	11110																															
1111016	2	1	1	1	1111005	2																																		5		111101601	208401	11110																															
1111017	2	1	2	1	1111008	2				1	1111009	2				1	1111010	2																						5		111101701	208401	11110																															
1111018	2	1	4	1	1111012	3				1	1111007	2				1	1111006	2				1	1111011	2				1	1111013	2				1	1111014	2				5		111101501	208401	11110																															
1111019	2	1	1	1	1111009	2																																		5		111101901	10346	11110																															
1111020	2	1	1	1	1111010	2																																		5		111102001	10347	11110																															
1111022	2	1	2	1	1111008	2				1	1111009	2				1	1111010	2																						5		111102201	10343	11110																															
1111101	2	1		1	1111101	2																																		5		111110101	10343	11111																															
1111102	2	1		1	1111102	2																																		5		111110201	10366	11111																															
1111103	2	1	1	1	1111101	2																																		5		111102101	10348	11111																															
1111105	2	1		1	1111105	2																																		5		111110501	1021	11111																															
1111106	2	1		1	1111102	2																																		5		111110601	10343,10345	11111																															
1111107	2	1	1	1	1111102	2																																		5		111110701	10365	11111																															
1111201	1	1		1	1111201	2																																		5		111120101	10366	11112																															
1111202	2	1	1	1	1111202	2																																		5		111120201	10346	11112																															
1111203	1	1		1	1111203	2																																		5		111120301	10346	11112																															
1111204	2	1		1	1111204	2																																		5		111120401	10347	11112																															
1111205	1	1		1	1111205	2																																		5		111120501	10348	11112																															
1111208	1	1		1	1111208	2																																		5		111120801	10348	11112																															
1111222	2	1	1	19	1111202					1	1111222	2																												5		111122201	10346	11112																															
1111223	2	1	2	1	1111225	2										1	1111206	2				1	1111209	2				1	1111223	2				1	1111224	2				5		111122301	10346,10347,10348	11112																															
1111225	2	1	1	1	1111225	2																																		5		111122501	2006	11112																															
1111226	2	1	2	1	1111206	2				1	1111209	2				1	1111223	2				1	1111224	2																5		111122503	2006	11112																															
1111301	1	1		1	1111301	2																																		5		111130101	1021	11113																															
1111302	2	1	1	1	1111301	2																																		5		111122301	10346,10347,10348	11113																															
1111304	1	1		1	1111304	2																																		5		111130401	10349,10350,10351,10352,10353	11113																															
1111305	2	1		1	1111305	2																																		5		111130501	1021	11113																															
1111306	2	1		1	1111303	2																																		5		111130601	10366	11113																															
1111307	2	1	1	1	1111307	2																																		5		111130701	10366	11113																															
1111308	2	1	2	1	1111305	2				1	1111306	2																												5		111130801	10343,10344	11113																															
1111310	2	1	2	1	1111304	2				1	1111305	2				1	1111307	2																						5		111131001	10359	11113																															
1111311	2	1	2	1	1111304	2				1	1111305	2				1	1111307	2																						5		111131101	10362	11113																															
1111312	2	1	2	1	1111304	2				1	1111305	2				1	1111307	2																						5		111131201	10363,10364	11113																															
1111401	2	1		1	1111307	3																																		5		111130901	10343	11114																															
1112001	2	1		1	1112001	2																																		5		111200101	2078	11120																															
1112002	2	1		1	1112002	2																																		5		111200201	10377	11120																															
1112003	1	1		1	1112003	2																																		5		111200301	10232	11120																															
1112004	1	1		1	1112004	2																																		5		111200401	10377	11120																															
1112022	2	1		1	1112003	2																																		5		111202201	10377	11120																															
1112101	2	1		1	1112101	2																																		5		111210101	10377	11121																															
1112102	1	1		1	1112102	2																																		5		111210201	10376	11121																															
1112103	2	1		1	1112103	2																																		5		111210301	10378	11121																															
1112104	1	1		1	1112104	2																																		5		111210401	10394	11121																															
1112107	2	1		1	1112107	2																																		5		111210701	10377	11121																															
1112108	2	1		1	1112108	2																																		5		111210801	10376	11121																															
1112109	2	1		1	1112104	2																																		5		111210901	10376	11121																															
1112110	2	1	2	1	1112107	2				1	1112108	2				1	1112103	2																						5		111211001	10424	11121																															
1112121	2	1	2	1	1112104	2				1	1112102	2				1	1112103	2																						5		111212101	10377	11121																															
1112122	2	1	2	1	1112103	2				1	1112107	2																												5		111212201	10376	11121																															
1112123	2	1	2	1	1112101	2				1	1112102	2				1	1112104	2				1	1112107	2																5		111212301	10378	11121																															
1112201	1	1		1	1112201	2																																		5		111229901	10408	11122																															
1112202	1	1		1	1112202	2																																		5		111220201	10408	11122																															
1112204	2	1		1	1112204	2																																		5		111220401	10381	11122																															
1112207	2	1		1	1112207	2																																		5		111220701	10395	11122																															
1112208	1	1		1	1112208	2																																		5		111220802	10382	11122																															
1112209	1	1		1	1112209	2																																		5		111220901	10408	11122																															
1112210	2	1	2	1	11122012	2				1	1112208	2																												5		111221001	10424	11122																															
1112211	2	1		1	1112201	2																																		5		111211001	10424	11122																															
1112241	2	1		1	1112210	2																																		5		111224101	10379	11122																															
1112242	2	1		1	1112211	2																																		5		111224201	10380	11122																															
1112251	2	1	4	1	1112210	3				1	1112204	2				1	1112205	2				1	1112211	2																5		111225101	10379	11122																															
1112252	2	1	4	1	1112211	3				1	1112210	2				1	1112204	2				1	1112205	2																5		111225201	10380	11122																															
1112253	2	1		1	1112205	2																																		5		111225301	10381	11122																															
1112301	1	1		1	1112301	2																																		5		111230101	10408	11123																															
1112302	2	1		1	1112302	2																																		5		111230201	10232	11123																															
1112303	1	1		1	1112303	2																																		5		111230201	10408	11123																															
1112306	2	1		1	1112306	2																																		5		111230601	10408	11123																															
1112307	1	1		1	1112307	2																																		5		111230701	10377	11123																															
1112308	2	1		1	1112308	2																																		5		111230801	10232	11123																															
1112309	2	1		1	1112309	2																																		5		111230901	10376	11123																															
1112310	2	1	2	1	1112309	2				1	1112301	2				1	1112302	2				1	1112303	2				1	1112304	2				1	1112307	2				5		111231001	10382	11123																															
1112311	2	1	2	1	1112304	2				1	1112307	2																												5		111231101	10383	11123																															
1112312	2	1	2	1	1112304	2				1	1112307	2																												5		111231201	10384	11123																															
1112313	2	1	2	1	1112304	2				1	1112307	2																												5		111231301	10385	11123																															
1112314	2	1		1	1112311	2																																		5		111231001	10382	11123																															
1112401	2	1	1	1	1112401	2				24	0	0	11124																											5		111240101	10232	11124																															
1112402	2	1	1	1	1112401	2				25	0	1	11124																											5		111240104	10232	11124																															
1120001	1	1		1	1120001	2																																				112000101	2028	11200																															
1120002	1	1		1	1120002	2																																				112000201	2103	11200																															
1120003	2	1	1	41	1120014	1				1	1120002	3																														112000301	2103	11200																															
1120004	2	1		1	1120004	2																																				112000401	10233	11200																															
1120006	2	1		1	1120006	2																																				112000601	10233	11200																															
1120007	1	1		1	1120007	2																																				112000701	10233	11200																															
1120010	1	1		1	1120010	2																																				112001001	10233	11200																															
1120013	1	1		1	1120013	2																																				112001301	10233	11200																															
1120014	2	1		1	1120014	2																																				112001401	2103	11200																															
1120015	1	1		1	1120015	2																																				112001501	10233	11200																															
1120099	2	1		1	1120100	2																																				112009901	2103	11201																															
1120101	1	1		1	1120101	2																																				112010101	2103	11201																															
1120102	1	1		1	1120102	2																																				112010201	10233	11201																															
1120104	2	1		1	1120104	2																																				112010401	10233	11201																															
1120108	2	1		1	1120108	2																																				112010801	10233	11201																															
