ID	角色ID	开启条件1类型	开启条件1参数列表	开启条件2类型	开启条件2参数列表
7134	10000015	1	6		
7135	10000015				
7136	10000015				
7137	10000015				
7138	10000015				
7139	10000015	8			
7140	10000015	7	1		
7141	10000015	7	2		
7142	10000015	7	4		
7143	10000015	7	6		
8100	10000016				
8101	10000016				
8102	10000016				
8103	10000016				
8104	10000016				
8105	10000016				
8106	10000016				
8107	10000016				
8108	10000016				
8109	10000016				
8110	10000016				
8111	10000016				
8112	10000016				
8113	10000016				
8114	10000016	1	6		
8115	10000016	1	4		
8116	10000016				
8117	10000016				
8118	10000016	1	4		
8119	10000016	1	4		
8120	10000016	1	4		
8121	10000016	1	4		
8122	10000016	1	4		
8123	10000016	1	4		
8124	10000016	1	4		
8125	10000016	1	4		
8126	10000016				
8127	10000016	1	3		
8128	10000016	1	4		
8129	10000016	1	5		
8130	10000016	1	6		
8131	10000016				
8132	10000016				
8133	10000016				
8134	10000016				
8135	10000016	8			
8136	10000016	7	1		
8137	10000016	7	2		
8138	10000016	7	4		
8139	10000016	7	6		
9100	10000020				
9101	10000020				
9102	10000020				
9103	10000020				
9104	10000020				
9105	10000020				
9106	10000020				
9107	10000020				
9108	10000020				
9109	10000020				
9110	10000020				
9111	10000020				
9112	10000020				
9113	10000020				
9114	10000020	1	6		
9115	10000020	1	4		
9116	10000020				
9117	10000020				
9118	10000020	1	4	6	45406
9119	10000020	1	4		
9120	10000020	1	4		
9121	10000020	1	4		
9122	10000020	1	4		
9123	10000020	1	4	6	45406
9124	10000020	1	4		
9125	10000020	1	6		
9126	10000020				
9127	10000020	1	3		
9128	10000020	1	4		
9129	10000020	1	5		
9130	10000020	1	6		
9131	10000020				
9132	10000020				
9133	10000020				
9134	10000020				
9135	10000020	8			
9136	10000020	7	1		
9137	10000020	7	2		
9138	10000020	7	4		
9139	10000020	7	6		
9141	10000020				
10100	10000021				
10101	10000021				
10102	10000021				
10103	10000021				
10104	10000021				
10105	10000021				
10106	10000021				
10107	10000021				
10108	10000021				
10109	10000021				
10110	10000021				
10111	10000021				
10112	10000021				
10113	10000021				
10114	10000021				
10115	10000021				
10116	10000021	1	6		
10117	10000021	1	4		
10118	10000021				
10119	10000021				
10120	10000021	1	4		
10121	10000021	1	4		
10122	10000021	1	4		
10123	10000021	1	4		
10124	10000021	1	4		
10125	10000021	1	4		
10126	10000021	1	4		
10127	10000021	1	4		
10128	10000021	1	4		
10129	10000021	1	4		
10130	10000021	1	4		
10131	10000021				
10132	10000021	1	3		
10133	10000021	1	4		
10134	10000021	1	5		
10135	10000021	1	6		
10136	10000021				
10137	10000021				
10138	10000021				
10139	10000021				
10140	10000021	8			
10141	10000021	7	1		
10142	10000021	7	2		
10143	10000021	7	4		
10144	10000021	7	6		
11100	10000022				
11101	10000022				
11102	10000022				
11103	10000022				
11104	10000022				
11105	10000022				
11106	10000022				
11107	10000022				
11108	10000022				
11109	10000022				
11110	10000022				
11111	10000022				
11112	10000022				
11113	10000022				
11114	10000022	1	6		
11115	10000022	1	6	6	39604
11116	10000022	1	6	6	39604
11117	10000022	1	4		
11118	10000022				
11119	10000022				
11120	10000022	1	4		
11121	10000022	1	4		
11122	10000022	1	4		
11123	10000022	1	4		
11124	10000022	1	4		
11125	10000022	1	4		
11126	10000022	1	4		
11127	10000022	1	4	6	102510
11128	10000022	1	4		
11129	10000022				
11130	10000022	1	3		
11131	10000022	1	4		
11132	10000022	1	5		
11133	10000022	1	6		
11134	10000022				
11135	10000022				
11136	10000022				
11137	10000022				
11138	10000022	8			
11139	10000022	7	1		
11140	10000022	7	2		
11141	10000022	7	4		
11142	10000022	7	6		
12100	10000023				
12101	10000023				
12102	10000023				
12103	10000023				
12104	10000023				
12105	10000023				
12106	10000023				
12107	10000023				
12108	10000023				
12109	10000023				
12110	10000023				
12111	10000023				
12112	10000023				
12113	10000023				
12114	10000023	1	6		
12115	10000023	1	4		
12116	10000023				
12117	10000023				
12118	10000023	1	4		
12119	10000023	1	4		
12120	10000023	1	4		
12121	10000023	1	4		
12122	10000023	1	4		
12123	10000023	1	4		
12124	10000023	1	4		
12125	10000023	1	4		
12126	10000023	1	4		
12127	10000023	1	4		
12128	10000023				
12129	10000023	1	3		
12130	10000023	1	4		
12131	10000023	1	5		
12132	10000023	1	6		
12133	10000023				
12134	10000023				
12135	10000023				
12136	10000023				
12137	10000023	8			
12138	10000023	7	1		
12139	10000023	7	2		
12140	10000023	7	4		
12141	10000023	7	6		
13009	10000025				
13010	10000025				
13011	10000025				
13012	10000025				
13013	10000025				
13014	10000025				
13015	10000025				
13016	10000025				
13017	10000025				
13018	10000025				
13019	10000025				
13020	10000025				
13021	10000025				
13022	10000025				
13023	10000025	1	3		
13024	10000025				
13025	10000025	1	6		
13026	10000025	1	3		
13027	10000025	1	5		
13028	10000025				
13029	10000025	1	4		
13030	10000025	1	4		
13031	10000025	1	4		
13032	10000025	1	4		
13033	10000025	1	4		
13034	10000025	1	4		
13035	10000025	1	4		
13036	10000025	1	4		
13037	10000025	1	4		
13038	10000025	1	6		
13039	10000025	1	4	6	101609
13040	10000025				
13041	10000025	1	3		
13042	10000025	1	4		
13043	10000025	1	5		
13044	10000025	1	6		
13045	10000025				
13046	10000025				
13047	10000025				
13048	10000025				
13049	10000025	8			
13050	10000025	8			
13051	10000025	7	1		
13052	10000025	7	2		
13053	10000025	7	4		
13054	10000025	7	6		
14100	10000024				
14101	10000024				
14102	10000024				
14103	10000024				
14104	10000024				
14105	10000024				
14106	10000024				
14107	10000024				
14108	10000024				
14109	10000024				
14110	10000024				
14111	10000024				
14112	10000024				
14113	10000024				
14114	10000024	1	6		
14115	10000024	1	6		
14116	10000024	1	4		
14117	10000024				
14118	10000024				
14119	10000024	1	4		
14120	10000024	1	4		
14121	10000024	1	4		
14122	10000024	1	4		
14123	10000024	1	4		
14124	10000024	1	4		
14125	10000024	1	4		
14126	10000024	1	4		
14127	10000024	1	4		
14128	10000024	1	4	10	
14130	10000024				
14131	10000024	1	3		
14132	10000024	1	4		
14133	10000024	1	5		
14134	10000024	1	6		
14135	10000024				
14136	10000024				
14137	10000024				
14138	10000024				
14139	10000024	8			
14140	10000024	7	1		
14141	10000024	7	2		
14142	10000024	7	4		
14143	10000024	7	6		
15100	10000027				
15101	10000027				
15102	10000027				
15103	10000027				
15104	10000027				
15105	10000027				
15106	10000027				
15107	10000027				
15108	10000027				
15109	10000027				
15110	10000027	6	101609		
15111	10000027				
15112	10000027				
15113	10000027	1	4	6	102510
15114	10000027				
15115	10000027	1	6		
15116	10000027	1	6	6	101609
15117	10000027	1	4		
15118	10000027				
15119	10000027	1	6	6	102510
15120	10000027				
15121	10000027	1	4		
15122	10000027	1	4		
15123	10000027	1	4		
15124	10000027	1	4		
15125	10000027	1	4		
15126	10000027	1	4		
15127	10000027	1	4		
15128	10000027	1	4	6	102510
15129	10000027	1	4		
15130	10000027	1	4		
15131	10000027				
15132	10000027	1	3		
15133	10000027	1	4		
15134	10000027	1	5		
15135	10000027	1	6		
15136	10000027				
15137	10000027				
15138	10000027				
15139	10000027				
15140	10000027	8			
15141	10000027	7	1		
15142	10000027	7	2		
15143	10000027	7	4		
15144	10000027	7	6		
16100	10000026				
16101	10000026				
16102	10000026				
16103	10000026				
16104	10000026				
16105	10000026				
16106	10000026				
16107	10000026				
16108	10000026				
16109	10000026				
16110	10000026				
16111	10000026				
16112	10000026				
16113	10000026				
16114	10000026				
16115	10000026	1	6		
16116	10000026	1	6		
16117	10000026	1	6		
16118	10000026	1	3		
16119	10000026	1	5		
16120	10000026				
16121	10000026				
16122	10000026	1	4	6	102510
16123	10000026	1	4		
16124	10000026	1	4		
16125	10000026	1	4		
16126	10000026	1	4		
16127	10000026	1	4		
16128	10000026				
16129	10000026	1	3		
16130	10000026	1	4		
16131	10000026	1	5		
16132	10000026	1	6		
16133	10000026				
16134	10000026				
16135	10000026				
16136	10000026				
16137	10000026				
16138	10000026	8			
16139	10000026	7	1		
16140	10000026	7	2		
16141	10000026	7	4		
16142	10000026	7	6		
17100	10000030				
17101	10000030				
17102	10000030				
17103	10000030				
17104	10000030				
17105	10000030				
17106	10000030				
17107	10000030				
17108	10000030				
17109	10000030				
17110	10000030				
17111	10000030				
17112	10000030	6	102510		
17113	10000030				
17114	10000030	1	6		
17115	10000030	1	6	6	102510
17116	10000030	1	6		
17117	10000030	1	4		
17118	10000030				
17119	10000030				
17120	10000030	1	4	6	102510
17121	10000030	1	4	6	102510
17122	10000030	1	4	6	102510
17123	10000030	1	4		
17124	10000030	1	4		
17125	10000030	1	4	6	102510
17126	10000030	1	4	6	102510
17127	10000030	1	4	6	102510
17128	10000030	1	4	6	102510
17129	10000030				
17130	10000030	1	3		
17131	10000030	1	4		
17132	10000030	1	5	6	102510
17133	10000030	1	6	6	102510
17134	10000030				
17135	10000030	6	102510		
17136	10000030				
17137	10000030				
17138	10000030	8			
17139	10000030	7	1		
17140	10000030	7	2	6	102510
17141	10000030	7	4	6	102510
17142	10000030	7	6	6	102510
18009	10000029				
18010	10000029				
18011	10000029				
18012	10000029				
18013	10000029				
18014	10000029				
18015	10000029				
18016	10000029				
18017	10000029				
18018	10000029				
18019	10000029				
18020	10000029				
18021	10000029				
18022	10000029	6	38406		
18023	10000029	1	6		
18024	10000029	1	4		
18025	10000029				
18026	10000029				
18027	10000029	1	4		
18028	10000029	1	4		
18029	10000029	1	4		
18030	10000029	1	4		
18031	10000029	1	4		
18032	10000029	1	4		
18033	10000029	1	4		
18034	10000029	1	4		
18035	10000029	1	4		
18036	10000029	1	4		
18037	10000029	1	4		
18038	10000029	1	4		
18039	10000029				
18040	10000029	1	3		
18041	10000029	1	4		
18042	10000029	1	5		
18043	10000029	1	6		
18044	10000029				
18045	10000029				
18046	10000029				
18047	10000029				
18048	10000029	8			
18049	10000029	7	1		
18050	10000029	7	2		
18051	10000029	7	4		
18052	10000029	7	6		
19009	10000031				
19010	10000031				
19011	10000031				
19012	10000031				
19013	10000031				
19014	10000031				
19015	10000031				
19016	10000031				
19017	10000031				
19018	10000031				
19019	10000031				
19020	10000031				
19021	10000031				
19022	10000031				
19023	10000031				
19024	10000031	1	6		
19025	10000031	1	6		
19026	10000031	1	6		
19027	10000031	1	4		
19028	10000031				
19029	10000031				
19030	10000031	1	4		
19031	10000031	1	4		
19032	10000031	1	4		
19033	10000031	1	4		
19034	10000031	1	4		
19035	10000031				
19036	10000031	1	3		
19037	10000031	1	4		
19038	10000031	1	5		
19039	10000031	1	6		
19040	10000031				
19041	10000031				
19042	10000031				
19043	10000031				
19044	10000031				
19045	10000031	8			
19046	10000031	7	1		
19047	10000031	7	2		
19048	10000031	7	4		
19049	10000031	7	6		
20009	10000032				
20010	10000032				
20011	10000032				
20012	10000032				
20013	10000032				
20014	10000032				
20015	10000032				
20016	10000032				
20017	10000032				
20018	10000032				
20019	10000032				
20020	10000032				
20021	10000032				
20022	10000032				
20023	10000032				
20024	10000032	1	6		
20025	10000032	1	6		
20026	10000032	1	4		
20027	10000032				
20028	10000032				
20029	10000032	1	4		
20030	10000032	1	4		
20031	10000032	1	4		
20032	10000032	1	4		
20033	10000032	1	4		
20034	10000032	1	4		
20035	10000032	1	4		
20036	10000032	1	4		
20037	10000032				
20038	10000032	1	3		
20039	10000032	1	4		
20040	10000032	1	5		
20041	10000032	1	6		
20042	10000032				
20043	10000032				
20044	10000032				
20045	10000032				
20046	10000032	8			
20047	10000032	7	1		
20048	10000032	7	2		
20049	10000032	7	4		
20050	10000032	7	6		
21009	10000034				
21010	10000034				
21011	10000034				
21012	10000034				
21013	10000034				
21014	10000034				
21015	10000034				
21016	10000034				
21017	10000034				
21018	10000034				
21019	10000034				
21020	10000034	1	4		
21021	10000034				
21022	10000034				
21023	10000034				
21024	10000034	1	6		
21025	10000034	1	6	6	38406
21026	10000034	1	4		
21027	10000034				
21028	10000034				
21029	10000034	1	4		
21030	10000034	1	4		
21031	10000034	1	4		
21032	10000034	1	4		
21033	10000034	1	4		
21034	10000034	1	4		
21035	10000034	1	4		
21036	10000034	1	6		
21037	10000034	1	4		
21038	10000034				
21039	10000034	1	3		
21040	10000034	1	4		
21041	10000034	1	5		
21042	10000034	1	6		
21043	10000034				
21044	10000034				
21045	10000034				
21046	10000034				
21047	10000034	8			
21048	10000034	7	1		
21049	10000034	7	2		
21050	10000034	7	4		
21051	10000034	7	6		
22009	10000036				
22010	10000036				
22011	10000036				
22012	10000036				
22013	10000036				
22014	10000036				
22015	10000036				
22016	10000036				
22017	10000036				
22018	10000036				
22019	10000036				
22020	10000036				
22021	10000036				
22022	10000036				
22023	10000036	1	6		
22024	10000036	1	4		
22025	10000036				
22026	10000036	6	102510		
22027	10000036	1	4	6	101609
22028	10000036	1	4		
22029	10000036	1	4		
22030	10000036	1	4		
22031	10000036	1	4		
22032	10000036	1	4		
22033	10000036	1	4		
22034	10000036				
22035	10000036	1	3		
22036	10000036	1	4		
22037	10000036	1	5		
22038	10000036	1	6		
22039	10000036				
22040	10000036				
22041	10000036				
22042	10000036				
22043	10000036	8			
22044	10000036	7	1		
22045	10000036	7	2		
22046	10000036	7	4		
22047	10000036	7	6		
23009	10000033				
23010	10000033				
23011	10000033				
23012	10000033				
23013	10000033				
23014	10000033				
23015	10000033				
23016	10000033				
23017	10000033				
23018	10000033				
23019	10000033				
23020	10000033				
23021	10000033				
23022	10000033				
23023	10000033				
23024	10000033				
23025	10000033				
23026	10000033	1	6		
23027	10000033	1	6		
23028	10000033	1	6		
23029	10000033	1	4		
23030	10000033				
23031	10000033				
23032	10000033	1	4		
23033	10000033	1	4		
23034	10000033	1	4	6	102510
23035	10000033	1	4		
23036	10000033	1	4		
23037	10000033				
23038	10000033	1	3		
23039	10000033	1	4		
23040	10000033	1	5		
23041	10000033	1	6		
23042	10000033				
23043	10000033				
23044	10000033				
23045	10000033				
23046	10000033	8			
23047	10000033	7	1		
23048	10000033	7	2		
23049	10000033	7	4		
23050	10000033	7	6		
24009	10000035				
24010	10000035				
24011	10000035				
24012	10000035				
24013	10000035				
24014	10000035	1	6		
24015	10000035				
24016	10000035				
24017	10000035	1	6		
24018	10000035				
24019	10000035				
24020	10000035				
24021	10000035				
24022	10000035				
24023	10000035				
24024	10000035	1	6		
24025	10000035	1	4		
24026	10000035				
24027	10000035				
24028	10000035	1	4		
24029	10000035	1	4		
24030	10000035	1	4		
24031	10000035	1	4		
24032	10000035	1	4		
24033	10000035	1	4		
24034	10000035	1	4		
24035	10000035				
24036	10000035	1	3		
24037	10000035	1	4		
24038	10000035	1	5		
24039	10000035	1	6		
24040	10000035				
24041	10000035				
24042	10000035				
24043	10000035				
24044	10000035	8			
24045	10000035	7	1		
24046	10000035	7	2		
24047	10000035	7	4		
24048	10000035	7	6		
25009	10000037				
25010	10000037				
25011	10000037				
25012	10000037				
25013	10000037				
25014	10000037				
25015	10000037				
25016	10000037				
25017	10000037				
25018	10000037				
25019	10000037				
25020	10000037				
25021	10000037				
25022	10000037				
25023	10000037				
25024	10000037	1	6		
25025	10000037	1	6		
25026	10000037	1	4		
25027	10000037				
25028	10000037				
25029	10000037				
25030	10000037	1	4		
25031	10000037	1	4		
25032	10000037	1	4		
25033	10000037	1	4		
25034	10000037	1	4	6	102510
25035	10000037	1	4		
25036	10000037	1	4		
25037	10000037	1	4		
25038	10000037	1	4		
25039	10000037	1	4		
25040	10000037	1	4		
25041	10000037				
25042	10000037	1	3		
25043	10000037	1	4		
25044	10000037	1	5		
25045	10000037	1	6		
25046	10000037				
25047	10000037				
25048	10000037				
25049	10000037				
25050	10000037	8			
25051	10000037	7	1		
25052	10000037	7	2		
25053	10000037	7	4		
25054	10000037	7	6		
30009	10000041				
30010	10000041				
30011	10000041				
30012	10000041				
30013	10000041				
30014	10000041				
30015	10000041				
30016	10000041				
30017	10000041				
30018	10000041				
30019	10000041				
30020	10000041				
30021	10000041				
30022	10000041				
30023	10000041	1	6		
30024	10000041	1	6		
30025	10000041	1	3		
30026	10000041	1	5		
30027	10000041	1	6		
30028	10000041	1	4		
30029	10000041	1	4		
30030	10000041	1	4		
30031	10000041	1	4		
30032	10000041	1	4		
30033	10000041	1	4		
30034	10000041	1	4		
30035	10000041	1	4		
30036	10000041				
30037	10000041	1	3		
30038	10000041	1	4		
30039	10000041	1	5		
30040	10000041	1	6		
30041	10000041				
30042	10000041				
30043	10000041				
30044	10000041				
30045	10000041	8			
30046	10000041	7	1		
30047	10000041	7	2		
30048	10000041	7	4		
30049	10000041	7	6		
31009	10000043				
31010	10000043				
31011	10000043				
31012	10000043				
31013	10000043				
31014	10000043				
31015	10000043				
31016	10000043				
31017	10000043				
31018	10000043				
31019	10000043				
31020	10000043				
31021	10000043				
31022	10000043				
31023	10000043				
31024	10000043				
31025	10000043	1	6		
31026	10000043	1	6	6	30904
31027	10000043	1	4		
31028	10000043				
31029	10000043				
31030	10000043	1	4		
31031	10000043	1	4		
31032	10000043	1	4		
31033	10000043	1	4		
31034	10000043	1	4		
31035	10000043	1	4		
31036	10000043	1	4		
31037	10000043	1	4		
31038	10000043	1	4		
31039	10000043	1	4		
31040	10000043				
31041	10000043	1	3		
31042	10000043	1	4		
31043	10000043	1	5		
31044	10000043	1	6		
31045	10000043				
31046	10000043				
31047	10000043				
31048	10000043				
31049	10000043	8			
31050	10000043	7	1		
31051	10000043	7	2		
31052	10000043	7	4		
31053	10000043	7	6		
32009	10000042				
32010	10000042				
32011	10000042				
32012	10000042				
32013	10000042				
32014	10000042				
32015	10000042				
32016	10000042				
32017	10000042				
32018	10000042				
32019	10000042				
32020	10000042				
32021	10000042				
32022	10000042				
32023	10000042				
32024	10000042	6	102510		
32025	10000042				
32026	10000042	1	6		
32027	10000042	1	6	6	102510
32028	10000042	1	4		
32029	10000042	1	4	6	102510
32030	10000042				
32031	10000042	6	102510		
32032	10000042				
32033	10000042	1	4		
32034	10000042	1	4		
32035	10000042	1	4		
32036	10000042	1	4	6	102510
32037	10000042	1	4	6	102510
32038	10000042	1	4		
32039	10000042	1	4		
32040	10000042	1	4		
32041	10000042	1	4		
32042	10000042	1	4	6	102510
32043	10000042	1	4		
32044	10000042	1	4	6	102510
32045	10000042	1	4		
32046	10000042	1	4	6	102510
32047	10000042	1	4		
32048	10000042				
32049	10000042	1	3		
32050	10000042	1	4		
32051	10000042	1	5		
32052	10000042	1	6	6	102510
32053	10000042				
32054	10000042				
32055	10000042				
32056	10000042				
32057	10000042	8			
32058	10000042	7	1		
32059	10000042	7	2		
32060	10000042	7	4		
32061	10000042	7	6		
33009	10000044				
33010	10000044				
33011	10000044				
33012	10000044				
33013	10000044				
33014	10000044				
33015	10000044				
33016	10000044				
33017	10000044				
33018	10000044				
33019	10000044				
33020	10000044				
33021	10000044				
33022	10000044				
33023	10000044				
33024	10000044	1	6		
33025	10000044	1	6		
33026	10000044	1	4		
33027	10000044	1	4		
33028	10000044				
33029	10000044				
33030	10000044	1	4		
33031	10000044	1	4		
33032	10000044	1	4		
33033	10000044	1	4		
33034	10000044	1	4		
33035	10000044	1	4		
33036	10000044	1	4		
33037	10000044	1	4		
33038	10000044				
33039	10000044	1	3		
33040	10000044	1	4		
33041	10000044	1	5		
33042	10000044	1	6		
33043	10000044				
33044	10000044				
33045	10000044				
33046	10000044				
33047	10000044	8			
33048	10000044	7	1		
33049	10000044	7	2		
33050	10000044	7	4		
33051	10000044	7	6		
34009	10000039				
34010	10000039				
34011	10000039				
34012	10000039				
34013	10000039				
34014	10000039				
34015	10000039				
34016	10000039				
34017	10000039				
34018	10000039				
34019	10000039				
34020	10000039				
34021	10000039				
34022	10000039				
34023	10000039				
34024	10000039				
34025	10000039	1	6		
34026	10000039	1	6		
34027	10000039	1	6		
34028	10000039	1	3		
34029	10000039	1	5		
34030	10000039				
34031	10000039				
34032	10000039	1	4		
34033	10000039	1	4		
34034	10000039	1	4		
34035	10000039	1	4		
34036	10000039	1	4		
34037	10000039	1	4		
34038	10000039	1	4		
34039	10000039	1	4		
34040	10000039	1	4		
34041	10000039	1	4		
34042	10000039				
34043	10000039	1	3		
34044	10000039	1	4		
34045	10000039	1	5		
34046	10000039	1	6		
34047	10000039				
34048	10000039				
34049	10000039				
34050	10000039				
34051	10000039	8			
34052	10000039	7	1		
34053	10000039	7	2		
34054	10000039	7	4		
34055	10000039	7	6		
35009	10000038				
35010	10000038				
35011	10000038				
35012	10000038				
35013	10000038				
35014	10000038				
35015	10000038				
35016	10000038				
35017	10000038				
35018	10000038				
35019	10000038				
35020	10000038				
35021	10000038				
35022	10000038				
35023	10000038	1	6		
35024	10000038	1	4		
35025	10000038	1	4		
35026	10000038				
35027	10000038	1	6		
35028	10000038	1	4		
35029	10000038	1	5		
35030	10000038	1	4		
35031	10000038	1	4		
35032	10000038	1	4		
35033	10000038	1	4		
35034	10000038	1	4		
35035	10000038				
35036	10000038	1	3		
35037	10000038	1	4		
35038	10000038	1	5		
35039	10000038	1	6		
35040	10000038				
35041	10000038				
35042	10000038				
35043	10000038				
35044	10000038	8			
35045	10000038	7	1		
35046	10000038	7	2		
35047	10000038	7	4		
35048	10000038	7	6		
36009	10000046				
36010	10000046				
36011	10000046				
36012	10000046				
36013	10000046				
36014	10000046				
