图鉴ID	类型	物品ID	序号	名称$text_name_Title	描述$text_name_Desc	图标	已废弃	解锁才显示
40200002	1	108014	2002					
40200003	1	108018	2003					
40200004	1	108040	2004					
40200005	1	108044	2005					
40200006	1	108048	2006					
40200007	1	108058	2007					
40200008	1	108118	2008					
40200009	1	108113	2009					
40200010	1	108115	2010					
40200012	1	108116	2011					
40200013	1	108135	2012					
40200014	1	108136	2013					
40200015	1	108144	2014					
40200016	1	108139	2015					
40200017	1	108134	2016					
40200018	1	108114	2017					
40200019	1	108117	2018					
40200020	1	108140	2019					
40200021	1	108138	2020					
40200022	1	108145	2021					
40200023	1	108146	2022					
40210053	1	108173	2023	文火慢炖腌笃鲜				
40210054	1	108174	2024	摇·滚·鸡！				
40210055	1	108175	2025	极致一钓				
40200024	1	108213	2026					
40200025	1	108214	2027					
40200011	1	108137	2028					
40200026	1	108200	2029					
40200027	1	108234	2030					
40200028	1	108244	2031					
40200029	1	108245	2032					
40210001	1	108003	2501	渔人吐司				
40210002	1	108006	2502	提瓦特煎蛋				
40210003	1	108009	2503	烤肉排				
40210004	1	108013	2504	野菇鸡肉串				
40210005	1	108017	2505	火火肉酱面				
40210006	1	108021	2506	萝卜时蔬汤				
40210007	1	108024	2507	庄园烤松饼				
40210008	1	108027	2508	炸萝卜丸子				
40210009	1	108030	2509	满足沙拉				
40210010	1	108033	2510	甜甜花酿鸡				
40210011	1	108036	2511	北地烟熏鸡				
40210012	1	108039	2512	白汁时蔬烩肉				
40210013	1	108043	2513	烤蘑菇披萨				
40210014	1	108047	2514	蒙德土豆饼				
40210015	1	108051	2515	嘟嘟莲海鲜羹				
40210016	1	108054	2516	黄油松茸				
40210017	1	108057	2517	「堆高高」				
40210018	1	108061	2518	冷肉拼盘				
40210019	1	108064	2519	蜜酱胡萝卜煎肉				
40210020	1	108067	2520	蟹黄火腿焗时蔬				
40210021	1	108070	2521	翡玉什锦袋				
40210022	1	108073	2522	中原杂碎	调味后烤熟的肉料理。虽然原料主要取自动物内脏及边角料，但经过一番调味和加工，完全掩盖了原本的肉腥味。很多人吃了一辈子才知道原来菜名中的杂碎不是在骂某个叫中原的人。			
40210023	1	108076	2523	水煮黑背鲈				
40210024	1	108079	2524	松鼠鱼				
40210025	1	108082	2525	杏仁豆腐				
40210026	1	108085	2526	香嫩椒椒鸡				
40210027	1	108088	2527	珍珠翡翠白玉汤				
40210028	1	108091	2528	松茸酿肉卷				
40210029	1	108094	2529	摩拉肉				
40210030	1	108097	2530	蒙德烤鱼				
40210031	1	108100	2531	爆炒肉片				
40210032	1	108103	2532	黄金蟹				
40210033	1	108106	2533	水晶虾				
40210034	1	108109	2534	烤吃虎鱼	急火烤制的鱼串。将码头打捞上来的鱼略加腌制后迅速烤熟，香味能吸引街边的猫。而新鲜正是美味的秘诀。\n烤吃虎鱼起初专指烤制后的「螭虎鱼」，后来在口口相传当中成了「烤吃虎鱼」，所指的菜肴原料也不再局限于单一鱼种。事实上，真正的螭虎鱼在很多很多年前就随着它伴生的海兽数量锐减，而濒临绝种了。			
40210035	1	108112	2535	风神杂烩菜				
40210036	1	108121	2536	莲子禽蛋羹				
40210037	1	108124	2537	仙跳墙				
40210038	1	108127	2538	金丝虾球				
40210039	1	108130	2539	轻策农家菜				
40210040	1	108133	2540	来来菜				
40210045	1	108151	2541	苹果酿				
40210068	1	108143	2542	山珍热卤面				
40210046	1	108154	2543	腌笃鲜				
40210047	1	108157	2544	扣三丝				
40210048	1	108160	2545	天枢肉				
40210049	1	108163	2546	莲花酥				
40210050	1	108166	2547	月亮派				
40210051	1	108169	2548	冒险家蛋堡				
40210052	1	108172	2549	北地苹果焖肉				
40210056	1	108203	2550	四方和平				
40210057	1	108206	2551	稠汁蔬菜炖肉				
40210058	1	108209	2552	黄油煎鱼				
40210059	1	108212	2553	绝云锅巴				
40210061	1	108181	2554	明月蛋				
40210064	1	108190	2555	素鲍鱼				
40210065	1	108193	2556	岩港三鲜				
40210069	1	108224	2557	鲜虾脆薯盏				
40210070	1	108227	2558	薄荷果冻				
40210071	1	108230	2559	凉拌薄荷				
40210072	1	108233	2560	兽肉薄荷卷				
40210060	1	108178	2561	蟹黄豆腐				
40210062	1	108184	2562	干锅腊肉				
40210063	1	108187	2563	干炒鱼河				
40210066	1	108196	2565	清炒虾仁				
40210067	1	108199	2566	米窝窝				
40210073	1	108248	2564	鸡豆花				
40260001	1	108237	3001	大黄金吮指鸡				1
40260002	1	108240	3002	脆脆鸡腿堡				1
40260003	1	108243	3003	香浓土豆泥				1
40210041	1	108147	3101	圣水	质地透亮，无色无杂质的一小瓶液体。看起来与清泉水无异的这一瓶，真的值得你寄予厚望吗？也有当地传说认为，清泉镇后山的泉水中寄宿着某种「存在」。若当真如此，这瓶水中或许含有什么奥妙也说不定…？			
40210042	1	108148	3102	大碗茶				
40210043	1	108149	3103	冰钩钩果汁				
40210044	1	108150	3104	树莓薄荷饮				
40220001	1	100017	3201					
40220002	1	100018	3202					
40220003	1	100075	3203		带有咸味的调味剂。只要在料理中准确把握「适量」的程度，就能让菜品产生质的提升。据说曾经有人在世时，留下过这样的训诫：「子等当如岩中盐」。			
40220004	1	100076	3204					
40220005	1	100077	3205					
40220006	1	100078	3206					
40220007	1	100079	3207					
40220008	1	100080	3208					
40220009	1	100088	3209					
40220010	1	100089	3210					
40220011	1	100092	3211					
40220012	1	100093	3212					
40230001	1	110001	3301		由小麦磨成的粉末。无论做成怎样的主食，都能给食客的胃带来片刻充实。			
40230002	1	110002	3302		从牛奶中分离提制的乳脂肪。适当添加，能让哪怕平凡的原料，也散发出甜蜜浓厚的香气。			
40230003	1	110003	3303		经过熏制的禽肉。紧实的肉质带来别样的味觉体验。			
40230004	1	110004	3304		将牛奶快速搅拌后提制的奶制品。是制作美味糕点时必备的材料之一。			
40230005	1	110005	3305		经过熏制的腿部兽肉。薄薄的一片就能带来满嘴的芳香。			
40230006	1	110006	3306		提炼自甜甜花的调味剂。它的甜味仿佛有着与人共鸣的力量，能够驱散内心的阴霾。			
40230007	1	110008	3307		由水果和糖熬制而成的凝胶物质。只要少许就能轻易唤醒疲惫的味蕾。			
40230008	1	110009	3308		由牛奶浓缩发酵制成的奶制品。提供热量的同时，赋予了烹饪无限可能性。			
40230009	1	110010	3309		经过熏制的肋条兽肉。层次丰富、肥而不腻正是它广受欢迎的原因。			
40230010	1	110011	3310		灌入肠衣后制成的条状兽肉。便于储存的特性，极大地满足了肉食爱好者的日常需要。			
40230013	1	100074	3313					
40240001	1	100061	3401		兽类的新鲜肉块。经过适当处理可以制成让人元气满满的美食。\n提瓦特大陆上奔行着各种各样的野兽，其中有些会成为人们的营养来源。据说在遥远的过去，曾经存在能够供养一个城邦一年营养的巨大野兽。			
40240002	1	100064	3402		禽类的新鲜肉块。经过适当处理可以制成让人精神一振的佳肴。\n注定属于天空的禽鸟与大地的走兽不同，它们一生中的多数时间都在翱翔。而长时间的运动让禽肉形成了不同于兽肉的口感。			
40240003	1	100084	3403		鱼类的新鲜肉块。经过适当处理可以制成让人回味无穷的菜式。漫游在河流、湖泊、海洋中的生命精华。			
40240004	1	100073	3404					
40240005	1	100094	3405		稀有的鲜美肉类。据记载在数百年前已经灭绝的走豕品种，因为龙脊雪山的极端天候而被保存了下来。对于提瓦特的老饕们而言，是福音般神圣的极佳食材。			
40250001	1	111006	3501		让人忍耐高热的奇特药剂。原理并不是让人身体变得凉爽，而是让人习惯高温，以此降低置身其中的不适感。			
40250002	1	111007	3502		让人忍耐潮湿环境的药物。这种药剂据信能够防潮，对于保存物件十分实用。内服亦可，对风湿病患者而言是宝物。			
40250003	1	111008	3503		让人忍耐寒冷的奇异药水。喝下去时，舌尖会有种冻僵的感觉。等这种感觉扩散到全身以后，就不再会感到寒冷了。			
40250004	1	111009	3504		让人抵抗强风的神秘药剂。对于时常需要风餐露宿的冒险家来说，是非常实用的药剂。据说能防止风寒。			
40250005	1	111010	3505		可以防止触电的药水。喝下去感觉酥酥麻麻的奇特药物，据说绝缘的原理其实是让人体内充满相反的雷电，以此抵消电击的伤害。			
40250006	1	111011	3506		让人不受沙尘侵扰的药物。喝下去时嘴里会有磁石的奇特味道。对于风尘仆仆的旅人，可以保持浑身清洁。			
40250008	1	111013	3508		让人更亲和火元素的油膏。以孕育火元素的物质制成，涂抹后能更有效地汇聚火元素。也会让人变得热情。			
40250009	1	111014	3509		让人更亲和水元素的油膏。湿湿滑滑的外用药，能让人更有效地引导水元素。有种微妙的气味。			
40250010	1	111015	3510		让人更亲和冰元素的油膏。涂抹后会感到冰冰凉凉，不容易出汗。提高冰元素魔导能力之余，还能让人浑身凉爽，头脑冷静。			
40250011	1	111016	3511		让人更亲和风元素的油膏。有着清香的气味。据说，如果使用这种药，在原野上旅行时，从来都是顺风而行。			
40250012	1	111017	3512		让人更亲和雷元素的油膏。触碰时感觉酥酥麻麻，涂抹以后会让人更容易导出雷元素。但据说有可能会引起电火花，可能会影响发型。			
40250013	1	111018	3513		让人更亲和岩元素的油膏。其中有着细小颗粒的药，涂抹时能感受到其中含有的岩元素。据说对跌打损伤也有好处。			
40300001	2	113003	4001		经历了千年之风的龙之羽。追求自由的本心使它几乎唤起轻风，好逃离现今的桎梏；但它的旧主对你的赏识，使它留在了你的掌心里。			
40300002	2	113004	4002		因为过去撕裂了伟大魔龙「杜林」的血肉的缘故，过去蕴含着骇人的猛毒的龙爪。但经过你的净化与治愈，其中躁动的毒性终于平息。			
40300003	2	113005	4003		东风之主的身躯是优美而通透的，信风与龙卷都愿为它效力。只要乘风而行，风就是它的同伴、它的歌声与它的自由。而它的敌人，就是一千种名字各异的风的敌人。			
40300004	2	113006	4004		失去了生命与形体的北风王狼仍有超越凡俗的伟大力量。为了迎接挑战而用冰与风复现的形体也无法容下它的全部，少数灵魂附在了在战斗中脱落的冰鳞上。			
40300005	2	113007	4005		这片大地曾经北风呼啸，呼气凝霜。如砂砾的冰与雪在寒风中嚣叫，飞舞着将肌肤撕裂，让血液凝结。如今的北风王狼力量虽然不如往昔，却仍有能将大地冰封的力量。			
40300006	2	113008	4006		这片大地上曾经北风呼啸，呼气凝霜。但它在最终终于明白，酷烈的北风只能熄灭生命，不能滋养生命。在生命的末尾，它让自己的力量流入这片大地，永远守护大地与大地的住民。			
40300007	2	113013	4007		传说中，命之座的图形反映着人的气质。而巡弋漆黑夜空的星辰之鲸，恐怕映照出的是粉碎一切、吞噬一切的狂傲理念吧…\n而接受了这一面的他，欣然唤出灭世的水之鲸，投身与你的战斗。			
40300008	2	113014	4008		因为曾经抵达无穷的至暗之地，以少年的双眼目睹了那个国度的漆黑，因此不可逆地染上了不应属于这个世界的深邃色彩。\n纵使「邪眼」的力量与其无关，但物似主人形…			
40300009	2	113015	4009		经过无尽历练的气势与战意在全力的厮杀中喷涌而出，物质化的产物。\n倘若人类拥有命运，那恐怕他的命运也为之歪曲了吧。否则，他又为何总是身处斗争的漩涡中心呢。			
40300011	2	113017	4010					
40300012	2	113018	4011					
40300013	2	113019	4012					
40310001	2	113001	4101		无相之风被击败后，所坍缩成的形态。其中蕴含着至纯的风之力。传说在纤细脆弱的蝴蝶体内，也藏有引发飓风的力量。这由纯粹的风构成的蝴蝶，无疑在等待着再次召来暴风的那一天吧。			
40310002	2	113002	4102		无相之雷用于汇聚元素，修复损伤的元素物质。其中蕴含着至纯的雷之力。棱镜能将构成光的色彩区分，而雷光棱镜将奔流的能量编织成纯粹的雷光。即使无相之雷已经被击败，雷元素也持续在这只棱镜中汇聚。			
40310003	2	113009	4103		无相之岩的外壳构成的石柱。由纯粹的岩元素高度浓缩而成。岩元素之最为沉重的元素。无相之岩将外壳筑成高耸的岩柱，将自己抬升至高处，或许不仅是为了应敌。或许也是为了更加接近与它无缘的天空吧。			
40310004	2	113010	4104		急冻树的原核。其中蕴含着纯净的冰元素。在大地深处中奔涌的能量与思念终归会喷发。就连哀思般沉寂的寒霜，也会附着在地面上的生命形态当中；即使原本不该狩猎生灵的藤蔓植物，也会变得庞大而凶悍吧。			
40310005	2	113011	4105		驱动爆炎树持续燃烧的种子。仿佛要点燃世间的一切草木般放射着火元素的热量。大地深处湍流不息的能量中运载着无穷的愿望。挟着烈火凭依在植物上，使它恒常地燃烧，并且渴望用爆裂的火炎洗净一切的，又是什么样的愿望呢。			
40310006	2	113012	4106		纯水精灵留下的永远透彻的一掬水。即使溶在了湖泊中，它的纯净也不会被稀释吧。但高洁如此的纯水精灵，又是为何渴望着地上生灵的模样，以净水模拟成生物的姿态呢，即使不需要呼吸、也不需要进食…			
40300010	2	113016	4107					
40310007	2	113020	4108					
40320001	2	104101	4201					
40320002	2	104102	4202					
40320003	2	104103	4203					
40320004	2	104104	4204					
40320005	2	104111	4205					
40320006	2	104112	4206					
40320007	2	104113	4207					
40320008	2	104114	4208					
40320009	2	104121	4209					
40320010	2	104122	4210					
40320011	2	104123	4211					
40320012	2	104124	4212					
40320013	2	104131	4213				1	
40320014	2	104132	4214				1	
40320015	2	104133	4215				1	
40320016	2	104134	4216				1	
40320017	2	104141	4217					
40320018	2	104142	4218					
40320019	2	104143	4219					
40320020	2	104144	4220					
40320021	2	104151	4221					
40320022	2	104152	4222					
40320023	2	104153	4223					
40320024	2	104154	4224					
40320025	2	104161	4225					
40320026	2	104162	4226					
40320027	2	104163	4227					
40320028	2	104164	4228					
40320029	2	104171	4229					
40320030	2	104172	4230					
40320031	2	104173	4231					
40320032	2	104174	4232					
40330001	2	114001	4301		最近被称为风龙废墟的地方，曾经是烈风的魔神「迭卡拉庇安」建造的王都。因这繁华之梦全是魔神之力所造，因此梦碎瞬间的破瓦断片也有强大的力量。			
40330002	2	114002	4302		烈风的魔神「迭卡拉庇安」对自己所造的王城十分满意，他在高塔上接受所有追随者的跪拜。但他却不知道，众人对他俯身并非出于敬仰爱戴。			
40330003	2	114003	4303		「安德留斯」曾经对高塔的孤王宣战，却也无法损伤王都分毫。若不是「自由」高歌的瞬间让这座城市土崩瓦解，这一切都会继续永远之梦。			
40330004	2	114004	4304		众人对高塔上的孤王俯身并非出于敬仰爱戴，而是被它的烈风吹得无法起身。这是巴巴托斯崛起之前，风神之一柱的野心与碎梦。\n它是如此用力地做梦，因此梦的碎片也带着强大的力量。			
40330005	2	114005	4305		群狼是受它祝福的近卫军，就算是小狼的乳牙也有相当的潜力。曾经的众神皆背负爱人的责任。因此引导群狼，却只收养弃婴、接纳流浪者的「安德留斯」十分异类。			
40330006	2	114006	4306		狼的生活经常伴有厮杀，断骨裂齿的死斗也不罕见。「安德留斯」认为人类只会带来失望，但是纯真的婴儿是无辜的。狼群选择了孩子，孩子如果也选择了狼，那么他们就结成了「卢皮卡」——命运的家族。			
40330007	2	114007	4307		狼群也充分理解，人如果没有同类会感到孤独。光荣的断牙是狼们离别的赠礼，据说真的有保护平安的魔力。\n在遥远世界的传说里，有一只母狼领养了伟大的双子。狼与人所同住的「家」则被称为「狼之洞」，也就是「卢佩卡」，与这个世界的「卢皮卡」同义。			
40330008	2	114008	4308		认为自己讨厌人类的奔狼之王，自觉无法去描绘人类的幸福生活，因此没有资格成为尘世的风之王。于是它选择了消失。但是事实不是这样的，它看着被抛弃之人的眼神是如此温柔。			
40330009	2	114009	4309		人们总是会对英雄的故事过分夸大啦。甚至是曾经束缚英雄的枷锁，都被升华到了自由之敌的高度。因此这些锁链也拥有了非凡的力量。			
40330010	2	114010	4310		曾经施在的大英雄温妮莎身上的枷锁——或者这么说吧，那个时代里，所有剑斗士都会背负镣铐。狮牙的斗士也只是其中一员。			
40330011	2	114011	4311		温妮莎并不是被镣铐或者锁链困住的，她想要挣脱枷锁和镣铐的话，随时都能击碎蒙德融造的普通金属。毕竟这里既没有优秀的矿石，也没有故乡的神火。\n锁住她的，是守护族人的责任。			
40330012	2	114012	4312		温妮莎从奴役之中得到了自由。结果锁住她的东西越来越大了：从族人变成了整个蒙德，甚至变成了「自由」，乃至这个世界。\n她是发自真心这么希望着的：愿这个世界变得更加坚强一些。			
40330013	2	114013	4313		孤云阁耸立的岩柱，曾经都是摩拉克斯为了镇伏敌手降下的岩枪。久而久之，魔神之体渗入了岩柱，使之拥有了圣性。岩柱偶尔会剥落一些散发着怨恨和不祥的碎屑。			
40330014	2	114014	4314		所以对于知情人士来说，孤云阁并不是什么愉快的海上奇观，而是曾经璃月众神的墓园。这里的确会周期性地涌起不祥和污秽，不过那都被另一个降妖伏魔的少年平息了。			
40330015	2	114015	4315		岩枪的核心是发着暗淡光辉的核心，那是战败魔神的力量深入岩石形成的。他们的怨恨并不针对摩拉克斯，因为他们早就已经没有自我了，不可能还残留私怨。			
40330016	2	114016	4316		于此躁动、作祟的，正是嗟叹连绵的众神圣骸之体。它们是未能实现的理想，对人类另一种幸福生活的描绘。它们以深海、层岩收纳，却不愿意就此入梦。			
40330017	2	114017	4317		绝云间乃是仙家府地。而相传仙家除了三眼五显神通，可以操纵尘世的元素之力外，另有三项不传秘：丹鼎、符箓与外景。			
40330018	2	114018	4318		符箓可以让仙人力量借符号残留，外景可以用心像造出宇宙洞天。丹鼎之术，则一直笼罩在秘密之中。毕竟尝试吞下这些金丹的话，结果必定十死无生。			
40330019	2	114019	4319		其实所谓金丹，真的是字面意思的金属之丹。这些都是仙人们制造的合金，融合了神通之力，可以给与武器超越的力量。武人似乎都觉得武道优于仙道，不怎么访神问仙。所以金丹并没什么机会给出去。			
40330020	2	114020	4320		这是金丹的最高品质，它模拟了混沌初开、清浊不分、天地一体的状态。据说这个是天地创世的缩影。当然，那位是知道的，世界的重现不是这样的。			
40330021	2	114021	4321		曾经在璃月云来海之外落下过一个漆黑陨铁，据说也是为了降伏魔兽妖物。但是因为沾染了强大的污秽之血，这块材料的特性已经不再是纯粹的岩王帝君之力了。			
40330022	2	114022	4322		璃月之地向来都有海怪的传说，毕竟彼方是超越提瓦特的未知区域了。没有了尘世七神的守护，外面不知道是怎样的一团混沌。能把岩王帝君的力量都染黑的，正是提瓦特秩序之外的力量。			
40330023	2	114023	4323		提瓦特沿海的诸国把超越七神庇护的外部称之为「暗之外海」，据说许多战败的魔神不愿意活在新的七神秩序之下，于是逃到了远岛，化作了邪神。不过它们的力量和岩王帝君的力量本就同源，和这个吞噬一切的漆黑并不一样。			
40330024	2	114024	4324		坎瑞亚覆灭的时代，某位大罪人制造了无数的魔兽。它们流淌着与此世不容的黑血，在大陆上践踏众生、破坏一切。它们的生命是变质的，由世界外的力量赐予的。硬要说的话，袭击蒙德的「杜林」也是此类。			
40331001	2	112005	4401		破碎的骨质面具，曾经属于某个丘丘人。破损的部分比完整的部分更多，已经失去了假面应有的功能。			
40331002	2	112006	4402		沾满了难以辨认的污渍，散发着微妙气味的骨质面具。即使这样也要戴在脸上，这就是丘丘人的执着。			
40331003	2	112007	4403		光亮的骨质面具，上面涂绘着意在恐吓敌人的油彩。丘丘人对面具的执着缘起为何，至今无人能解。一说认为是不愿看见自己在水中的倒影。			
40331004	2	112008	4404					
40331005	2	112009	4405					
40331006	2	112010	4406					
40331007	2	112011	4407					
40331008	2	112012	4408					
40331009	2	112013	4409		老旧的、沾染了干涸血迹的箭簇。箭头在反复的使用中已经失去了应有的锐利，根本不能作为武器使用。但它也代表着猎手的骄傲，是它们的护身符与奖章。			
40331010	2	112014	4410					
40331011	2	112015	4411					
40331012	2	112016	4412					
40332001	2	112017	4413				1	
40332002	2	112018	4414				1	
40332003	2	112019	4415				1	
40332004	2	112020	4416					
40332005	2	112021	4417					
40332006	2	112022	4418					
40333001	2	112026	4419					
40333002	2	112027	4420					
40333003	2	112028	4421					
40333004	2	112029	4422					
40333005	2	112030	4423					
40333006	2	112031	4424					
40333007	2	112032	4425					
40333008	2	112033	4426					
40333009	2	112034	4427					
40334002	2	112002	4429					
40334003	2	112003	4430					
40334004	2	112004	4431					
40334005	2	112038	4432		从花蕊中提取出的花蜜，其中含有少量元素。尝起来和甜甜花的味道有些微妙地相似。			
40334006	2	112039	4433		元素纯度较高的花蜜。学界一般认为骗骗花是元素植物的高级生命形态，但始终无法解明它的掠食习性。			
40334007	2	112040	4434		饱含能量的黏稠蜜汁。骗骗花欺瞒猎物是为了狩猎，而狩猎进食或许是为了进化成某种更强大、更纯粹的姿态吧…			
40335001	2	112041	4435		从幼龙蜥身上找到的某种骨片。尽管十分脆弱，其中似乎蕴含着某种难以言喻的力量。			
40335002	2	112042	4436		出于某种理由，幼龙蜥十分珍惜的某种生物骨片。看上去有一定的年头。即使是这种不通人言的龙兽，似乎对这种遗骸也拥有某种特殊的憧憬。			
40335003	2	112043	4437		击败幼龙蜥后有时能找到的石化骨片。幼龙蜥都梦想着成长为真正的龙。会把古老的化石认作是龙之骨而加以珍惜，或许是因为希冀着龙的永恒与强大吧。			
40336001	2	112035	4438					
40336002	2	112036	4439					
40336003	2	112037	4440					
40337001	2	112023	4441					
40337002	2	112024	4442					
40337003	2	112025	4443					
40340001	2	100584	4501		汇聚着巨龙体内的悠古之风与某种幽邃能量的结晶。崇高的风之龙曾被禁锢在由三种剧毒交织成的樊笼中：\n过去咽下的血、深渊来客的耳语，以及遭受遗忘的哀恸。\n循着泪水与诗人的话语，击碎毒血结成的圣钉，撕破囚禁巨龙的纱网…或许这就是只有随风而来的、自由的异乡人才能做到的事情吧。			
40340002	2	100585	4502		在遥远的过去，曾被用来镇压漩涡之魔神的某种物质碎片。这片土地上的住民曾经面对过高如山岳的怒涛，也曾在床榻上、睡梦中被摇撼地心的海啸惊醒；这些恐惧已经随着和平与岁月消逝了。\n但这也无妨。即使长眠海中的古老魔神再度醒转，也无法阻止新的时代来临。或许当初封印它的那位，期待的也不过是在数千年后的如今，能看见这样的景象吧。			
40350001	2	104301	4601		风之国土的精神是自由。自由其一，是生存的自由，即是能健全、健康地生活，而不必担心朝不保夕的自由。			
40350002	2	104302	4602		风之国土的精神是自由。自由其二，是漫游的自由，即是能在苍翠的土地上自由地通行，而不受阻挠的自由。			
40350003	2	104303	4603		风之国土的精神是自由。自由其三，是歌唱的自由，即是能在风之神塑造的美好土地上歌唱，让自己的心与歌一同随风而去的自由。			
40350004	2	104304	4604		风之国土的脊梁是抗争。蒙德的历史即是抗争的历史。抗争是为了蒙德过去的一切抗争不被遗忘，如同草木突破土壤，如同恒风洞穿石墙。			
40350005	2	104305	4605		风之国土的脊梁是抗争。蒙德的历史即是抗争的历史。抗争是为了蒙德现在的人们能够拥有自由，正如风之神吹散冰雪，正如温妮莎奋起抗争。			
40350006	2	104306	4606		风之国土的脊梁是抗争。蒙德的历史即是抗争的历史。抗争是为了蒙德未来的诗文，也能自由地随着眷顾的风，传到远方。			
40350007	2	104307	4607		风之国土的灵魂是诗文。诗文是美好的心意。在美好的日子里，吹拂原野的风中飘扬着田园诗、情诗，如和风拨动草叶般拨动人们的心。			
40350008	2	104308	4608		风之国土的灵魂是诗文。诗文是激励的心意。在黯淡的日子里，穿过巷道的风中低语着愤怒的诗文，如同战鼓，如同风暴前的低鸣。			
40350009	2	104309	4609		风之国土的灵魂是诗文。诗文是传颂的心意。即使一切都将逝去，即使一切都将不再，随风而行的诗歌，仍会将此世间一切美好传遍天空、大地与海洋的一切角落。			
