定制ID	对应圣遗物ID	定制等级	定制突破等级	定制主属性类别	定制追加属性ID
1044	82544	21		14001	501243;501233;501033;501223;501243;501233;501033;501223;501243
1045	82554	21		10004	501053;501023;501203;501223;501053;501023;501203;501223;501053
1051	80514	21		15008	501023;501233;501203;501223;501023;501233;501203;501223;501023
1052	80524	21		12001	501063;501243;501203;501093;501063;501243;501203;501093;501063
1053	80534	21		13007	501053;501233;501023;501083;501053;501233;501023;501083;501053
1054	80544	21		14001	501243;501233;501033;501223;501243;501233;501033;501223;501243
1055	80554	21		10004	501053;501023;501203;501223;501053;501023;501203;501223;501053
1061	92514	21		15015	501023;501233;501203;501223;501023;501233;501203;501223;501023
1062	92524	21		12001	501063;501243;501203;501093;501063;501243;501203;501093;501063
1063	92534	21		13007	501053;501233;501023;501083;501053;501233;501023;501083;501053
1064	92544	21		14001	501243;501233;501033;501223;501243;501233;501033;501223;501243
1065	92554	21		10004	501053;501023;501203;501223;501053;501023;501203;501223;501053
1071	90514	21		15011	501023;501233;501203;501223;501023;501233;501203;501223;501023
1072	90524	21		12001	501063;501243;501203;501093;501063;501243;501203;501093;501063
1073	90534	21		13008	501053;501233;501023;501083;501053;501233;501023;501083;501053
1074	90544	21		14001	501243;501233;501033;501223;501243;501233;501033;501223;501243
1075	90554	21		10004	501053;501023;501203;501223;501053;501023;501203;501223;501053
1081	79514	21		15009	501023;501233;501203;501223;501023;501233;501203;501223;501023
1082	79524	21		12001	501063;501243;501203;501093;501063;501243;501203;501093;501063
1083	79534	21		13007	501053;501233;501023;501083;501053;501233;501023;501083;501053
1084	79544	21		14001	501243;501233;501033;501223;501243;501233;501033;501223;501243
1085	79554	21		10004	501053;501023;501203;501223;501053;501023;501203;501223;501053
1091	88514	21		15013	501023;501233;501203;501223;501023;501233;501203;501223;501023
1092	88524	21		12001	501063;501243;501203;501093;501063;501243;501203;501093;501063
1093	88534	21		13007	501053;501233;501023;501083;501053;501233;501023;501083;501053
1094	88544	21		14001	501243;501233;501033;501223;501243;501233;501033;501223;501243
1095	88554	21		10006	501053;501023;501203;501223;501053;501023;501203;501223;501053
1101	81514	21		15011	501023;501233;501203;501223;501023;501233;501203;501223;501023
1102	81524	21		12001	501063;501243;501203;501093;501063;501243;501203;501093;501063
1103	81534	21		13007	501053;501233;501023;501083;501053;501233;501023;501083;501053
1104	81544	21		14001	501243;501233;501033;501223;501243;501233;501033;501223;501243
1105	81554	21		10007	501053;501023;501203;501223;501053;501023;501203;501223;501053
1111	75514	21		15015	501023;501233;501203;501223;501023;501233;501203;501223;501023
1112	75524	21		12001	501063;501243;501203;501093;501063;501243;501203;501093;501063
1113	75534	21		13007	501053;501233;501023;501083;501053;501233;501023;501083;501053
1114	75544	21		14001	501243;501233;501033;501223;501243;501233;501033;501223;501243
1115	75554	21		10004	501053;501023;501203;501223;501053;501023;501203;501223;501053
1121	71514	21		15010	501023;501233;501203;501223;501023;501233;501203;501223;501023
1122	71524	21		12001	501063;501243;501203;501093;501063;501243;501203;501093;501063
1123	71534	21		13007	501053;501233;501023;501083;501053;501233;501023;501083;501053
1124	71544	21		14001	501243;501233;501033;501223;501243;501233;501033;501223;501243
1125	71554	21		10004	501053;501023;501203;501223;501053;501023;501203;501223;501053
1131	79514	21		15009	501023;501233;501203;501223;501023;501233;501203;501223;501023
1132	79524	21		12001	501063;501243;501203;501093;501063;501243;501203;501093;501063
1133	79534	21		13007	501053;501233;501023;501083;501053;501233;501023;501083;501053
1134	79544	21		14001	501243;501233;501033;501223;501243;501233;501033;501223;501243
1135	79554	21		10004	501053;501023;501203;501223;501053;501023;501203;501223;501053
1141	76514	21		15007	501023;501233;501203;501223;501023;501233;501203;501223;501023
1142	76524	21		12001	501063;501243;501203;501093;501063;501243;501203;501093;501063
1143	76534	21		13010	501053;501233;501023;501083;501053;501233;501023;501083;501053
1144	76544	21		14001	501243;501233;501033;501223;501243;501233;501033;501223;501243
1145	76554	21		10007	501053;501023;501203;501223;501053;501023;501203;501223;501053
1151	74514	21		15006	501023;501233;501203;501223;501023;501233;501203;501223;501023
1152	74524	21		12001	501063;501243;501203;501093;501063;501243;501203;501093;501063
1153	74534	21		13006	501053;501233;501023;501083;501053;501233;501023;501083;501053
1154	74544	21		14001	501243;501233;501033;501223;501243;501233;501033;501223;501243
1155	74554	21		10007	501053;501023;501203;501223;501053;501023;501203;501223;501053
1161	81514	21		15006	501023;501233;501203;501223;501023;501233;501203;501223;501023
1162	81524	21		12001	501063;501243;501203;501093;501063;501243;501203;501093;501063
1163	81534	21		13006	501053;501233;501023;501083;501053;501233;501023;501083;501053
1164	81544	21		14001	501243;501233;501033;501223;501243;501233;501033;501223;501243
1165	81554	21		10004	501053;501023;501203;501223;501053;501023;501203;501223;501053
1171	74514	21		15002	501023;501233;501203;501223;501023;501233;501203;501223;501023
1172	74524	21		12001	501063;501243;501203;501093;501063;501243;501203;501093;501063
1173	74534	21		13002	501053;501233;501023;501083;501053;501233;501023;501083;501053
1174	74544	21		14001	501243;501233;501033;501223;501243;501233;501033;501223;501243
1175	74554	21		10007	501053;501023;501203;501223;501053;501023;501203;501223;501053
1181	74514	21		15002	501023;501233;501203;501223;501023;501233;501203;501223;501023
1182	74524	21		12001	501063;501243;501203;501093;501063;501243;501203;501093;501063
1183	74534	21		13009	501053;501233;501023;501083;501053;501233;501023;501083;501053
1184	74544	21		14001	501243;501233;501033;501223;501243;501233;501033;501223;501243
1185	74554	21		10007	501053;501023;501203;501223;501053;501023;501203;501223;501053
1191	80514	21		15008	501023;501233;501203;501223;501023;501233;501203;501223;501023
1192	75524	21		12001	501063;501243;501203;501093;501063;501243;501203;501093;501063
1193	80534	21		13008	501053;501233;501023;501083;501053;501233;501023;501083;501053
1194	75544	21		14001	501243;501233;501033;501223;501243;501233;501033;501223;501243
1195	80554	21		10004	501053;501023;501203;501223;501053;501023;501203;501223;501053
1201	76514	21		15012	501023;501233;501203;501223;501023;501233;501203;501223;501023
1202	76524	21		12001	501063;501243;501203;501093;501063;501243;501203;501093;501063
1203	76534	21		13010	501053;501233;501023;501083;501053;501233;501023;501083;501053
1204	76544	21		14001	501243;501233;501033;501223;501243;501233;501033;501223;501243
1205	76554	21		10008	501053;501023;501203;501223;501053;501023;501203;501223;501053
1211	80514	21		15008	501023;501233;501203;501223;501023;501233;501203;501223;501023
1212	80524	21		12001	501063;501243;501203;501093;501063;501243;501203;501093;501063
1213	80534	21		13008	501053;501233;501023;501083;501053;501233;501023;501083;501053
1214	80544	21		14001	501243;501233;501033;501223;501243;501233;501033;501223;501243
1215	80554	21		10004	501053;501023;501203;501223;501053;501023;501203;501223;501053
1221	71514	21		15010	501023;501233;501203;501223;501023;501233;501203;501223;501023
1222	71524	21		12001	501063;501243;501203;501093;501063;501243;501203;501093;501063
1223	71534	21		13007	501053;501233;501023;501083;501053;501233;501023;501083;501053
1224	71544	21		14001	501243;501233;501033;501223;501243;501233;501033;501223;501243
1225	71554	21		10004	501053;501023;501203;501223;501053;501023;501203;501223;501053
1231	80514	21		15008	501023;501233;501203;501223;501023;501233;501203;501223;501023
1232	80524	21		12001	501063;501243;501203;501093;501063;501243;501203;501093;501063
1233	80534	21		13008	501053;501233;501023;501083;501053;501233;501023;501083;501053
1234	80544	21		14001	501243;501233;501033;501223;501243;501233;501033;501223;501243
1235	80554	21		10004	501053;501023;501203;501223;501053;501023;501203;501223;501053
1241	76514	21		15007	501023;501233;501203;501223;501023;501233;501203;501223;501023
1242	76524	21		12001	501063;501243;501203;501093;501063;501243;501203;501093;501063
1243	76534	21		13010	501053;501233;501023;501083;501053;501233;501023;501083;501053
1244	76544	21		14001	501243;501233;501033;501223;501243;501233;501033;501223;501243
1245	76554	21		10007	501053;501023;501203;501223;501053;501023;501203;501223;501053
