等级	[曲线]1类型	[曲线]1运算	[曲线]1值	[曲线]2类型	[曲线]2运算	[曲线]2值	[曲线]3类型	[曲线]3运算	[曲线]3值	[曲线]4类型	[曲线]4运算	[曲线]4值	[曲线]5类型	[曲线]5运算	[曲线]5值	[曲线]6类型	[曲线]6运算	[曲线]6值	[曲线]7类型	[曲线]7运算	[曲线]7值	[曲线]8类型	[曲线]8运算	[曲线]8值	[曲线]9类型	[曲线]9运算	[曲线]9值	[曲线]10类型	[曲线]10运算	[曲线]10值
27	1	2	93.66512	2	2	19.58528	12	2	1.27	4	1	0	9	1	0	10	1	0	11	2	1.292135	14	2	1	18	2	132.621951	19	2	20.036413
28	1	2	98.48837	2	2	20.29613	12	2	1.28	4	1	0	9	1	0	10	1	0	11	2	1.303371	14	2	1	18	2	142.258672	19	2	20.99646
29	1	2	103.4069	2	2	21.0176	12	2	1.29	4	1	0	9	1	0	10	1	0	11	2	1.314607	14	2	1	18	2	151.895394	19	2	21.956508
30	1	2	108.4217	2	2	21.74973	12	2	1.3	4	1	0	9	1	0	10	1	0	11	2	1.325843	14	2	1	18	2	161.532115	19	2	22.916555
31	1	2	114.4719	2	2	22.61761	12	2	1.31	4	1	0	9	1	0	10	1	0	11	2	1.337079	14	2	1	18	2	171.168837	19	2	23.876603
32	1	2	120.6543	2	2	23.50049	12	2	1.32	4	1	0	9	1	0	10	1	0	11	2	1.348315	14	2	1	18	2	180.805558	19	2	24.83665
33	1	2	125.744	2	2	24.3984	12	2	1.33	4	1	0	9	1	0	10	1	0	11	2	1.359551	14	2	1	18	2	190.44228	19	2	25.796698
34	1	2	148.7045	2	2	25.37062	12	2	1.34	4	1	0	9	1	0	10	1	0	11	2	1.370787	14	2	1	18	2	200.079001	19	2	26.756745
35	1	2	153.7546	2	2	26.19798	12	2	1.35	4	1	0	9	1	0	10	1	0	11	2	1.382022	14	2	1	18	2	209.715722	19	2	27.716793
36	1	2	158.886	2	2	27.03764	12	2	1.36	4	1	0	9	1	0	10	1	0	11	2	1.393258	14	2	1	18	2	219.352444	19	2	28.67684
37	1	2	165.88	2	2	28.30728	12	2	1.37	4	1	0	9	1	0	10	1	0	11	2	1.404494	14	2	1	18	2	228.989165	19	2	29.636888
38	1	2	173.5809	2	2	29.66658	12	2	1.38	4	1	0	9	1	0	10	1	0	11	2	1.41573	14	2	1	18	2	238.625887	19	2	30.596935
39	1	2	181.4102	2	2	31.05228	12	2	1.39	4	1	0	9	1	0	10	1	0	11	2	1.426966	14	2	1	18	2	248.262608	19	2	31.556983
40	1	2	198.3841	2	2	32.51703	12	2	1.4	4	1	0	9	1	0	10	1	0	11	2	1.438202	14	2	1	18	2	257.89933	19	2	32.51703
41	1	2	207.9781	2	2	34.0855	12	2	1.41	4	1	0	9	1	0	10	1	0	11	2	1.449438	14	2	1	18	2	294.363932	19	2	34.775003
42	1	2	217.7367	2	2	35.68458	12	2	1.42	4	1	0	9	1	0	10	1	0	11	2	1.460674	14	2	1	18	2	330.828533	19	2	37.032977
43	1	2	227.0249	2	2	37.24761	12	2	1.43	4	1	0	9	1	0	10	1	0	11	2	1.47191	14	2	1	18	2	367.293135	19	2	39.29095
44	1	2	236.4653	2	2	38.8393	12	2	1.44	4	1	0	9	1	0	10	1	0	11	2	1.483146	14	2	1	18	2	403.757736	19	2	41.548924
45	1	2	264.514	2	2	40.45966	12	2	1.45	4	1	0	9	1	0	10	1	0	11	2	1.494382	14	2	1	18	2	440.222338	19	2	43.806897
46	1	2	273.7571	2	2	41.71497	12	2	1.46	4	1	0	9	1	0	10	1	0	11	2	1.505618	14	2	1	18	2	476.686939	19	2	46.064871
47	1	2	289.6475	2	2	43.60169	12	2	1.47	4	1	0	9	1	0	10	1	0	11	2	1.516854	14	2	1	18	2	513.151541	19	2	48.322844
48	1	2	305.8628	2	2	45.52411	12	2	1.48	4	1	0	9	1	0	10	1	0	11	2	1.52809	14	2	1	18	2	549.616142	19	2	50.580818
49	1	2	322.4075	2	2	47.48235	12	2	1.49	4	1	0	9	1	0	10	1	0	11	2	1.539326	14	2	1	18	2	586.080744	19	2	52.838791
50	1	2	367.8213	2	2	50.14548	12	2	1.5	4	1	0	9	1	0	10	1	0	11	2	1.550562	14	2	1	18	2	622.545345	19	2	55.096765
51	1	2	384.5919	2	2	51.97996	12	2	1.51	4	1	0	9	1	0	10	1	0	11	2	1.561798	14	2	1	18	2	659.009946	19	2	57.354738
52	1	2	401.5548	2	2	53.83439	12	2	1.52	4	1	0	9	1	0	10	1	0	11	2	1.573034	14	2	1	18	2	695.474548	19	2	59.612712
53	1	2	418.7124	2	2	55.7086	12	2	1.53	4	1	0	9	1	0	10	1	0	11	2	1.58427	14	2	1	18	2	731.939149	19	2	61.870685
54	1	2	436.0667	2	2	57.60231	12	2	1.54	4	1	0	9	1	0	10	1	0	11	2	1.595506	14	2	1	18	2	768.403751	19	2	64.128659
55	1	2	452.5111	2	2	59.40968	12	2	1.55	4	1	0	9	1	0	10	1	0	11	2	1.606742	14	2	1	18	2	804.868352	19	2	66.386632
56	1	2	466.241	2	2	60.96815	12	2	1.56	4	1	0	9	1	0	10	1	0	11	2	1.617978	14	2	1	18	2	841.332954	19	2	68.644606
57	1	2	483.8348	2	2	63.18038	12	2	1.57	4	1	0	9	1	0	10	1	0	11	2	1.629213	14	2	1	18	2	877.797555	19	2	70.90258
58	1	2	503.1843	2	2	65.56533	12	2	1.58	4	1	0	9	1	0	10	1	0	11	2	1.640449	14	2	1	18	2	914.262157	19	2	73.160553
59	1	2	522.7799	2	2	67.97952	12	2	1.59	4	1	0	9	1	0	10	1	0	11	2	1.651685	14	2	1	18	2	950.726758	19	2	75.418527
60	1	2	616.9946	2	2	70.615	12	2	1.6	4	1	0	9	1	0	10	1	0	11	2	1.662921	14	2	1	18	2	987.19136	19	2	77.6765
61	1	2	637.3271	2	2	72.87743	12	2	1.61	4	1	0	9	1	0	10	1	0	11	2	1.674157	14	2	1	18	2	1074.505292	19	2	81.317826
62	1	2	659.6903	2	2	75.3163	12	2	1.62	4	1	0	9	1	0	10	1	0	11	2	1.685393	14	2	1	18	2	1161.819224	19	2	84.959153
63	1	2	682.2833	2	2	77.77995	12	2	1.63	4	1	0	9	1	0	10	1	0	11	2	1.696629	14	2	1	18	2	1249.133156	19	2	88.600479
64	1	2	711.7287	2	2	80.84824	12	2	1.64	4	1	0	9	1	0	10	1	0	11	2	1.707865	14	2	1	18	2	1336.447088	19	2	92.241806
65	1	2	734.9008	2	2	83.39035	12	2	1.65	4	1	0	9	1	0	10	1	0	11	2	1.719101	14	2	1	18	2	1423.76102	19	2	95.883132
66	1	2	753.9569	2	2	85.24774	12	2	1.66	4	1	0	9	1	0	10	1	0	11	2	1.730337	14	2	1	18	2	1511.074952	19	2	99.524458
67	1	2	829.3079	2	2	89.40919	12	2	1.67	4	1	0	9	1	0	10	1	0	11	2	1.741573	14	2	1	18	2	1598.388884	19	2	103.165785
68	1	2	855.3966	2	2	92.12469	12	2	1.68	4	1	0	9	1	0	10	1	0	11	2	1.752809	14	2	1	18	2	1685.702816	19	2	106.807111
69	1	2	879.7074	2	2	94.70249	12	2	1.69	4	1	0	9	1	0	10	1	0	11	2	1.764045	14	2	1	18	2	1773.016748	19	2	110.448438
70	1	2	960.8343	2	2	97.48067	12	2	1.7	4	1	0	9	1	0	10	1	0	11	2	1.775281	14	2	1	18	2	1860.33068	19	2	114.089764
71	1	2	987.2563	2	2	100.11726	12	2	1.71	4	1	0	9	1	0	10	1	0	11	2	1.786517	14	2	1	18	2	1947.644612	19	2	117.73109
72	1	2	1016.308	2	2	102.95798	12	2	1.72	4	1	0	9	1	0	10	1	0	11	2	1.797753	14	2	1	18	2	2034.958544	19	2	121.372417
73	1	2	1037.415	2	2	105.19038	12	2	1.73	4	1	0	9	1	0	10	1	0	11	2	1.808989	14	2	1	18	2	2122.272476	19	2	125.013743
74	1	2	1067.75	2	2	108.15596	12	2	1.74	4	1	0	9	1	0	10	1	0	11	2	1.820225	14	2	1	18	2	2209.586408	19	2	128.65507
75	1	2	1098.412	2	2	111.14884	12	2	1.75	4	1	0	9	1	0	10	1	0	11	2	1.831461	14	2	1	18	2	2296.90034	19	2	132.296396
76	1	2	1123.775	2	2	113.33174	12	2	1.76	4	1	0	9	1	0	10	1	0	11	2	1.842697	14	2	1	18	2	2384.214272	19	2	135.937722
77	1	2	1153.119	2	2	116.23478	12	2	1.77	4	1	0	9	1	0	10	1	0	11	2	1.853933	14	2	1	18	2	2471.528204	19	2	139.579049
78	1	2	1182.76	2	2	119.16229	12	2	1.78	4	1	0	9	1	0	10	1	0	11	2	1.865169	14	2	1	18	2	2558.842136	19	2	143.220375
79	1	2	1210.233	2	2	121.92657	12	2	1.79	4	1	0	9	1	0	10	1	0	11	2	1.876404	14	2	1	18	2	2646.156068	19	2	146.861702
80	1	2	1366.735	2	2	125.41919	12	2	1.8	4	1	0	9	1	0	10	1	0	11	2	1.88764	14	2	1	18	2	2733.47	19	2	150.503028
81	1	2	1394.867	2	2	128.0491	12	2	1.81	4	1	0	9	1	0	10	1	0	11	2	1.898876	14	2	1	18	2	2820.783932	19	2	154.144354
82	1	2	1423.247	2	2	130.69697	12	2	1.82	4	1	0	9	1	0	10	1	0	11	2	1.910112	14	2	1	18	2	2908.097864	19	2	157.785681
83	1	2	1440.909	2	2	132.59346	12	2	1.83	4	1	0	9	1	0	10	1	0	11	2	1.921348	14	2	1	18	2	2995.411796	19	2	161.427007
84	1	2	1485.468	2	2	134.49482	12	2	1.84	4	1	0	9	1	0	10	1	0	11	2	1.932584	14	2	1	18	2	3082.725728	19	2	165.068334
85	1	2	1503.56	2	2	136.40101	12	2	1.85	4	1	0	9	1	0	10	1	0	11	2	1.94382	14	2	1	18	2	3170.03966	19	2	168.70966
86	1	2	1532.91	2	2	138.65791	12	2	1.86	4	1	0	9	1	0	10	1	0	11	2	1.955056	14	2	1	18	2	3257.353592	19	2	172.350986
87	1	2	1563.946	2	2	141.59421	12	2	1.87	4	1	0	9	1	0	10	1	0	11	2	1.966292	14	2	1	18	2	3344.667524	19	2	175.992313
88	1	2	1598.809	2	2	144.79605	12	2	1.88	4	1	0	9	1	0	10	1	0	11	2	1.977528	14	2	1	18	2	3431.981456	19	2	179.633639
89	1	2	1634.08	2	2	148.02296	12	2	1.89	4	1	0	9	1	0	10	1	0	11	2	1.988764	14	2	1	18	2	3519.295388	19	2	183.274966
90	1	2	1792.851	2	2	151.52366	12	2	1.9	4	1	0	9	1	0	10	1	0	11	2	2	14	2	1	18	2	3606.60932	19	2	186.916292
91	1	2	1835.423	2	2	155.44891	12	2	1.91	4	1	0	9	1	0	10	1	0	11	2	2	14	2	1	18	2	3693.923252	19	2	190.557618
92	1	2	1882.428	2	2	159.68016	12	2	1.92	4	1	0	9	1	0	10	1	0	11	2	2	14	2	1	18	2	3781.237184	19	2	194.198945
93	1	2	1930.047	2	2	163.96824	12	2	1.93	4	1	0	9	1	0	10	1	0	11	2	2	14	2	1	18	2	3868.551116	19	2	197.840271
94	1	2	1996.661	2	2	169.54304	12	2	1.94	4	1	0	9	1	0	10	1	0	11	2	2	14	2	1	18	2	3955.865048	19	2	201.481598
95	1	2	2042.759	2	2	173.8133	12	2	1.95	4	1	0	9	1	0	10	1	0	11	2	2	14	2	1	18	2	4043.17898	19	2	205.122924
96	1	2	2055.588	2	2	175.20334	12	2	1.96	4	1	0	9	1	0	10	1	0	11	2	2	14	2	1	18	2	4130.492912	19	2	208.76425
97	1	2	2069.809	2	2	176.75739	12	2	1.97	4	1	0	9	1	0	10	1	0	11	2	2	14	2	1	18	2	4217.806844	19	2	212.405577
98	1	2	2256.937	2	2	189.76929	12	2	1.98	4	1	0	9	1	0	10	1	0	11	2	2	14	2	1	18	2	4305.120776	19	2	216.046903
99	1	2	2272.524	2	2	191.44692	12	2	1.99	4	1	0	9	1	0	10	1	0	11	2	2	14	2	1	18	2	4392.434708	19	2	219.68823
100	1	2	2706.502	2	2	196.03574	12	2	2	4	1	0	9	1	0	10	1	0	11	2	2	14	2	1	18	2	4479.74864	19	2	223.329556
101	1	2	2770.433083	2	2	196.423744	12	2	2.01	4	1	0	9	1	0	10	1	0	11	2	2	14	2	1	18	2	4567.062572	19	2	226.970882
102	1	2	2835.451413	2	2	196.812013	12	2	2.02	4	1	0	9	1	0	10	1	0	11	2	2	14	2	1	18	2	4654.376504	19	2	230.612209
103	1	2	2901.570598	2	2	197.200593	12	2	2.03	4	1	0	9	1	0	10	1	0	11	2	2	14	2	1	18	2	4741.690436	19	2	234.253535
104	1	2	2968.804108	2	2	197.589393	12	2	2.04	4	1	0	9	1	0	10	1	0	11	2	2	14	2	1	18	2	4829.004368	19	2	237.894862
105	1	2	3199.580462	2	2	197.978503	12	2	2.05	4	1	0	9	1	0	10	1	0	11	2	2	14	2	1	18	2	4916.3183	19	2	241.536188
106	1	2	3272.799249	2	2	198.367879	12	2	2.06	4	1	0	9	1	0	10	1	0	11	2	2	14	2	1	18	2	5003.632232	19	2	245.177514
107	1	2	3347.234099	2	2	198.757519	12	2	2.07	4	1	0	9	1	0	10	1	0	11	2	2	14	2	1	18	2	5090.946164	19	2	248.818841
108	1	2	3422.899146	2	2	199.147426	12	2	2.08	4	1	0	9	1	0	10	1	0	11	2	2	14	2	1	18	2	5178.260096	19	2	252.460167
109	1	2	3499.808304	2	2	199.537642	12	2	2.09	4	1	0	9	1	0	10	1	0	11	2	2	14	2	1	18	2	5265.574028	19	2	256.101494
110	1	2	3938.627503	2	2	199.928123	12	2	2.1	4	1	0	9	1	0	10	1	0	11	2	2	14	2	1	18	2	5352.88796	19	2	259.74282
111	1	2	4026.07472	2	2	200.318825	12	2	2.11	4	1	0	9	1	0	10	1	0	11	2	2	14	2	1	18	2	5440.201892	19	2	263.384146
112	1	2	4114.938015	2	2	200.709837	12	2	2.12	4	1	0	9	1	0	10	1	0	11	2	2	14	2	1	18	2	5527.515824	19	2	267.025473
113	1	2	4205.232921	2	2	201.101115	12	2	2.13	4	1	0	9	1	0	10	1	0	11	2	2	14	2	1	18	2	5614.829756	19	2	270.666799
114	1	2	4296.974971	2	2	201.492702	12	2	2.14	4	1	0	9	1	0	10	1	0	11	2	2	14	2	1	18	2	5702.143688	19	2	274.308126
115	1	2	4496.222541	2	2	201.88451	12	2	2.15	4	1	0	9	1	0	10	1	0	11	2	2	14	2	1	18	2	5789.45762	19	2	277.949452
116	1	2	4593.192285	2	2	202.276628	12	2	2.16	4	1	0	9	1	0	10	1	0	11	2	2	14	2	1	18	2	5876.771552	19	2	281.590778
117	1	2	4691.691622	2	2	202.668967	12	2	2.17	4	1	0	9	1	0	10	1	0	11	2	2	14	2	1	18	2	5964.085484	19	2	285.232105
118	1	2	4791.736528	2	2	203.061615	12	2	2.18	4	1	0	9	1	0	10	1	0	11	2	2	14	2	1	18	2	6051.399416	19	2	288.873431
119	1	2	4893.342756	2	2	203.454529	12	2	2.19	4	1	0	9	1	0	10	1	0	11	2	2	14	2	1	18	2	6138.713348	19	2	292.514758
120	1	2	5299.346069	2	2	203.847753	12	2	2.2	4	1	0	9	1	0	10	1	0	11	2	2	14	2	1	18	2	6226.02728	19	2	296.156084
121	1	2	5399.216652	2	2	204.241198	12	2	2.21	4	1	0	9	1	0	10	1	0	11	2	2	14	2	1	18	2	6313.341212	19	2	299.79741
122	1	2	5500.462529	2	2	204.634952	12	2	2.22	4	1	0	9	1	0	10	1	0	11	2	2	14	2	1	18	2	6400.655144	19	2	303.438737
123	1	2	5603.097541	2	2	205.028928	12	2	2.23	4	1	0	9	1	0	10	1	0	11	2	2	14	2	1	18	2	6487.969076	19	2	307.080063
124	1	2	5707.135453	2	2	205.423213	12	2	2.24	4	1	0	9	1	0	10	1	0	11	2	2	14	2	1	18	2	6575.283008	19	2	310.72139
125	1	2	5812.590106	2	2	205.817764	12	2	2.25	4	1	0	9	1	0	10	1	0	11	2	2	14	2	1	18	2	6662.59694	19	2	314.362716
126	1	2	5919.475118	2	2	206.21258	12	2	2.26	4	1	0	9	1	0	10	1	0	11	2	2	14	2	1	18	2	6749.910872	19	2	318.004042
127	1	2	6027.804402	2	2	206.607705	12	2	2.27	4	1	0	9	1	0	10	1	0	11	2	2	14	2	1	18	2	6837.224804	19	2	321.645369
128	1	2	6137.591652	2	2	207.003052	12	2	2.28	4	1	0	9	1	0	10	1	0	11	2	2	14	2	1	18	2	6924.538736	19	2	325.286695
129	1	2	6248.850633	2	2	207.398708	12	2	2.29	4	1	0	9	1	0	10	1	0	11	2	2	14	2	1	18	2	7011.852668	19	2	328.928022
130	1	2	6361.595112	2	2	207.79463	12	2	2.3	4	1	0	9	1	0	10	1	0	11	2	2	14	2	1	18	2	7099.1666	19	2	332.569348
131	1	2	6475.838928	2	2	208.190817	12	2	2.31	4	1	0	9	1	0	10	1	0	11	2	2	14	2	1	18	2	7186.480532	19	2	336.210674
132	1	2	6591.595774	2	2	208.58727	12	2	2.32	4	1	0	9	1	0	10	1	0	11	2	2	14	2	1	18	2	7273.794464	19	2	339.852001
133	1	2	6708.879417	2	2	208.983988	12	2	2.33	4	1	0	9	1	0	10	1	0	11	2	2	14	2	1	18	2	7361.108396	19	2	343.493327
134	1	2	6827.703696	2	2	209.381016	12	2	2.34	4	1	0	9	1	0	10	1	0	11	2	2	14	2	1	18	2	7448.422328	19	2	347.134654
135	1	2	6948.082303	2	2	209.778309	12	2	2.35	4	1	0	9	1	0	10	1	0	11	2	2	14	2	1	18	2	7535.73626	19	2	350.77598
136	1	2	7070.029078	2	2	210.175823	12	2	2.36	4	1	0	9	1	0	10	1	0	11	2	2	14	2	1	18	2	7623.050192	19	2	354.417306
137	1	2	7193.557715	2	2	210.573646	12	2	2.37	4	1	0	9	1	0	10	1	0	11	2	2	14	2	1	18	2	7710.364124	19	2	358.058633
138	1	2	7318.681979	2	2	210.97178	12	2	2.38	4	1	0	9	1	0	10	1	0	11	2	2	14	2	1	18	2	7797.678056	19	2	361.699959
139	1	2	7445.415783	2	2	211.370134	12	2	2.39	4	1	0	9	1	0	10	1	0	11	2	2	14	2	1	18	2	7884.991988	19	2	365.341286
140	1	2	7573.772747	2	2	211.768754	12	2	2.4	4	1	0	9	1	0	10	1	0	11	2	2	14	2	1	18	2	7972.30592	19	2	368.982612
141	1	2	7703.766637	2	2	212.167684	12	2	2.41	4	1	0	9	1	0	10	1	0	11	2	2	14	2	1	18	2	8059.619852	19	2	372.623938
142	1	2	7835.411366	2	2	212.566879	12	2	2.42	4	1	0	9	1	0	10	1	0	11	2	2	14	2	1	18	2	8146.933784	19	2	376.265265
143	1	2	7968.720554	2	2	212.966339	12	2	2.43	4	1	0	9	1	0	10	1	0	11	2	2	14	2	1	18	2	8234.247716	19	2	379.906591
144	1	2	8103.708039	2	2	213.366065	12	2	2.44	4	1	0	9	1	0	10	1	0	11	2	2	14	2	1	18	2	8321.561648	19	2	383.547918
145	1	2	8240.387515	2	2	213.766056	12	2	2.45	4	1	0	9	1	0	10	1	0	11	2	2	14	2	1	18	2	8408.87558	19	2	387.189244
146	1	2	8378.772895	2	2	214.166357	12	2	2.46	4	1	0	9	1	0	10	1	0	11	2	2	14	2	1	18	2	8496.189512	19	2	390.83057
147	1	2	8518.877797	2	2	214.566879	12	2	2.47	4	1	0	9	1	0	10	1	0	11	2	2	14	2	1	18	2	8583.503444	19	2	394.471897
148	1	2	8660.716137	2	2	214.967711	12	2	2.48	4	1	0	9	1	0	10	1	0	11	2	2	14	2	1	18	2	8670.817376	19	2	398.113223
149	1	2	8804.301531	2	2	215.368808	12	2	2.49	4	1	0	9	1	0	10	1	0	11	2	2	14	2	1	18	2	8758.131308	19	2	401.75455
150	1	2	8949.647821	2	2	215.77017	12	2	2.5	4	1	0	9	1	0	10	1	0	11	2	2	14	2	1	18	2	8845.44524	19	2	405.395876
151	1	2	9096.768846	2	2	216.171798	12	2	2.51	4	1	0	9	1	0	10	1	0	11	2	2	14	2	1	18	2	8932.759172	19	2	409.037202
152	1	2	9245.678224	2	2	216.573735	12	2	2.52	4	1	0	9	1	0	10	1	0	11	2	2	14	2	1	18	2	9020.073104	19	2	412.678529
153	1	2	9396.38987	2	2	216.975893	12	2	2.53	4	1	0	9	1	0	10	1	0	11	2	2	14	2	1	18	2	9107.387036	19	2	416.319855
154	1	2	9548.917476	2	2	217.378362	12	2	2.54	4	1	0	9	1	0	10	1	0	11	2	2	14	2	1	18	2	9194.700968	19	2	419.961182
155	1	2	9703.274809	2	2	217.781095	12	2	2.55	4	1	0	9	1	0	10	1	0	11	2	2	14	2	1	18	2	9282.0149	19	2	423.602508
156	1	2	9859.475633	2	2	218.184094	12	2	2.56	4	1	0	9	1	0	10	1	0	11	2	2	14	2	1	18	2	9369.328832	19	2	427.243834
157	1	2	10017.533716	2	2	218.587358	12	2	2.57	4	1	0	9	1	0	10	1	0	11	2	2	14	2	1	18	2	9456.642764	19	2	430.885161
158	1	2	10177.462898	2	2	218.990932	12	2	2.58	4	1	0	9	1	0	10	1	0	11	2	2	14	2	1	18	2	9543.956696	19	2	434.526487
159	1	2	10339.27687	2	2	219.394728	12	2	2.59	4	1	0	9	1	0	10	1	0	11	2	2	14	2	1	18	2	9631.270628	19	2	438.167814
160	1	2	10502.989473	2	2	219.798832	12	2	2.6	4	1	0	9	1	0	10	1	0	11	2	2	14	2	1	18	2	9718.58456	19	2	441.80914
161	1	2	10585.561985	2	2	220.203202	12	2	2.61	4	1	0	9	1	0	10	1	0	11	2	2	14	2	1	18	2	9805.898492	19	2	445.450466
162	1	2	10668.614399	2	2	220.607838	12	2	2.62	4	1	0	9	1	0	10	1	0	11	2	2	14	2	1	18	2	9893.212424	19	2	449.091793
163	1	2	10752.148263	2	2	221.012739	12	2	2.63	4	1	0	9	1	0	10	1	0	11	2	2	14	2	1	18	2	9980.526356	19	2	452.733119
164	1	2	10836.165415	2	2	221.417949	12	2	2.64	4	1	0	9	1	0	10	1	0	11	2	2	14	2	1	18	2	10067.840288	19	2	456.374446
165	1	2	10920.66755	2	2	221.823381	12	2	2.65	4	1	0	9	1	0	10	1	0	11	2	2	14	2	1	18	2	10155.15422	19	2	460.015772
166	1	2	11005.65636	2	2	222.229122	12	2	2.66	4	1	0	9	1	0	10	1	0	11	2	2	14	2	1	18	2	10242.468152	19	2	463.657098
167	1	2	11091.133613	2	2	222.635129	12	2	2.67	4	1	0	9	1	0	10	1	0	11	2	2	14	2	1	18	2	10329.782084	19	2	467.298425
168	1	2	11177.100928	2	2	223.041401	12	2	2.68	4	1	0	9	1	0	10	1	0	11	2	2	14	2	1	18	2	10417.096016	19	2	470.939751
169	1	2	11263.560218	2	2	223.447939	12	2	2.69	4	1	0	9	1	0	10	1	0	11	2	2	14	2	1	18	2	10504.409948	19	2	474.581078
170	1	2	11350.512956	2	2	223.854742	12	2	2.7	4	1	0	9	1	0	10	1	0	11	2	2	14	2	1	18	2	10591.72388	19	2	478.222404
171	1	2	11437.961057	2	2	224.261854	12	2	2.71	4	1	0	9	1	0	10	1	0	11	2	2	14	2	1	18	2	10679.037812	19	2	481.86373
