ID	类型	是否忽略navmesh	LevelEntityConfig	entity排序	指定角色列表	指定角色上限	保底拉回ScenePoint
31304	2						
31400	2						
31401	2						
31402	2						
31403	2						
31404	2						
31500	2						
31501	2						
31502	2						
31503	2						
31504	2						
31600	2						
31601	2						
31602	2						
31603	2						
31604	2						
31700	2						
31701	2						
31702	2						
31703	2						
31704	2						
31800	2						
31801	2						
31802	2						
31803	2						
31804	2						
31900	2						
31901	2						
31902	2						
31903	2						
31904	2						
32000	2						
32001	2						
32002	2						
32003	2						
32004	2						
32100	2						
32101	2						
32102	2						
32103	2						
32104	2						
32200	2						
32201	2						
32202	2						
32203	2						
32204	2						
33100	2						
33101	2						
33102	2						
33103	2						
34100	2						
34101	2						
34102	2						
34103	2						
35100	2						
35101	2						
35102	2						
35103	2						
33401	2						
33402	2						
33403	2						
33404	2						
34401	2						
34402	2						
34403	2						
34404	2						
35401	2						
35402	2						
35403	2						
35404	2						
33700	2						
33701	2						
33702	2						
33703	2						
33704	2						
33705	2						
33706	2						
33707	2						
33708	2						
33709	2						
33710	2						
33711	2						
33712	2						
33713	2						
33714	2						
33715	2						
33716	2						
34700	2						
34701	2						
34702	2						
34703	2						
34704	2						
34705	2						
34706	2						
34707	2						
34708	2						
34709	2						
34710	2						
34711	2						
34712	2						
34713	2						
34714	2						
34715	2						
34716	2						
35700	2						
35701	2						
35702	2						
35703	2						
35704	2						
35705	2						
35706	2						
35707	2						
35708	2						
35709	2						
35710	2						
35711	2						
35712	2						
35713	2						
35714	2						
35715	2						
35716	2						
35800	2		Level_WindFlora_Dungeon				
40001	2						
40002	2						
40003	2						
40004	2						
40005	2						
40006	2						
40007	2						
40008	2						
40009	2						
40010	2						
40012	2						
40013	2						
40014	2						
40015	2						
40016	2						
40017	2						
40018	2						
40019	2						
40020	2						
40021	2						
40022	2						
40023	2						
40024	2						
40025	2						
40026	2						
40027	2						
40028	2						
40029	2						
40030	2						
40031	2						
40032	2						
40033	2						
40034	2						
40035	2						
40036	2						
40037	2						
40038	2						
40039	2						
40040	2						
40041	2						
40042	2						
40043	2						
40046	2						
40100	2						
40101	2						
40102	2						
40103	2						
40104	2						
40105	2						
40200	2						
40201	2						
40202	2						
40203	2						
40300	2						
40301	2						
40302	2						
40303	2						
40400	2						
40401	2						
40402	2						
40403	2						
40404	2						
40405	2						
40406	2						
40407	2						
40408	2						
40409	2						
40410	2						
40500	2						
40501	2						
40502	2						
40503	2						
40504	2						
40505	2						
40506	2						
40507	2						
40508	2						
40509	2						
40510	2						
40511	2						
40512	2						
40513	2						
40514	2						
40515	2						
40516	2						
40517	2						
40600	2						
40601	2						
40602	2						
40603	2						
40604	2						
40605	2						
40606	2						
40607	2						
40608	2						
40609	2						
40610	2						
40611	2						
40612	2						
40613	2						
40614	2						
40615	2						
40616	2						
40700	2		TestLevel_Element_Evn_Rock				
40701	2		TestLevel_Element_Evn_Rock				
40702	2		TestLevel_Element_Evn_Rock				
40703	2		TestLevel_Element_Evn_Rock				
41000	2						
41001	2						
41002	2						
41003	2						
41004	2						
41005	2						
41006	2						
41007	2						
41008	2						
41009	2						
41010	2						
41011	2						
41012	2						
41013	2						
41014	2						
41015	2						
41016	2						
41017	2						
41018	2						
41019	2						
41020	2						
41021	2						
41022	2						
41023	2						
41024	2						
41025	2						
41026	2						
41027	2						
41028	2						
41029	2						
41030	2						
41031	2						
41032	2						
41033	2						
41034	2						
42001	2						
42002	2						
42003	2						
42004	2						
42005	2						
42006	2						
42007	2						
42008	2						
42009	2						
42010	2						
42011	2						
42012	2						
42013	2						
42014	2						
43001	2						
43002	2						
43003	2						
43004	2						
43005	2						
43006	2						
44001	2						
44002	2						
44003	2						
44004	2						
44005	2						
44006	2						
44007	2						
50002	2		TestLevel_Cold				
50003	2						
50004	2						
50005	2						
50006	2						
50007	2		Level_ClimbTest1				
50008	2						
50009	2						
50010	2						
50011	2		Level_Explode_Test				
50012	2		Level_Swril_Test				
50013	2		Level_Melt_Test				
50014	2						
50015	2						
50016	2						
50017	2						
50018	2						
50019	2		TestLevel_Element_Evn_Rock				
50020	1						
50021	2						
50022	2						
50023	2						
50024	2		LevelEntity_TowerBuff_ElementReactionHurt_Melt				
50025	2						
50026	2						
50027	2						
50028	2						
50029	2						
50030	2						
50031	2						
50032	2						
50033	2						
50034	2						
50041	2						
50042	2						
50043	2						
50044	2						
50045	2						
50046	2						
50047	2						
50048	2						
50049	2						
50050	2						
50051	2						
50052	2						
50054	2						
