子任务ID	父任务ID	序列	子任务组	禁止进入联机	显示状态	[领取条件]组合	[领取条件]1类型	[领取条件]1参数1	[领取条件]1参数2	[领取条件]1参数3	[领取条件]1参数4	[领取条件]1参数5	[领取条件]2类型	[领取条件]2参数1	[领取条件]2参数2	[领取条件]2参数3	[领取条件]2参数4	[领取条件]2参数5	[领取条件]3类型	[领取条件]3参数1	[领取条件]3参数2	[领取条件]3参数3	[领取条件]3参数4	[领取条件]3参数5	[领取条件]4类型	[领取条件]4参数1	[领取条件]4参数2	[领取条件]4参数3	[领取条件]4参数4	[领取条件]4参数5	[领取条件]5类型	[领取条件]5参数1	[领取条件]5参数2	[领取条件]5参数3	[领取条件]5参数4	[领取条件]5参数5	[领取条件]6类型	[领取条件]6参数1	[领取条件]6参数2	[领取条件]6参数3	[领取条件]6参数4	[领取条件]6参数5	[完成条件]组合	[完成条件]1类型	[完成条件]1参数1	[完成条件]1参数2	[完成条件]1复杂参数	[完成条件]1次数	[完成条件]2类型	[完成条件]2参数1	[完成条件]2参数2	[完成条件]2复杂参数	[完成条件]2次数	[完成条件]3类型	[完成条件]3参数1	[完成条件]3参数2	[完成条件]3复杂参数	[完成条件]3次数	[完成条件]4类型	[完成条件]4参数1	[完成条件]4参数2	[完成条件]4复杂参数	[完成条件]4次数	[完成条件]5类型	[完成条件]5参数1	[完成条件]5参数2	[完成条件]5复杂参数	[完成条件]5次数	[完成条件]6类型	[完成条件]6参数1	[完成条件]6参数2	[完成条件]6复杂参数	[完成条件]6次数	[失败条件]组合	[失败条件]1类型	[失败条件]1参数1	[失败条件]1参数2	[失败条件]1复杂参数	[失败条件]1次数	[失败条件]2类型	[失败条件]2参数1	[失败条件]2参数2	[失败条件]2复杂参数	[失败条件]2次数	[失败条件]3类型	[失败条件]3参数1	[失败条件]3参数2	[失败条件]3复杂参数	[失败条件]3次数	[失败条件]4类型	[失败条件]4参数1	[失败条件]4参数2	[失败条件]4复杂参数	[失败条件]4次数	[失败条件]5类型	[失败条件]5参数1	[失败条件]5参数2	[失败条件]5复杂参数	[失败条件]5次数	[失败条件]6类型	[失败条件]6参数1	[失败条件]6参数2	[失败条件]6复杂参数	[失败条件]6次数	[任务指引]类型	[任务指引]自动开启或关闭	[任务指引]参数1	[任务指引]参数2	[任务指引]参数3	[任务指引]参数4	[任务指引]参数5	[任务指引]场景ID	[任务指引]样式	[任务指引]显示层级	场景内指引	完成父任务	失败父任务	是存档点	[任务道具]ID	[任务道具]数量	[执行]1类型	[执行]1参数1	[执行]1参数2	[执行]1参数3	[执行]1参数4	[执行]1参数5	[执行]2类型	[执行]2参数1	[执行]2参数2	[执行]2参数3	[执行]2参数4	[执行]2参数5	[执行]3类型	[执行]3参数1	[执行]3参数2	[执行]3参数3	[执行]3参数4	[执行]3参数5	[执行]4类型	[执行]4参数1	[执行]4参数2	[执行]4参数3	[执行]4参数4	[执行]4参数5	[执行]5类型	[执行]5参数1	[执行]5参数2	[执行]5参数3	[执行]5参数4	[执行]5参数5	[失败执行]1类型	[失败执行]1参数1	[失败执行]1参数2	[失败执行]1参数3	[失败执行]1参数4	[失败执行]1参数5	[失败执行]2类型	[失败执行]2参数1	[失败执行]2参数2	[失败执行]2参数3	[失败执行]2参数4	[失败执行]2参数5	[失败执行]3类型	[失败执行]3参数1	[失败执行]3参数2	[失败执行]3参数3	[失败执行]3参数4	[失败执行]3参数5	[失败执行]4类型	[失败执行]4参数1	[失败执行]4参数2	[失败执行]4参数3	[失败执行]4参数4	[失败执行]4参数5	[失败执行]5类型	[失败执行]5参数1	[失败执行]5参数2	[失败执行]5参数3	[失败执行]5参数4	[失败执行]5参数5	[开始执行]1类型	[开始执行]1参数1	[开始执行]1参数2	[开始执行]1参数3	[开始执行]1参数4	[开始执行]1参数5	[开始执行]2类型	[开始执行]2参数1	[开始执行]2参数2	[开始执行]2参数3	[开始执行]2参数4	[开始执行]2参数5	[开始执行]3类型	[开始执行]3参数1	[开始执行]3参数2	[开始执行]3参数3	[开始执行]3参数4	[开始执行]3参数5	[开始执行]4类型	[开始执行]4参数1	[开始执行]4参数2	[开始执行]4参数3	[开始执行]4参数4	[开始执行]4参数5	[开始执行]5类型	[开始执行]5参数1	[开始执行]5参数2	[开始执行]5参数3	[开始执行]5参数4	[开始执行]5参数5	独占NPC	共享NPC	独占优先级	试用角色列表	加载技能组	独占情境ID	CoopPointID
200113	2001	14					1	200112	3																																			2	200113																																																												2		1032					3	2	2		1		1			47	133108006	1																																																										19	3	133108906,5				46	3	133108007				46	3	133108008				19	3	133108008,3				46	3	133108006				10412,10409,10411,1032		1000				
200114	2001	3			1		1	200102	3																																			4	200114																																																																												47	133108907					19	3	133108906,3																																																				46	3	133108007																												10412,10409,10410,10411,1032,1031		1000				
200201	2002	5		1			1	200204	3																																			4	200201																																																												1		Q200201Trigger					3	4	2	1			1																																																															46	3	133108007				46	3	133108003																						10412,10416,10417,10418,1031		1000				
200202	2002	1					1	200113	3																																			2	200202																																																												2		1031					3	2	2				1																																																															46	3	133108007				46	3	133108008				19	3	133108008,3				19	3	133108906,9										10412,10416,10417,10418,1032,1031		1000				
200203	2002	2					1	200202	3																																			25	70710357			1																																																									1		Q200203Vision					3	4	2	1			1																																																															46	3	133108007				46	3	133108008				19	3	133108008,3																10412,10416,10417,10418,1032,1031		1000				
200204	2002	4					1	200203	3																																			2	200204																																																												2		1032					3	2	2																																																																			19	3	133108906,6				46	3	133108007																						10412,10416,10417,10418,1032,1031		1000				
200205	2002	6		1			1	200201	3																																			4	200205																														20			200205	1																										1		Q200205Target	30				3	4	2	1																																				14	200201																													19	3	133108906,7				46	3	133108007				46	3	133108003																10412,10416,10417,10418,1031		1000				
200206	2002	7		1			1	200205	3																																			25	70710358			1																																																									1		Q200206Clue					3	4	2	1			1																																																															46	3	133108007				47	133108003																							10412,10416,10417,10418		1000				
200207	2002	8		1			1	200206	3																																			4	200207																														20			200207	1																										1		Q200207Target	30				3	4	2	1																																				14	200206																													46	3	133108007				46	3	133108003				19	3	133108003,2																10412,10416,10417,10418		1000				
200208	2002	9					1	200207	3																																			20			200208	1																																																									1		Q200207Target	30				3	4	2	1						47	133108003																																																											46	3	133108909				46	3	133108007				19	3	133108909,1																10412,10416,10417,10418		1000				
200209	2002	10					1	200208	3																																			2	200209																																																												2		10414					3	2	2				1																																																															46	3	133108007				47	133108910					46	3	133108909																10412,10416,10417,10418,1032,10414		1000				
200210	2002	11					1	200209	3																																			20			200210	1																																																									1		Q200209Npc	30				3	4	2	1						47	133108910	1																																																										46	3	133108910				46	3	133108007				46	3	133108909																10412,10416,10417,10418,10414		1000				
200211	2002	12					1	200210	3																																			2	200211																																																												2		10414					3	2	2				1			47	133108909	1																																																										46	3	133108007				46	3	133108909																						10412,10416,10417,10418,1032,10414		1000				
200212	2002	13					1	200211	3																																			2	200212																																																												2		10412					3	2	2		1		1	100816	1	47	133108007	1				47	133108008					19	3	133108906,1				43	10013	1																																								46	3	133108007																												10412,1032,2143		1000				
200213	2002	3			1		1	200203	3																																			4	200213																																																																												19	3	133108008,4																																																																																														
800001	8000	1				1	1	1800027	3				1	45406	3				55	2003001																								2	800001																																																												2		1015					3	2	2				1																																																																																													1015,2016		1000				
800002	8000	2					1	800001	3																																			9	1114	233																																																											1		Q8000DungeonEntry					3	4	2				1			47	133101920	0																																																										2	3	233				46	3	133101920																												
800003	8000	3					1	800002	3																																			20			22010400101	1																										2	19	1114				10	3																																					1																																	14	800002																																																											10910		1000				
800004	8000	4					1	800003	3																																			2	800002																													2	19	1114				10	3																								2		10910					20104	2	2				1			15	20104	220104003																												14	800002																																																											10910,10921		1000				
800005	8000	5					1	800004	3																																			20			22010400201	1																										2	19	1114				10	3																																					1																																	14	800002																																																											10910,10921,10916		1000				
800006	8000	7					1	800009	3																																			20			22010400202	1																										2	19	1114				10	3																																					1																																	14	800002																													19	20104	220104002,2																																		
800007	8000	9		1			1	800008	3																																			10	3																																																																							1		1			17	3	233																																																																																								1022		1000				
800008	8000	8		1			1	800006	3																																			2	800003																													2	19	1114				10	3																								2		10916					20104	2	2				1																																	14	800002																																																											10916		1000				
800009	8000	6					1	800005	3																																			2	800004																													2	19	1114				10	3																								2		10916					20104	2	2				1																																	14	800002																																																											10916		1000				
800101	8001	1					1	800007	3																																			2	800101																																																												2		1022					3	2	2				1			47	133101920	1																																																										46	3	133101920				19	3	133101920,2																						1022		1000				
800102	8001	2					1	800101	3																																			20			13310391901	1																																																									1		Q8001Camp1	30				3	4	2				1																																																															46	3	133103919																																		
800103	8001	3					1	800102	3																																			2	800102																																																												2		1022					3	2	2				1																																																															46	3	133103919				19	3	133103919,2																						1022		1000				
800104	8001	4					1	800103	3																																			20			13310391701	1																																																									1		Q8001Camp2	30				3	4	2				1			47	133103919	0																																																										46	3	133103917				46	3	133103919				19	3	133103919,2																						
800105	8001	5					1	800104	3																																			2	800103																																																												2		1022					3	2	2				1																																																															46	3	133103917				19	3	133103917,2																						1022		1000				
800106	8001	8					1	800108	3																																			20			13310391801	1																																																									1		Q8001Camp3	30				3	4	2				1																																																															46	3	133103918																																		
800107	8001	9					1	800106	3																																			2	800104																																																												2		1022					3	2	2		1		1																																																															46	3	133103918				19	3	133103918,2																						1022,10919		1000				
800108	8001	7					1	800109	3																																			2	800105																																																												2		1022					3	2	2				1			47	133103920	0																																																										46	3	133103920																												1022,10919,10920		1000				
800109	8001	6					1	800105	3																																			4	800109																																																												1		Q8001Camp3	30				3	4	2				1			47	133103917	0																																																										46	3	133103920				46	3	133103917				19	3	133103917,2																10919,10920		1000				
800201	8002	1					1	800107	3																																			4	800201																																																												1		Q8002Church	30				3	2	2				1			47	133103918	0																																																										46	3	133103918				19	3	133103918,2																												
800202	8002	3					1	800209	3																																			2	800201																																																												2		1008					1008	2	2				1																																																																																													1022,1008,1020		1000				
800203	8002	5					1	800210	3																																			4	800203																																																												1		Q8002Wolvendom					3	4	2				1																																																															19	3	133004922,1																																		
800204	8002	6					1	800203	3																																			20			13300492201	1																																																									1		Q8002Wolvendom	30				3	4	2				1			19	3	133004922,2																																																										15	3	133004922																																		
800205	8002	7					1	800204	3																																			2	800202																																																												2		1006					3	2	2				1																																																																																													1006,1022		1000				
800206	8002	8		1			1	800205	3																																			4	800206																																																												1		Q8002Wolvendom2					3	4	2				1																																																															46	3	133002944				19	3	133002259,2																						1176,1011,10916		1000				
800207	8002	10		1			1	800211	3																																			20			13300492301	1																																																									1		Q8002Wolvendom2	50				3	4	2				1			47	133004923	1																																																										46	3	133004923				46	3	133002944																						1176,1011		1000				
800208	8002	12		1			1	800207	3																																			2	800207																																																												2		1176					3	2	2		1					47	133002944	0				19	3	133002259,4																																																																																		1176,1011,10916		1000				
800209	8002	2					1	800201	3																																			2	800204																																																												2		1022					3	2	2				1																																																																																													1022		1000				
800210	8002	4					1	800202	3																																			2	800205																																																												2		1022					3	2	2				1																																																																																													1022		1000				
800211	8002	9		1			1	800206	3																																			2	800203																																																												2		1011					3	2	2				1																																																															46	3	133002944																												1176,1011,10916		1000				
800212	8002	11		1	1		1	800207	3																																			4	800212																																																																												15	3	133002944																																																										46	3	133002944																																		
800301	8003	1					1	800208	3																																			2	800301																																																												2		1022					3	2	2				1																																																																																													1022		1000				
800302	8003	4					1	99902	3																																			4	800302																																																												1		Q8000DungeonEntry					3	4	2				1																																																																																															1000			303	
800303	8003	7					1	800309	3																																			20			22010500101	1																										2	19	1115				10	3																																					1																																	14	800309																																																																	
800304	8003	9					1	800310	3																																			20			22010500102	1																										2	19	1115				10	3																																					1																																	14	800309																													15	20105	220105001																																		
800305	8003	10					1	800304	3																																			2	800302																													2	19	1115				10	3																																					1																																	14	800309																																																											1022,10916,1025,1026		1000				
800306	8003	2					1	800301	3																																			4	800306																																																												1		Q8003Guardian					3	4	2				1																																																																																															1000			303	
800307	8003	3					1	800306	3																																			2	800303																																																												2		1022					3	2	2				1			19	3	133007074,2																																																																																								1022		1000			303	
800308	8003	5					1	99902	3																																			2	800304																																																												2		1005					3	2	2				1																																																																																																			
800309	8003	6					1	800307	3																																			9	1115	240																																																											1		Q8000DungeonEntry					3	4	2				1			47	133101920	0																																																										2	3	240				46	3	133101920																												
800310	8003	8					1	800303	3																																			2	800305																													2	19	1115				10	3																								2		1022					20105	2	2				1																																	14	800309																																																											1022,10916		1000				
800311	8003	11					1	800305	3																																			2	800306																													2	19	1115				10	3																								2		1005					20105	2	2		1		1			17	3	240				15	20105	220105001				43	10010	1																14	800309																																																																	
1012001	10120	1				1	47	13					17	40					44	10003	1																							2	1012001																																																												2		1006					1004	1					1																																																																																													1006		1100			1012001	
1012002	10120	2					1	1012001	3																																			20			1012002	1																																																									1		Q10120_FIND	30				3	2					1																																																															46	3	133004462																												1006,1421,10386,10423		1100			1012001	
1012003	10120	3					1	1012002	3																																			2	1012002																																																												2		10423					3	2					1																																																															47	133004462	0																												10386,10423,1421		1100				
1012004	10120	10					1	1012003	3																																			20			1012004	1																																																									1		Q10120_anbor	20				3	2					1																																																															46	3	133004461																												1002		1100			1012003	
1012005	10120	11					1	1012004	3																																			2	1012003																																																												2		1002					3	2																																																																				47	133004461	0																												1002		1100			1012003	
1012006	10120	12		1			1	1012005	3																																		2	20			1012006	1	20			1012012	1																																																				1		Q10120_Battle	30				3	2					1																																																															46	3	133003790				19	3	133003790,1																						1029		1100				
1012007	10120	13		1			1	1012006	3																																			20			1012007	1																																																									1		Q10120_Battle	30				3	2																																																																																																		1029		1100				
1012008	10120	20		1			1	1012007	3																																			4	1012008																														8	1012099																																																																											14	1012006																																																											1029		1100				
1012009	10120	21		1			1	1012008	3																																			2	1012004																																																												2		1029					3	2			1		1			47	133003790	1																																																										46	3	133003790																												1029		1100				
1012101	10121	1					1	1012009	3																																			20			1012101	1																																																									1		Q10121_YOULA	20				3	2					1			47	133004463	0																																																										46	3	133004463																												1029		1100			307	
1012102	10121	2					1	1012101	3																																			2	1012101																																																												2		1029					3	2					1																																																																																													1029		1100			307	
1012103	10121	3					1	1012102	3																																			2	1012102																																																												2		10387					3	2					1																																																																																													1029,10387		1100			307	
1012104	10121	4					1	1012103	3																																			2	1012103																																																												2		10388					3	2					1																																																																																													1029,10388		1100			307	
1012105	10121	5					1	1012104	3																																			2	1012104																																																												2		10389					3	2					1																																																																																													1029,10388,10389		1100			307	
1012106	10121	10					1	1012105	3																																			20			1012106	1																																																									1		Q10121_youla2	30				3	4					1			47	133105343	0																																																										46	3	133105343				46	3	133105344				46	3	133105007																1029,10389,10388		1100				
1012107	10121	11					1	1012106	3																																		2	2	1012105				2	1012111																																																							2		1029					3	2					1																																																															47	133105344	0				46	3	133105007																						1029		1100				
1012108	10121	32			1		1	1012114	2																																			4	1012108																																																																			3			1						46	3	133004012																																																										47	133004012	0																																		
1012109	10121	20					1	1012117	3																																			2	1012106																																																												2		1029					3	2					1																																																															47	133105344	0				46	3	133105347				47	133105007	0																1029		1100				
1012110	10121	22		1			1	1012109	3																																			20			1012110	1																																																									1		Q10121_battle					3	2					1																																																															46	3	133105347																												1029		1100				
1012111	10121	24		1			1	1012110	3																																			20			1012111	1																										2	20			1012199	1	129																									1		Q10121_battle	25				3	2																																						14	1012110																																																											1029		1100				
1012112	10121	29					1	1012111	3																																			2	1012107																																																												2		1029					3	2					1																																																																																													1029		1100				
1012113	10121	30					1	1012112	3																																			20			1012113	1																																																									1		Q10121_ANBO	20				3	2					1																																																															46	3	133004464				47	133004012	0																						1029,1002,1419		1100				
1012114	10121	31					1	1012113	3																																			2	1012108																																																												2		1002					3	2								47	133004464	0				47	133105347	0																																																																																		1002,1029,1419		1100				
1012115	10121	13		1			1	1012107	3																																			20			1012115	1																											20			1012190	1																										1		Q10121_TARGET1	30				3	4																																						14	1012107					43	10120	1																						46	3	133105344				15	3	133105344																						1029		1100				
1012116	10121	14		1			1	1012115	3																																			20			1012116	1																											20			1012190	1																										1		Q10121_TARGET2	30				3	4																																						14	1012107					43	10120	1																																																				1029		1100				
1012117	10121	15		1			1	1012116	3																																			20			1012117	1																											20			1012190	1																										1		Q10121_DES	30				3	4																																						14	1012107					43	10120	1																																																				1029		1100				
1012118	10121	21			1		1	1012109	3																																			20			1012118	1																																																																			1																																																																																																						
1012119	10121	33			1		1	1012114	2																																			4	1012119																																																																						1						47	133004012	0																																																																																														
1012120	10121	40					1	1012114	3																																			2	1012109																																																												2		1419	SELECT_NPC_NONE				3	2			1		1	100817	1																																																																																											1419		1100				
1012201	10122	1					1	1012120	3																																			2	1012201																																																												1		Q10122_NOBLE1	20				3	2					1			1	100817	1																																																										46	3	133002480																												10386,1419		1100				
1012202	10122	39		1			1	1012213	3																																			20			1012202	1																										2	10	3				19	1116																								1		END	20				20037	4																																						20	25					14	1012204																							15	20037	220037009																															25			
1012203	10122	36			1		1	1012215	3																																			20			1012203	1																																																																	2		1																																																																																																						
1012204	10122	4		1			1	1012201	3																																			9	1116	262																																																											1		Q10122_DungeonEnter					3	4					1			47	133002480	0				47	133002481	0																																																				46	3	133002481				2	3	262				46	3	133002480																10407		1100				
1012205	10122	10		1			1	1012204	3																																			2	1012203																													2	10	3				19	1116																								2		10386	SELECT_NPC_NONE				20037	2					1																																	20	25					14	1012204																																																					10386,10390,10391,10392,10393,10400		1100				
1012206	10122	11		1			1	1012205	3																																			4	1012206																													2	10	3				19	1116																								2		10386	SELECT_NPC_NONE				20037	2					1																																	20	25					14	1012204																																																					10386,10390,10391,10392,10393,10400		1100				
1012207	10122	12		1			1	1012206	3																																			2	1012204																													2	10	3				19	1116																								2		10386	SELECT_NPC_NONE				20037	2					1																																	20	25					14	1012204																							15	20037	220037006																												10386,10390,10391,10392,10393,10400		1100				
1012208	10122	13		1			1	1012207	3																																			4	1012208																													2	10	3				19	1116																								2		10386	SELECT_NPC_NONE				20037	2					1																																	20	25					14	1012204																							15	20037	220037006																												10386,10390,10391,10392,10393,10400		1100				
1012209	10122	14		1			1	1012208	3																																			2	1012205																													2	10	3				19	1116																								2		10386	SELECT_NPC_NONE				20037	2					1																																	20	25					14	1012204																																																					10386,10390,10391,10392,10393,10400		1100				
1012210	10122	20		1			1	1012209	3																																			20			1012210	1																										2	10	3				19	1116																								1		wajing	20				20037	2					1																																	20	25					14	1012204																							19	20037	220037003,1				15	20037	220037006				15	20037	220037001																						
1012211	10122	24		1			1	1012210	3																																			20			1012211	1																										2	10	3				19	1116																								1		Noble2	10				20037	2					1			19	20037	220037005,2																												20	25					14	1012204																							19	20037	220037005,1																												10386,1029,1215,1240		1100				
1012212	10122	25		1			1	1012211	3																																			2	1012206																													2	10	3				19	1116																								2		1029	SELECT_NPC_NONE				20037	2					1																																	20	25					14	1012204																																																					10386,1029,1215,1240		1100				
1012213	10122	35		1			1	1012215	3																																			20			1012213	1																										2	10	3				19	1116																								1		End					20037	2					1																																	20	25					14	1012204																							12	25					19	20037	220037009,1				19	20037	220037004,1																			25			
