ConfigID	怪物ID	伴生怪物组ID	悬赏完成类型	affix	AbilityGroup	优先创生位置	等级	修正等级ID	城市列表	难度	限制时间	前置线索数量	[出现条件]1类型	[出现条件]2类型	Initial Pose
20009	20020101			4008,4010,4017,4033,4064	AbilityGroup_Reputation_Hunting_SwordVulnerable		1	1001	1,2	1	600	3			
20010	20020101			4009,4011,4016,4033,4064	AbilityGroup_Reputation_Hunting_CatalystVulnerable		1	1001	1,2	1	600	3			
20011	20020101			4009,4010,4018,4033,4064	AbilityGroup_Reputation_Hunting_ClaymoreVulnerable		1	1001	1,2	1	600	3			
20012	20020101			4008,4011,4019,4033,4064	AbilityGroup_Reputation_Hunting_PoleVulnerable		1	1001	1,2	1	600	3			
20013	21020101			4056,4063,4051,4064			1	1001	1,2	1	600	3			
20014	21020101			4056,4063,4049,4064			1	1001	1,2	1	600	3			
20015	21020201			4056,4063,4051,4064			1	1001	1,2	1	600	3			
20016	21020201			4056,4063,4052,4064			1	1001	1,2	1	600	3			
20017	21020301			4056,4063,4050,4064			1	1001	2	1	600	3			
20018	21020301			4056,4063,4052,4064			1	1001	2	1	600	3			
20019	21020101			4040,4013,4019,4024,4035,4041,4064	AbilityGroup_Reputation_Hunting_PoleAndFallingVulnerable		1	1001	1,2	1	600	3			
20020	21020201			4012,4011,4017,4024,4035,4041,4064	AbilityGroup_Reputation_Hunting_SwordAndFallingVulnerable		1	1001	1,2	1	600	3			
20021	21020301			4009,4010,4018,4024,4035,4041,4064	AbilityGroup_Reputation_Hunting_ClaymoreAndFallingVulnerable		1	1001	2	1	600	3			
30001	24010101			4002,4025,4026,4027,4028,4029,4030,4031,4036,4040,4064			1	1002	1,2	2	600	3			
30002	24010101			4009,4013,4028,4024,4036,4040,4064	AbilityGroup_Reputation_Hunting_FallingAttackVulnerable		1	1002	1,2	2	600	3			
30003	24010101			4008,4010,4058,4061,4045,4064	AbilityGroup_Reputation_Hunting_SwordVulnerable_High		1	1002	1,2	2	600	3			
30004	24010201			4008,4013,4022,4034,4040,4064	AbilityGroup_Reputation_Hunting_ExtraCriticalHurt		1	1002	1,2	2	600	3			100
30005	24010201			4011,4012,4021,4034,4040,4024,4064	AbilityGroup_Reputation_Hunting_FallingAttackVulnerable		1	1002	1,2	2	600	3			100
30006	24010201			4002,4025,4026,4027,4028,4029,4030,4031,4034,4040,4064			1	1002	1,2	2	600	3			100
30007	24010201			4009,4010,4059,4046,4061,4064	AbilityGroup_Reputation_Hunting_ClaymoreVulnerable_High		1	1002	1,2	2	600	3			100
30008	21020501			4002,4025,4026,4027,4028,4029,4030,4031,4034,4040,4064			1	1002	2	2	600	3			
30009	21020501			4008,4028,4034,4040,4064	AbilityGroup_Reputation_Hunting_ClaymoreVulnerable		1	1002	2	2	600	3			
30010	21020501			4010,4024,4026,4034,4040,4064	AbilityGroup_Reputation_Hunting_SwordAndFallingVulnerable		1	1002	2	2	600	3			
30011	21020501			4010,4016,4034,4040,4064	AbilityGroup_Reputation_Hunting_CatalystVulnerable		1	1002	2	2	600	3			
30012	21020501			4011,4027,4034,4040,4064	AbilityGroup_Reputation_Hunting_PoleVulnerable		1	1002	2	2	600	3			
