ID	城市ID	事件组id	事件tag1值	事件tag2值	事件权重	事件类型	事件稀有度	事件接取任务	事件对应旧group	事件对应新group	组合关系	[满足条件]1类型	[满足条件]1参数1	[满足条件]1参数2	[满足条件]1参数3	[满足条件]2类型	[满足条件]2参数1	[满足条件]2参数2	[满足条件]2参数3	[满足条件]3类型	[满足条件]3参数1	[满足条件]3参数2	[满足条件]3参数3	完成条件类型	完成条件参数1	完成条件参数2	完成进度	[完成执行]1条件类型	[完成执行]1条件参数1	[完成执行]1条件参数2	[完成执行]1条件参数3	[完成执行]1类型	[完成执行]1参数1	[完成执行]1参数2	[完成执行]1参数3	[完成执行]2条件类型	[完成执行]2条件参数1	[完成执行]2条件参数2	[完成执行]2条件参数3	[完成执行]2类型	[完成执行]2参数1	[完成执行]2参数2	[完成执行]2参数3	[完成执行]3条件类型	[完成执行]3条件参数1	[完成执行]3条件参数2	[完成执行]3条件参数3	[完成执行]3类型	[完成执行]3参数1	[完成执行]3参数2	[完成执行]3参数3	事件奖励索引
15701	2	1103	3006	0	30	1			133103127	133103296	1	8	40			7	3	74						5			1																									2
15702	2	1103	0	0	30	1			133108040,133108088,133108039	133108092	1	8	40			7	3	91						5			1																									2
15703	2	1103	0	0	30	1			133104351	133104411		8	40											5			1																									2
15704	2	1103	0	0	30	1			133104037	133104416	1	8	40			7	3	73						5			1																									2
15800	2	1104	3006	0	50	1			133103288	133103298		7	3	74										5			8																									2
15801	2	1104	0	0	50	1			133103291	133103299		7	3	74										5			8																									2
15802	2	1104	3009	0	50	1			133101072,133101136	133101102		7	3	74										5			8																									2
15803	2	1104	0	0	50	1			133101074	133101103		7	3	74										5			8																									2
15804	2	1104	0	0	50	1			133105042,133105195	133105265		7	3	72										5			9																									2
15900	2	1101	0	0	30	1				133103269	1	1	100205			7	3	74						8	14	133103269	1																									2
15901	2	1101	3004	0	30	1			133102192,133102007	133102547														8	14	133102547	1																									2
15902	2	1101	3001	0	30	1			133101066	133101095		7	3	74										8	14	133101095	1																									2
15903	2	1101	0	0	30	1			133103147,133103145,133103144,133103146	133103311		7	3	74										8	14	133103311	1																									2
15904	2	1101	0	0	30	1			133105135,133105132,133105130,133105134	133102564		7	3	72										8	14	133102564	1																									2
15905	2	1101	3005	0	30	1			133104191,133104347	133104418		7	3	73										8	14	133104418	1																									2
16000	2	1101	0	0	30	1			133103161	133103271		7	3	74										8	13	133103271	1																									2
16001	2	1101	0	0	30	1			133102368	133102548		1	2100399											8	13	133102548	1																									2
16003	2	1101	0	0	30	1			133101166,133101114	133101106		7	3	74										8	13	133101106	1																									2
16004	2	1101	3001	0	30	1			133101066	133101107		7	3	74										8	13	133101107	1																									2
16006	2	1101	0	0	30	1				133108095		2	24											8	13	133108095	1																									2
16007	2	1101	3002	0	30	1			133104313,133104133	133104423		7	3	73										8	13	133104423	1																									2
16401	2	1102	3006	0	0	1			133103192,133103029,133103036,133103033	133103460		8	30											8	207	133103460	1																									2
16402	2	1102	0	0	0	1			133106194,133106192,133106214,133106121,133106122,133106129	133107081		8	30											8	207	133107081	1																									2
16403	2	1102	0	0	30	1			133108090,133108080,133108021,133108106,133108087,133108075	133108112		8	30											8	207	133108112	1																									2
16501	2	1102	3008	0	30	1			133105115,133105110,133105045	133105275	1	1	48803			8	35							8	15	133105275	1																									2
16502	2	1102	0	0	30	1			133102325,133102277	133002362	1	1	48803			8	35							8	15	133002362	1																									2
16503	2	1102	3009	0	30	1			133101137	133101183	1	1	48803			8	35							8	15	133101183	1																									2
16504	2	1102	0	0	30	1			133103290,133103132,133103040,133103212	133103466	1	1	48803			8	35							8	15	133103466	1																									2
16600	2	1102	0	0	0	1			133103144,133103159,133103156,133103272,133103297,133103273	133103455	1	7	3	87		8	30							8	203	133103455	1																									2
16601	2	1102	3007	0	30	1			133108033,133108037,133108042,133108041,133108044,133108035	133108110	1	7	3	91		8	30							8	203	133108110	1																									2
16602	2	1102	0	0	30	1			133106119,133106118,133106226,133106058,133106111	133106258	1	7	3	105		8	30							8	203	133106258	1																									2
16603	2	1102	3004	0	30	1			133102607,133102497,133102499,133102007,133102466,133102498	133102724		8	30											8	203	133102724	1																									2
16604	2	1102	0	0	30	1			133103166,133103174,133103169	133103482	1	7	3	95		8	30							8	203	133103482	1																									2
25300	2	2101	0	0	30	0	1	2210001																																												2
25301	2	2101	0	0	30	0	1	2210101																																												2
25302	2	2101	0	0	30	0	1	2210201																																												2
25400	2	2101	0	0	30	0	1	2210301																																												2
25401	2	2101	0	0	30	0	1	2210401																																												2
25402	2	2101	0	0	30	0	1	2210501																																												2
25500	2	2101	0	0	30	0	1	2230001				1	101801																																							1
25600	2	2101	0	0	30	0	1	2230101				1	7181107																																							1
25700	2	2101	0	0	30	0	1	2230201				1	1200309																			2	25700	2																		1
25800	2	2101	0	0	30	0	1	2230301																																												1
25900	2	2101	0	0	0	0	1	2230401																																												2
25901	2	2101	0	0	0	0	1	2230601																																												2
25902	2	2101	0	0	0	0	1	2230701																																												2
26000	2	2101	0	0	30	0	1	2230501																																												1
26100	2	2101	0	0	30	0	1	2200001																								2	26100	1																		1
26200	2	2101	0	0	30	0	1	2200101																								2	26100	1																		1
26300	2	2101	0	0	30	0	1	2200201																								2	26100	1																		1
26400	2	2101	0	0	30	0	1	2200301																																												1
26500	2	2101	0	0	30	0	1	2200401																																												2
25100	2	2101	0	0	30	0	1	2210601				6	25100	2	50													1	25100	0	1	4	28000			1	25100	0	1	1	25100	2	100									1
25200	2	2101	0	0	30	0	1	2210701																																												1
25000	2	2101	0	0	30	0	1	2210801																								2	25000	1		1	25000	1	1	5	25001	4										2
25001	2	2101	3005	0	30	0	1	2210901				5	25000	1	0																	2	25001	1		1	25001	1	1	5	25002	4										2
25002	2	2101	3002	0	30	0	1	2211001				2	24			5	25001	1	0																																	2
26600	2	2101	4001	0	1000	0	1	2211201				5	26600	1	50																	1	26600	1	0					1	26700	1	100									1
26700	2	2101	4001	0	1000	0	1	2211301				5	26700	1	50																	1	26700	1	0																	2
26800	2	2101	3003	0	30	0	1	2200501																								2	26800	2		1	26800	2	3	5	26801	3										2
26801	2	2101	3003	0	30	0	1	2200601			1	5	26800	2	2	4	26801	1	2													1	26801	1	2																	2
26802	2	2101	3003	0	30	0	1	2200701																								2	26800	2		1	26800	2	3	5	26801	3										2
26900	2	2101	0	0	30	0	1	2200901				3	26801	1	2																																					2
27000	2	2101	0	0	30	0	1	2200801																																												2
28000	2	2101	0	0	30	0	1	2211401				3	25100	0	1																	1	25100	2	1					1	25100	0	2									1
28100	2	2101	0	0	500	0	1	2211501			1	4	28100	2	1	5	28100	4	2	5	25700	2	2									1	28100	2	1					5	28200	3										1
28200	2	2101	0	0	30	0	1	2211601				3	28100	2	1																																					1
28300	2	2101	0	0	30	0	1	2211701				1	101603																																							1
27500	2	2101	0	0	30	0	1	2220001																																												1
28400	2	2101	0	0	30	0	1	2250001			1	5	26100	1	1	1	101209										1																									1
28500	2	2101	0	0	30	0	1	2270101																																												1
28700	2	2101			100	0	1	2250101				10	2001			1	4111114			6	28700	1	3									2	28700	1																		1
